#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495812013935140181	parsec.dedup	1400	35	1.000000	0.322000	0.347000	451777634	4785380	1401030	107882735	1671359	213895289	24226
1495812014444913898	parsec.dedup	1400	35	1.000000	0.789000	0.836000	701255676	7691100	2236621	161852631	2632138	314154994	38991
1495812014954784116	parsec.dedup	1400	35	1.000000	0.791000	0.838000	700885163	7541333	2196164	164512090	2588626	323984777	38350
1495812015464851625	parsec.dedup	1400	35	1.000000	0.794000	0.841000	700875183	4007663	2518678	184648679	3130371	274977617	30967
1495812015974768176	parsec.dedup	1400	35	1.000000	0.794000	0.841000	700929760	3392993	2227506	181933901	2943001	273205187	26324
1495812016484639893	parsec.dedup	1400	35	1.000000	0.807000	0.853000	701053676	3203227	1685749	191824635	2689185	337895505	29553
1495812016994500861	parsec.dedup	1400	35	1.000000	0.798000	0.845000	700879852	2030477	1056167	319499949	1483010	810889427	14627
1495812017504170828	parsec.dedup	1400	36	1.000000	0.945000	1.001000	700845960	1558380	801030	335962221	1112997	887792741	10814
1495812018013476588	parsec.dedup	1400	36	1.000000	0.949000	1.005000	700852482	1260178	593824	359638360	840974	1047493874	6733
1495812018522657223	parsec.dedup	1400	36	1.000000	0.956000	1.013000	700856858	1634777	719684	341238632	911349	937880282	8481
1495812019031888817	parsec.dedup	1400	36	1.000000	0.951000	1.008000	700870642	1306881	587355	329116109	749309	1029190410	6878
1495812019541407410	parsec.dedup	1400	36	1.000000	0.917000	0.972000	700847992	1722608	786480	344153370	1380974	947033688	9157
1495812020050706128	parsec.dedup	1400	36	1.000000	0.945000	1.001000	700848690	1735429	779935	348951229	1529354	946663911	9426
1495812020560238138	parsec.dedup	1400	36	1.000000	0.943000	0.999000	701042728	1679909	749385	333732032	1646654	951017973	8864
1495812021069603939	parsec.dedup	1400	36	1.000000	0.975000	1.033000	700864684	1791499	793833	345584889	1729528	926984996	9591
1495812021579003824	parsec.dedup	1400	36	1.000000	0.919000	0.974000	700849944	1912187	862959	368071112	1950758	955181087	10289
1495812022088660792	parsec.dedup	1400	36	1.000000	0.970000	1.028000	700844928	2396322	1120322	362285303	2669434	865859971	13247
1495812022598098218	parsec.dedup	1400	36	1.000000	0.981000	1.039000	700947764	3320693	1611542	282937272	3334460	537409839	19091
1495812023107549228	parsec.dedup	1400	36	1.000000	0.882000	0.934000	700856013	3406816	1649751	276338010	3315397	527100398	19709
1495812023616951488	parsec.dedup	1400	36	1.000000	0.876000	0.928000	700892759	3396789	1637880	278153341	3306655	531108980	19473
1495812024126400789	parsec.dedup	1400	36	1.000000	0.879000	0.931000	700914832	3315046	1603950	283072766	3327203	539245806	18887
1495812024635804091	parsec.dedup	1400	36	1.000000	0.874000	0.926000	700870406	3417416	1665814	274030990	3299631	524300484	19805
1495812025145306517	parsec.dedup	1400	36	1.000000	0.878000	0.930000	700862754	3410082	1652179	274587165	3293283	524564403	19758
1495812025654677194	parsec.dedup	1400	36	1.000000	0.880000	0.932000	700868964	3399248	1644079	274114252	3641196	516265235	19549
1495812026164248870	parsec.dedup	1400	36	1.000000	0.872000	0.924000	700865906	3465466	1692002	267655781	3599870	507230895	20354
1495812026673637755	parsec.dedup	1400	35	1.000000	0.868000	0.920000	700852580	3417219	1663431	271225576	3647315	511709357	20010
1495812027183231223	parsec.dedup	1400	35	1.000000	0.865000	0.916000	700895834	3381059	1643740	274405907	3600172	517145286	19606
1495812027692788232	parsec.dedup	1400	35	1.000000	0.894000	0.947000	700848876	3331592	1620413	275343932	3405300	525430561	19563
