#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495810857713470737	parsec.dedup	1800	30	1.000000	0.226000	0.238000	580925245	5925624	1721832	131307777	2060901	259177262	29762
1495810858223281788	parsec.dedup	1800	31	1.200000	1.161000	1.393000	901574209	9393613	2722587	198562872	3233053	385688963	47550
1495810858733025798	parsec.dedup	1800	32	1.200000	1.172000	1.406000	901101815	9191612	2673599	204543546	3182065	406606633	46739
1495810859243071973	parsec.dedup	1800	32	1.200000	1.179000	1.414000	901148864	3843640	2794676	214576259	3639870	317353954	31439
1495810859752788983	parsec.dedup	1800	33	1.200000	1.180000	1.416000	901148260	3356211	1950334	237458637	3012513	444355878	32448
1495810860262677742	parsec.dedup	1800	34	1.100000	1.169000	1.400000	901325440	2322959	1263236	403348631	1707675	1034089581	17176
1495810860772242710	parsec.dedup	1800	34	1.200000	1.374000	1.648000	901125305	1743694	888528	439965687	1222558	1211590623	10897
1495810861281419970	parsec.dedup	1800	35	1.200000	1.447000	1.737000	901168574	1750688	800777	425767584	989399	1272807482	9346
1495810861790740105	parsec.dedup	1800	35	1.200000	1.373000	1.647000	901101311	1878783	886518	444761636	1146467	1217974380	10034
1495810862300128573	parsec.dedup	1800	35	1.200000	1.452000	1.742000	901067980	2061859	965075	437987973	1756113	1188954687	11216
1495810862809550458	parsec.dedup	1800	35	1.200000	1.408000	1.691000	901083650	2140693	1015420	436803268	2096405	1181091515	11783
1495810863318945426	parsec.dedup	1800	36	1.200000	1.456000	1.747000	901086959	2095899	979821	445826944	2127022	1203776258	11251
1495810863828150061	parsec.dedup	1800	36	1.200000	1.443000	1.733000	901096175	2226107	1052632	475212371	2566365	1235793814	12419
1495810864337486154	parsec.dedup	1800	36	1.200000	1.425000	1.711000	901086656	3796898	1885243	379558832	3882769	782022215	21841
1495810864847022289	parsec.dedup	1800	36	1.200000	1.323000	1.587000	901094309	4110129	2061480	346960925	4107438	660825221	24200
1495810865356569173	parsec.dedup	1800	36	1.200000	1.304000	1.564000	901199721	4099473	2022743	347335865	4094900	662401274	24186
1495810865866042058	parsec.dedup	1800	36	1.200000	1.318000	1.581000	901096460	4074845	1981188	350932430	4097849	668678279	23679
1495810866375461776	parsec.dedup	1800	36	1.200000	1.304000	1.564000	901217020	4189692	2101934	339941150	4084504	650186845	24747
1495810866885013953	parsec.dedup	1800	36	1.200000	1.309000	1.570000	901112224	4080677	2051559	342158836	4352005	648048884	24375
1495810867394577545	parsec.dedup	1800	36	1.200000	1.303000	1.563000	901141831	4173837	2126793	333970704	4455709	632052977	25170
1495810867903995014	parsec.dedup	1800	36	1.200000	1.301000	1.561000	901156099	4139147	2118024	335476989	4444859	634393478	25083
1495810868413436815	parsec.dedup	1800	36	1.200000	1.299000	1.558000	901095096	4075084	2071911	344535591	4408481	648706550	24077
1495810868922940866	parsec.dedup	1800	36	1.200000	1.317000	1.580000	901101000	4186518	2088759	338926892	4172024	648109283	24490
1495810869432316585	parsec.dedup	1800	36	1.200000	1.305000	1.566000	901215681	4096485	2027869	342679318	4253216	649533837	24093
1495810869941746136	parsec.dedup	1800	36	1.200000	1.300000	1.560000	901098344	3679297	1840597	334413256	3087515	701343689	21701
1495810870451227854	parsec.dedup	1800	36	1.200000	1.317000	1.580000	901113600	3951140	1995685	341624708	3504510	680043691	23079
1495810870960667780	parsec.dedup	1800	36	1.200000	1.310000	1.572000	901106420	4009694	2017616	300583697	2601717	680503225	23149
1495810871470110124	parsec.dedup	1800	37	1.200000	1.293000	1.551000	901166570	4162368	2109809	290452664	2512682	676150566	24223
1495810871979536800	parsec.dedup	1800	36	1.200000	1.279000	1.534000	901118909	4369533	2194448	285158329	2646149	642498358	23840
1495810872488987268	parsec.dedup	1800	36	1.200000	1.286000	1.543000	901109411	4430226	2239115	286323878	2632043	651470295	25192
1495810872998299153	parsec.dedup	1800	36	1.200000	1.280000	1.536000	901097144	4398759	2199128	287349192	2599554	659662328	24224
1495810873507610038	parsec.dedup	1800	36	1.200000	1.274000	1.528000	901203961	3843119	1952093	293685552	2341820	690144820	23302
