#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481349486463319178	314338474	479839157	918	1508	4	2103492	64923489
1481349486964086566	500799090	762595555	109	218	0	4018286	100539285
1481349487464703954	500613939	810021027	110	220	0	2655081	102519490
1481349487965277341	500573940	795981572	109	218	0	3100634	91272010
1481349488465886687	500607027	761877690	109	218	0	3904519	102242056
1481349488966506617	500627774	810871664	109	218	0	2736876	100766334
1481349489467087546	500573980	796788746	108	216	0	3074893	91277902
1481349489967690850	500600952	760808379	109	218	0	3845717	105785421
1481349490468293446	500603598	810724089	109	218	0	2847469	97262245
1481349490968901876	500603399	796902421	109	218	0	3072540	91277274
1481349491469508138	500609056	764185123	109	218	0	3760033	108050865
1481349491970169609	500659361	808266483	110	220	0	2898862	94981955
1481349492470777205	500604979	796579314	109	218	0	3083022	91351906
1481349492971384135	500606890	771027138	109	218	0	3661333	109141545
1481349493471987522	500604201	801123686	109	218	0	2994158	93784568
1481349493972592868	500603132	786394844	109	218	0	3353207	93902430
1481349494473219131	500624793	786729912	108	216	0	3284655	108449431
1481349494973826227	500606470	796327959	109	218	0	3093117	91996895
1481349495474431031	500603614	776353707	109	218	0	3633819	96630350
1481349495975193544	500761575	796915349	110	220	0	3014488	106420156
1481349496475818848	500623783	796319966	109	218	0	3078309	91271369
1481349496976442069	500621783	766796365	111	222	0	3883392	99411763
1481349497477066290	500625829	806837672	110	220	0	2735554	103621595
1481349497977690220	500621361	796780043	111	222	0	3066649	91272771
1481349498478317607	500626603	761807240	110	220	0	3966080	101443625
1481349498978921120	500603603	810446283	110	220	0	2694017	101556477
1481349499479528924	500604777	796546382	108	216	0	3083114	91276078
1481349499980189479	500660154	761477014	112	224	0	3860410	104504755
1481349500480796408	500605513	811394067	111	222	0	2780443	98524302
1481349500981401296	500604465	797268041	111	222	0	3053236	91268662
1481349501482007808	500606362	762344830	110	220	0	3758149	107807837
1481349501982614904	500606140	811540296	110	220	0	2836871	95206137
1481349502483224417	500608391	797588203	110	220	0	3049871	91279209
1481349502983833430	500607296	770689885	109	218	0	3665782	108865557
1481349503484438776	500605772	802439310	109	218	0	2965528	94171204
1481349503985126497	500681970	788831659	110	220	0	3279831	93448985
1481349504485726009	500601654	784880786	108	216	0	3328142	108631370
1481349504986330230	500604844	796650077	109	218	0	3088762	92244257
1481349505486935076	500603215	778170749	109	218	0	3582412	96201021
1481349505987613756	500677465	795299354	109	218	0	3060174	106839089
1481349506488231352	500614492	795206898	109	218	0	3117625	91259201
1481349506988934115	500702893	768484157	109	218	0	3844273	98852455
1481349507489675669	500683347	806159381	111	224	0	2750774	104210433
1481349507990351974	500731939	795789199	111	220	0	3105233	91268823
1481349508491026903	500676039	762987335	110	220	0	3943134	101217849
1481349508991692041	500656892	810593037	111	222	0	2657795	101781048
1481349509492434220	500749060	797419218	108	216	0	3061179	91302215
1481349509993109650	500673704	761151848	111	222	0	3890999	104028758
1481349510493783621	500672973	811358111	111	222	0	2742742	98956287
1481349510994457467	500672547	796301032	110	220	0	3090506	91268117
1481349511495229897	500770932	761766072	111	222	0	3763674	107683176
1481349511995898743	500667759	811919409	109	218	0	2859918	95386634
1481349512496577047	500676616	796928976	109	218	0	3080923	91293366
1481349512997249477	500672881	769215902	109	218	0	3701116	108509129
1481349513497922948	500673421	803999727	109	218	0	2939123	94549685
1481349513998593877	500669664	790462891	108	216	0	3246061	92871344
1481349514499263057	500669144	780986610	109	218	0	3432818	108806919
1481349514999999944	500735498	799209106	110	220	0	3011038	92653650
1481349515500663707	500663318	780197158	113	225	0	3526097	95732583
1481349516001406303	344764988	555094069	131	244	1	1807259	64530643
1481349516502032649	490763679	603264750	2251	3096	4	3507901	130268903
1481349517002625370	500592270	628276554	1174	1284	0	4096813	137491100
1481349517503212883	500587356	632263544	1213	1322	0	3862640	137466344
1481349518003807146	500591503	630828263	1213	1324	0	3846342	137094949
1481349518504397700	500590615	630942559	1211	1320	0	3850109	137112440
1481349519005077296	500660890	633255499	1217	1327	0	3820960	137602551
1481349519505758684	500703693	633638352	1216	1325	0	3828566	137691052
1481349520006365280	500598555	632744325	1216	1326	0	3828245	137497144
1481349520506974917	500610661	630285658	1196	1306	0	3982416	137489398
1481349521007578888	500604636	628419243	1178	1288	0	4099436	137488782
1481349521508192443	500610858	632369682	1214	1323	0	3845247	137428012
1481349522008806539	500612475	632341762	1216	1327	0	3835244	137411403
1481349522509426176	500618577	632513513	1215	1324	0	3836141	137455852
1481349523010109856	500683825	632553015	1216	1327	0	3838773	137447916
1481349523510726368	500615557	632370879	1214	1323	0	3829792	137418122
1481349524011334423	500606594	632644063	1215	1324	0	3832934	137473888
1481349524511949060	500613875	628676453	1187	1296	0	4016642	137257251
1481349525012558823	500607592	628943734	1183	1293	0	4061562	137467592
1481349525513169502	500612225	632792363	1215	1324	0	3843759	137509181
1481349526013857557	500685032	632342964	1216	1327	0	3836631	137419429
1481349526514470611	500612713	632622642	1214	1323	0	3826112	137470494
1481349527015148749	500676977	631771161	1216	1328	0	3828789	137300593
1481349527515763762	500613619	631741939	1214	1324	0	3824548	137286575
1481349528016383816	500619602	632311605	1215	1325	0	3829608	137403966
1481349528516990662	500605960	628512250	1185	1294	0	4043306	137301052
1481349529017602341	500609712	629517518	1185	1294	0	4044178	137528653
1481349529518218187	500615202	632445582	1215	1324	0	3834579	137434403
1481349530018830658	500611101	631648654	1214	1325	0	3828057	137280138
1481349530519445671	500614889	632309480	1214	1323	0	3825828	137404571
1481349531020132100	500686398	632742423	1217	1328	0	3836201	137500297
1481349531520751696	500618801	632726636	1215	1324	0	3834086	137487595
1481349532021366251	500611704	632821390	1216	1326	0	3824403	137502910
1481349532521984347	500619212	628141380	1179	1288	0	4079396	137346826
1481349533022592193	500604873	629869318	1192	1302	0	4000630	137480079
1481349533523208164	500616096	632705153	1214	1321	0	3831678	137480801
1481349534023815926	500605829	632137617	1215	1327	0	3826897	137374439
1481349534524421064	500604469	632406084	1214	1323	0	3835116	137428489
1481349535025109202	500687232	632379252	1216	1327	0	3829290	137419537
1481349535525725714	500616407	632597281	1214	1322	0	3834681	137464124
1481349536026429977	500703031	632511186	1218	1330	0	3836973	137461202
1481349536527065698	500632639	627716830	1175	1286	0	4102877	137361384
1481349537027780711	500715220	629871062	1198	1310	0	3964541	137340350
1481349537528479349	500697619	632786880	1217	1328	0	3829110	137493344
1481349538029179737	500699832	631634926	1217	1330	0	3846337	137269161
1481349538529960041	500780085	632206694	1214	1324	0	3850662	137387904
1481349539030665513	500703578	632101756	1217	1329	0	3842145	137372615
1481349539531364859	500700063	633087482	1217	1328	0	3820750	137559527
1481349540032058580	500692954	631815339	1213	1323	0	3861934	137395282
1481349540532759426	500698580	628263016	1173	1282	0	4104467	137502143
1481349541033459605	500696622	630668181	1201	1311	0	3951678	137413032
1481349541534166077	500704090	633022362	1216	1325	0	3826864	137548722
1481349542034961381	500795515	632773002	1217	1329	0	3829089	137498100
1481349542535668519	500708477	632529011	1215	1324	0	3827292	137444545
1481349543036367449	500698272	632548788	1215	1325	0	3837756	137455672
1481349543537138087	418128447	519180700	1027	1161	1	3483203	113795760
1481349544037892808	419013164	529829071	7204	13855	4	1447011	32535000
1481349544538620446	500728082	653336135	7495	14731	0	1664067	39108213
1481349545039345625	500725843	653309517	7711	15160	0	1655279	38748153
1481349545540144763	500797550	655966654	7528	14799	0	1660392	39137515
1481349546040845609	500700952	650736770	7679	15093	0	1645166	38746997
1481349546541464830	500616134	657949609	7559	14866	0	1666876	38905942
1481349547042074760	500611861	647545484	7648	15026	0	1658602	38968276
1481349547542686522	500611695	656733933	7589	14925	0	1676370	38712290
1481349548043281160	500591871	647855337	7652	15035	0	1641323	39240152
1481349548543890339	500606634	659184699	7558	14864	0	1669277	38705988
1481349549044536060	500623265	647735885	7665	15063	0	1648991	39255692
1481349549545293573	500780283	658919168	7537	14819	0	1677751	38680387
1481349550045932003	500632644	650121832	7519	14770	0	1651307	39136400
1481349550546594932	500667286	655941712	7673	15092	0	1666295	38747395
1481349551047229278	500630310	653157565	7495	14728	0	1655105	39106651
1481349551547856832	500625990	653365458	7709	15159	0	1645562	38734921
1481349552048488720	500628389	655783155	7527	14796	0	1659578	39122061
1481349552549134066	500647582	650926569	7680	15094	0	1645517	38737846
1481349553049760287	500627732	657787840	7557	14863	0	1673537	38962337
1481349553550380800	500621392	647823899	7647	15024	0	1654684	38899402
1481349554050998354	500614200	656684688	7595	14938	0	1682634	38745088
1481349554551619825	500619923	647392288	7647	15024	0	1658048	39231214
1481349555052245505	500621442	658278368	7545	14838	0	1673705	38693341
1481349555552884101	500632017	648520891	7634	14999	0	1650194	39250539
1481349556053625655	500750601	659848376	7587	14921	0	1655263	38761615
1481349556554257460	500626818	650203081	7598	14927	0	1641530	39237638
1481349557054989222	500729256	657962969	7619	14984	0	1667490	38744564
1481349557555627318	500639097	651439784	7482	14698	0	1662968	39138616
1481349558056273998	500647986	655811828	7722	15189	0	1661813	38787475
1481349558556915511	500636577	653561243	7498	14736	0	1660001	39118992
1481349559057559398	500645935	653381158	7709	15156	0	1659804	38774342
1481349559558194869	500635685	655911933	7529	14801	0	1673286	39108568
1481349560058823007	500626026	650701098	7676	15087	0	1660859	38765209
1481349560559458811	500635716	657989606	7561	14870	0	1671003	38900829
1481349561060132741	500674549	648829940	7649	15028	0	1650623	39025168
1481349561560761545	500627876	657565723	7593	14934	0	1683581	38754088
1481349562061376933	500614470	647991606	7649	15028	0	1641167	39256117
1481349562561997862	500620353	658205796	7565	14878	0	1682389	38727862
1481349563062626291	500627899	647225993	7673	15076	0	1653493	39258421
1481349563563246304	500618166	659435334	7527	14802	0	1673760	38672849
1481349564063881567	500631950	649484431	7542	14815	0	1646387	39146898
1481349564564532330	500650365	657218994	7659	15065	0	1667492	38770389
1481349565065234592	500695590	652168170	7484	14702	0	1654475	39135627
1481349565565972855	500744439	655663063	7730	15204	0	1663384	38812165
1481349566066597243	500621760	654034686	7505	14750	0	1646618	39114885
1481349566567238172	500642824	653203325	7706	15150	0	1658081	38783501
1481349567067896560	500630300	656104286	7531	14806	0	1674482	39102929
1481349567568605073	500727913	650092596	7668	15070	0	1654375	38756263
1481349568069310127	500709099	658578748	7569	14886	0	1674230	38866855
1481349568570060515	500750631	648970045	7648	15026	0	1648886	39086857
1481349569070755861	500694897	659667361	7594	14936	0	1668447	38780252
1481349569571443958	500687282	647835900	7647	15024	0	1643065	39244409
1481349570072130804	500684320	658561267	7589	14925	0	1681613	38749347
1481349570572824525	500693646	647452273	7653	15037	0	1650993	39258705
1481349571073516996	334957590	457056297	4014	7562	5	1069710	24987571
1481349571574212592	500692311	742245103	3157	6178	0	1351596	37833286
1481349572074979022	500766813	743374536	3159	6182	0	1399427	38898703
1481349572575698660	500705133	745055120	3156	6176	0	1394606	38987400
1481349573076400881	500714772	743985825	3157	6178	0	1419333	39105816
1481349573577086685	500683842	744459544	3157	6178	0	1415983	39213247
1481349574077770906	500685918	744205950	3159	6182	0	1419508	39196210
1481349574578452419	500681103	744399729	3157	6178	0	1418039	39214995
1481349575079142932	500683881	745325020	3114	6091	0	1414579	39154953
1481349575580046279	500896012	751455396	2829	5531	0	1398918	38778919
1481349576080686625	500652896	751374794	3150	6173	0	1397004	38788732
1481349576581288137	500599182	744402684	3157	6178	0	1384437	37619782
1481349577081878941	500587200	742534555	3158	6180	0	1364434	37973863
1481349577582490829	500612910	744696450	3155	6174	0	1398221	38946848
1481349578083095383	500604108	745272902	3159	6182	0	1395377	39000080
1481349578583717271	500618766	743761529	3158	6180	0	1413289	39076319
1481349579084332825	500616555	744358956	3160	6184	0	1417825	39184900
1481349579585030130	500693280	744252497	3160	6184	0	1417269	39196783
1481349580085647351	500618796	744054559	3160	6184	0	1419250	39190423
1481349580586269655	500616798	745536725	3100	6064	0	1414005	39145976
1481349581086938168	500653453	751427030	2844	5561	0	1393674	38760350
1481349581587591931	500670914	751424879	3151	6174	0	1390242	38806173
1481349582088209610	500616000	743872043	3159	6182	0	1377651	37554458
1481349582588831331	500619747	742438955	3156	6176	0	1362310	38033714
1481349583089449969	500617398	744023481	3158	6180	0	1390900	38938438
1481349583590158315	500708484	743048360	3158	6180	0	1399540	38902016
1481349584090779494	500620365	743702733	3158	6180	0	1416774	39181327
1481349584591398632	500617398	744368943	3157	6178	0	1415011	39188366
1481349585092012645	500615571	744177539	3158	6180	0	1421683	39201354
1481349585592708949	500695551	744969916	3157	6178	0	1416938	39205222
1481349586093324503	500610363	747661247	2988	5840	0	1408927	38995530
1481349586593999141	500670814	751719211	2952	5779	0	1394940	38819879
1481349587094733446	500647382	750663045	3153	6176	0	1402798	38759193
1481349587595353292	500710920	743580634	3156	6176	0	1372001	37526620
1481349588095969138	500614788	743236000	3158	6180	0	1371405	38172634
1481349588596585900	500615709	745481554	3157	6178	0	1398513	38993765
1481349589097206288	500620053	744985313	3158	6180	0	1392553	38964927
1481349589597824176	500614290	744215094	3158	6180	0	1414973	39121118
1481349590098439688	500614995	744227866	3161	6186	0	1418869	39203371
1481349590599062576	500620926	744197255	3159	6182	0	1419865	39202525
1481349591099736630	500674596	744202372	3161	6186	0	1417832	39192663
1481349591600358185	500618070	746015236	3089	6043	0	1406104	39104531
1481349592101026281	500647194	751484991	2855	5582	0	1397560	38778824
1481349592601694544	500689563	751277544	3149	6170	0	1400584	38784652
1481349593102313348	500618970	744050547	3158	6180	0	1378914	37581624
1481349593602927694	500613690	741876387	3157	6178	0	1367882	37991690
1481349594103551415	500622237	744160717	3159	6182	0	1393488	38936784
1481349594604255803	470691325	696297518	2818	5492	1	1381475	38263149
1481349595105013941	365293545	569263636	1114	1878	4	4042254	62956591
1481349595605704370	500687700	799171117	351	674	0	5591719	87605077
1481349596106315216	500612040	808498399	193	373	0	5652336	88429873
1481349596606922729	500605822	808548995	192	371	0	5657057	88480119
1481349597107526158	500599769	801042280	275	524	0	5602808	87781258
1481349597608142712	500616555	808452301	192	371	0	5658500	88394698
1481349598108750933	500609336	808430816	193	373	0	5660044	88472688
1481349598609356321	500603156	808800611	193	373	0	5650768	88478845
1481349599110042250	500683225	800773667	278	530	0	5599553	87733960
1481349599610649096	500608900	808646813	192	371	0	5653497	88446740
1481349600111256817	500605681	808585238	193	373	0	5656448	88480467
1481349600611860122	500602389	801074486	275	524	0	5601540	87780049
1481349601112473843	500612660	808552602	193	373	0	5645567	88403893
1481349601613063480	500589745	807472231	192	371	0	5698546	88365276
1481349602113669618	500604010	808761860	192	371	0	5651274	88475835
1481349602614354964	500684583	800685052	276	526	0	5596411	87711164
1481349603115115102	500758572	808711707	194	375	0	5655662	88464613
1481349603615767031	500651243	808708182	192	371	0	5655672	88491016
1481349604116434836	500665572	801126496	276	526	0	5601763	87784858
1481349604617097849	500663398	808939298	192	371	0	5648070	88448288
1481349605117753945	500653541	808675576	193	373	0	5662089	88499070
1481349605618472374	500720290	809041268	192	371	0	5652882	88503145
1481349606119058387	500584248	800855046	276	526	0	5600329	87732858
1481349606619682358	500577882	808572951	192	370	0	5655476	88453701
1481349607120262329	500623487	808697935	192	372	0	5655074	88486401
1481349607620851258	500590635	801376099	275	524	0	5603061	87805288
1481349608121461562	500607096	808557234	193	373	0	5646817	88410497
1481349608622067075	500604784	808517269	194	375	0	5660429	88485314
1481349609122678088	500609795	808626749	195	377	0	5649449	88464731
1481349609623289059	500609264	800913747	277	528	0	5599647	87737442
1481349610123895405	500604632	808258855	195	377	0	5656916	88427787
1481349610624506042	500609937	808612712	195	377	0	5653003	88474559
1481349611125157805	500651442	801020122	279	532	0	5601557	87767364
1481349611625766359	500605170	808646977	194	375	0	5647930	88423883
