#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481349508841713333	automotive_bitcount	1000	54	0.900000	0.532000	0.520000	500656892	810593037	111	222	0	2657795	101781048
1481349509350686820	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500749060	797419218	108	216	0	3061179	91302215
1481349509859689849	automotive_bitcount	1000	54	0.900000	0.551000	0.538000	500673704	761151848	111	222	0	3890999	104028758
1481349510368651670	automotive_bitcount	1000	54	0.900000	0.558000	0.545000	500672973	811358111	111	222	0	2742742	98956287
1481349510877683115	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500672547	796301032	110	220	0	3090506	91268117
1481349511386573727	automotive_bitcount	1000	54	0.900000	0.560000	0.548000	500770932	761766072	111	222	0	3763674	107683176
1481349511895556089	automotive_bitcount	1000	54	0.900000	0.525000	0.514000	500667759	811919409	109	218	0	2859918	95386634
1481349512404424951	automotive_bitcount	1000	54	0.900000	0.560000	0.548000	500676616	796928976	109	218	0	3080923	91293366
1481349512913424480	automotive_bitcount	1000	54	0.900000	0.542000	0.531000	500672881	769215902	109	218	0	3701116	108509129
1481349513422391551	automotive_bitcount	1000	54	0.900000	0.558000	0.545000	500673421	803999727	109	218	0	2939123	94549685
1481349513931282330	automotive_bitcount	1000	54	0.900000	0.557000	0.544000	500669664	790462891	108	216	0	3246061	92871344
1481349514440184775	automotive_bitcount	1000	54	0.900000	0.560000	0.547000	500669144	780986610	109	218	0	3432818	108806919
1481349514949153471	automotive_bitcount	1000	54	0.900000	0.561000	0.548000	500735498	799209106	110	220	0	3011038	92653650
1481349515458049999	automotive_bitcount	1000	54	0.900000	0.552000	0.539000	500663318	780197158	113	225	0	3526097	95732583
1481349515967909947	automotive_qsort1	1000	54	0.900000	0.563000	0.550000	344764988	555094069	131	244	1	1807259	64530643
1481349516477364560	automotive_qsort1	1000	54	0.900000	0.604000	0.590000	490763679	603264750	2251	3096	4	3507901	130268903
1481349516986466172	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500592270	628276554	1174	1284	0	4096813	137491100
1481349517495555993	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500587356	632263544	1213	1322	0	3862640	137466344
1481349518004544480	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500590615	630942559	1211	1320	0	3850109	137112440
1481349518514055052	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500660890	633255499	1217	1327	0	3820960	137602551
1481349519023456581	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500703693	633638352	1216	1325	0	3828566	137691052
1481349519532550527	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500598555	632744325	1216	1326	0	3828245	137497144
1481349520041591306	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500610661	630285658	1196	1306	0	3982416	137489398
1481349520550702044	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500604636	628419243	1178	1288	0	4099436	137488782
1481349521059773281	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500610858	632369682	1214	1323	0	3845247	137428012
1481349521568914394	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500612475	632341762	1216	1327	0	3835244	137411403
1481349522078103798	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500618577	632513513	1215	1324	0	3836141	137455852
1481349522587242077	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500683825	632553015	1216	1327	0	3838773	137447916
1481349523096357314	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500615557	632370879	1214	1323	0	3829792	137418122
1481349523605452469	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500606594	632644063	1215	1324	0	3832934	137473888
1481349524114559956	automotive_qsort1	1000	54	0.900000	0.609000	0.595000	500613875	628676453	1187	1296	0	4016642	137257251
1481349524623694819	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500607592	628943734	1183	1293	0	4061562	137467592
1481349525132753973	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500612225	632792363	1215	1324	0	3843759	137509181
1481349525642233502	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500685032	632342964	1216	1327	0	3836631	137419429
1481349526151403282	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500612713	632622642	1214	1323	0	3826112	137470494
1481349526660491727	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500676977	631771161	1216	1328	0	3828789	137300593
1481349527169590048	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500613619	631741939	1214	1324	0	3824548	137286575
1481349527678653702	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500619602	632311605	1215	1325	0	3829608	137403966
1481349528187802940	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500605960	628512250	1185	1294	0	4043306	137301052
1481349528696849510	automotive_qsort1	1000	54	0.900000	0.605000	0.591000	500609712	629517518	1185	1294	0	4044178	137528653
1481349529205943206	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500615202	632445582	1215	1324	0	3834579	137434403
1481349529715098777	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500611101	631648654	1214	1325	0	3828057	137280138
1481349530224211765	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500614889	632309480	1214	1323	0	3825828	137404571
1481349530733268169	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500686398	632742423	1217	1328	0	3836201	137500297
1481349531242463281	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500618801	632726636	1215	1324	0	3834086	137487595
1481349531751545685	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500611704	632821390	1216	1326	0	3824403	137502910
1481349532260647631	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500619212	628141380	1179	1288	0	4079396	137346826
1481349532769792702	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500604873	629869318	1192	1302	0	4000630	137480079
1481349533278913731	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500616096	632705153	1214	1321	0	3831678	137480801
1481349533788027885	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500605829	632137617	1215	1327	0	3826897	137374439
1481349534297191456	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500604469	632406084	1214	1323	0	3835116	137428489
1481349534806381069	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500687232	632379252	1216	1327	0	3829290	137419537
1481349535315535640	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500616407	632597281	1214	1322	0	3834681	137464124
1481349535824692711	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500703031	632511186	1218	1330	0	3836973	137461202
1481349536333811115	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500632639	627716830	1175	1286	0	4102877	137361384
1481349536843218519	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500715220	629871062	1198	1310	0	3964541	137340350
1481349537352487132	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500697619	632786880	1217	1328	0	3829110	137493344
1481349537861573370	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500699832	631634926	1217	1330	0	3846337	137269161
1481349538370658607	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500780085	632206694	1214	1324	0	3850662	137387904
1481349538879704178	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500703578	632101756	1217	1329	0	3842145	137372615
1481349539388809040	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500700063	633087482	1217	1328	0	3820750	137559527
1481349539897970528	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500692954	631815339	1213	1323	0	3861934	137395282
1481349540407573766	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500698580	628263016	1173	1282	0	4104467	137502143
1481349540916775004	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500696622	630668181	1201	1311	0	3951678	137413032
1481349541425991492	automotive_qsort1	1000	54	0.900000	0.608000	0.594000	500704090	633022362	1216	1325	0	3826864	137548722
1481349541935160312	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500795515	632773002	1217	1329	0	3829089	137498100
1481349542444268925	automotive_qsort1	1000	54	0.900000	0.606000	0.592000	500708477	632529011	1215	1324	0	3827292	137444545
1481349542953580496	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	500698272	632548788	1215	1325	0	3837756	137455672
1481349543462695400	automotive_qsort1	1000	54	0.900000	0.607000	0.593000	418128447	519180700	1027	1161	1	3483203	113795760
1481349543972702973	automotive_susan_c	1000	54	0.900000	0.362000	0.354000	419013164	529829071	7204	13855	4	1447011	32535000
1481349544482070294	automotive_susan_c	1000	54	0.900000	0.635000	0.621000	500728082	653336135	7495	14731	0	1664067	39108213
1481349544991498282	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500725843	653309517	7711	15160	0	1655279	38748153
1481349545501106479	automotive_susan_c	1000	54	0.900000	0.636000	0.622000	500797550	655966654	7528	14799	0	1660392	39137515
1481349546010464134	automotive_susan_c	1000	54	0.900000	0.635000	0.621000	500700952	650736770	7679	15093	0	1645166	38746997
1481349546519934622	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500616134	657949609	7559	14866	0	1666876	38905942
1481349547029258151	automotive_susan_c	1000	54	0.900000	0.635000	0.621000	500611861	647545484	7648	15026	0	1658602	38968276
1481349547539180765	automotive_susan_c	1000	54	0.900000	0.593000	0.579000	500611695	656733933	7589	14925	0	1676370	38712290
1481349548048669128	automotive_susan_c	1000	54	0.900000	0.632000	0.618000	500606634	659184699	7558	14864	0	1669277	38705988
1481349548558058033	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500623265	647735885	7665	15063	0	1648991	39255692
1481349549067535230	automotive_susan_c	1000	54	0.900000	0.638000	0.623000	500780283	658919168	7537	14819	0	1677751	38680387
1481349549576792717	automotive_susan_c	1000	54	0.900000	0.628000	0.614000	500632644	650121832	7519	14770	0	1651307	39136400
1481349550086334289	automotive_susan_c	1000	54	0.900000	0.595000	0.581000	500667286	655941712	7673	15092	0	1666295	38747395
1481349550595645069	automotive_susan_c	1000	54	0.900000	0.636000	0.622000	500630310	653157565	7495	14728	0	1655105	39106651
1481349551105303849	automotive_susan_c	1000	54	0.900000	0.631000	0.617000	500625990	653365458	7709	15159	0	1645562	38734921
1481349551614645003	automotive_susan_c	1000	54	0.900000	0.595000	0.581000	500628389	655783155	7527	14796	0	1659578	39122061
1481349552124054533	automotive_susan_c	1000	54	0.900000	0.637000	0.622000	500647582	650926569	7680	15094	0	1645517	38737846
1481349552633482396	automotive_susan_c	1000	54	0.900000	0.631000	0.617000	500627732	657787840	7557	14863	0	1673537	38962337
1481349553142899259	automotive_susan_c	1000	54	0.900000	0.595000	0.581000	500621392	647823899	7647	15024	0	1654684	38899402
1481349553652500373	automotive_susan_c	1000	54	0.900000	0.638000	0.623000	500614200	656684688	7595	14938	0	1682634	38745088
1481349554161801485	automotive_susan_c	1000	54	0.900000	0.631000	0.617000	500619923	647392288	7647	15024	0	1658048	39231214
1481349554671675391	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500621442	658278368	7545	14838	0	1673705	38693341
1481349555181081421	automotive_susan_c	1000	54	0.900000	0.630000	0.616000	500632017	648520891	7634	14999	0	1650194	39250539
1481349555690545159	automotive_susan_c	1000	54	0.900000	0.594000	0.580000	500750601	659848376	7587	14921	0	1655263	38761615
