#Timestamp	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495865333582560122	500669020	18650	4090837	68429095	166605529	163635039	6588980
1495865334083182602	500623956	24387	4206313	69869804	167879643	163730212	6646692
1495865334583868166	500685374	23029	4103482	77563966	173411742	163049205	6307203
1495865335084524187	500653263	22692	4310119	72177011	168066229	164042167	6728871
1495865335585220709	500701221	22942	4134014	68455105	162218357	161468147	6963733
1495865336085947314	500726671	24150	4197904	75344159	171314393	166241308	6252555
1495865336586555753	500610018	24163	4096754	76171114	169795973	165465018	6133091
1495865337087175400	500618765	23237	4247078	73340383	170185769	164754938	6610097
1495865337587799546	500622237	23965	4053105	75013971	167251895	163234689	6270866
1495865338088425735	500629669	23151	4181259	77555202	170547713	166523669	6306637
1495865338589049715	500626764	23947	4198844	74269430	169151864	165844354	6499435
1495865339089659904	500611423	23447	4194121	76836495	169733349	166600129	6193022
1495865339590270884	500609456	23542	4229244	74749769	169617905	166193879	6318439
1495865340090910364	500633406	23533	4215934	72685772	167281025	164697251	6557953
1495865340591550511	500644676	23812	4284759	72987266	171737014	165054492	6697387
1495865341092175699	500624106	23368	4269905	75983201	171698037	166936662	6295289
1495865341592803263	500628516	23159	4258937	72516479	167487930	165391533	6820186
1495865342093446701	500640465	24572	4088265	71520682	171136011	162880348	6644358
1495865342594055557	500618392	23781	4113354	77829049	174763691	165448375	6170620
1495865343094676787	500623166	23673	4169802	73900156	167800669	164262789	6343271
1495865343595304100	500626752	22956	4149283	78538896	170765902	166302924	6143978
1495865344095923331	500614719	23041	4168670	77369395	170606277	166383644	6162948
1495865344596560477	500641480	23433	4287306	76340993	172206504	167597358	6196169
1495865345097179249	500619041	22985	4262076	70802780	164541705	164469230	6986889
1495865345597855896	500677992	22236	4284976	78709353	174948217	167298204	6145149
1495865346098603376	500748336	24283	4244264	74277800	171157843	166346098	6354272
1495865346599223815	500622091	24082	4077194	73624190	169226492	161834209	6594903
1495865347099827378	500602839	23649	4243207	72543087	169685026	165660529	6694283
1495865347600469983	500644745	23639	4192524	75847740	169261678	165684255	6281104
1495865348101081213	500610982	23875	4032165	72105186	163954798	161084454	6618480
1495865348601695902	500610776	24059	4114460	76001946	168420739	164920129	6162002
1495865349102308382	500613661	24214	4153324	73424509	170590290	165168950	6495022
1495865349602958696	500657274	22715	3907140	74807596	165868488	162871044	5844810
1495865350103720259	456239928	12408	2363001	50984989	123419829	119156546	5876569
1495865350604417072	385131954	37784	2484589	39531717	97824454	111691326	7039843
1495865351105136177	500723230	51226	3288932	47695907	120898970	143388477	9364257
1495865351605788283	500644122	50945	3271182	48869513	122503592	144253814	9289336
1495865352106500179	500717903	50350	3248664	50514372	124617898	145060619	9207528
1495865352607210993	500710681	49573	3228885	51466475	125429066	145236433	9122381
1495865353107910639	500705321	18723	1014249	74937180	190247386	136888059	5385197
1495865353608629036	500719995	11226	1152842	94717899	226161063	157896366	4775829
1495865354109256975	500628393	28821	762051	42487326	146645304	123857972	7775561
1495865354609909622	500650953	10097	5309796	73319101	110961832	142498738	5033407
1495865355110605518	500697774	7522	5237855	67799309	94621893	133938050	4693746
1495865355611226373	500624490	519	5137559	77544857	134959655	162197093	3766214
1495865356111838562	500613291	1437	3881819	68409678	94642288	117794674	3288429
1495865356612462292	500620905	2969	7207500	80095875	95291598	158425815	3300351
1495865357113095397	500632086	4774	2561462	52597358	104639400	99614594	4411457
1495865357613789002	500697849	11457	1945975	59805323	124769893	110118784	4834536
1495865358114403733	500616063	8271	1792172	52459599	107963754	93453972	3326328
1495865358615024629	500620026	7942	1757600	52012670	107293699	92158478	3214037
1495865359115651276	500621967	7982	1744441	52440631	107138681	92163991	3196262
1495865359616295965	500650935	6570	1755998	50963246	105741482	89555171	2927108
1495865360116915778	500619823	8315	6517686	89005265	114812588	172236059	4616014
1495865360617531634	500616308	224	11844593	118933566	125810183	244926517	2057065
1495865361118148280	500617809	224	1379668	37186454	701709029	233508844	70814371
1495865361618841511	500693961	238	4404477	61398311	541551524	238905474	52161721
1495865362119456199	500617251	224	11848754	119109421	125919463	245440740	2093326
1495865362620073804	500612181	46735	4101616	59540416	154986486	160640801	7442649
1495865363120720576	500651043	4338	668054	26453603	262259753	148014556	6728560
1495865363621334223	500614296	228	609763	25527056	261911203	147549051	6221380
1495865364121955203	500621679	224	596096	25211480	258381818	145931106	6330477
1495865364622647808	500694003	226	598245	24716806	252217006	143377318	6646746
1495865365123323080	500616291	224	606501	24636070	251139493	143163542	6654260
1495865365623960227	500698890	284	536287	26156568	255025241	141698751	6134093
1495865366124574082	500611860	262	554380	27691087	245693260	139156926	6802603
1495865366625185729	500613747	226	606606	26806508	238114268	139657242	7025676
1495865367125810334	500623968	248	608385	26620058	236553113	138751128	7215700
1495865367626433773	500624400	226	586835	26218811	232652943	136954258	7368905
1495865368127044336	500611059	224	596457	26011702	230741814	136287278	7546385
1495865368627662275	500619855	226	596740	25820546	229039068	135545916	7607439
1495865369128333713	500614395	224	593831	25802260	228822949	135534209	7636536
1495865369628954402	500681322	1232	125240	29412377	165579732	101664551	6452857
1495865370129562923	500608104	224	22217	5257680	134039902	69262025	12279419
1495865370630262529	500700669	226	23284	5305924	135240524	69906580	12439999
1495865371130952634	500689479	222	22097	5209615	132418943	68430913	12073034
1495865371631646905	500694843	226	22103	5360213	137015838	70810809	12629568
1495865372132331552	500684619	224	21937	5284589	134685692	69602693	12361151
1495865372633020907	500691798	226	21897	5296486	135152360	69842889	12408204
1495865373133772721	500752815	226	22337	5263659	133921073	69221661	12262704
1495865373634466992	500693406	226	22859	5301405	135028891	69797141	12385482
1495865374135208347	500742051	224	22232	5212423	132521642	68483551	12084460
1495865374635842453	500635896	226	22944	5277008	134358400	69443075	12316271
1495865375136468349	500626836	226	22006	5190672	132052203	68232467	12030378
1495865375637094205	500626587	226	22642	5318722	135635561	70102467	12471663
1495865376137723101	500626635	224	21506	5383873	136982489	70803061	12768665
1495865376638408207	500691267	228	22507	5250084	133548985	69024713	12218865
1495865377139031312	500620866	224	21817	5252162	133697145	69090863	12240506
1495865377639681125	500651877	226	21931	5277250	134113725	69326453	12307882
1495865378140315980	500635944	224	21829	5470005	140245240	72307251	13096946
1495865378640946169	500630168	226	21778	5240947	133396322	68938059	12194509
1495865379141643482	500695471	226	21402	5264953	134249917	69366962	12300989
1495865379642364712	500728545	226	21926	5262505	134173203	69330592	12290383
1495865380142993859	500623278	224	21088	5282291	134847895	69664476	12381447
1495865380643750881	500758692	228	22401	5206181	132221115	68338465	12051293
1495865381144376444	500627388	224	21802	5268079	134208569	69359436	12303556
1495865381645021341	500646036	226	22250	5300930	134970821	69760951	12394253
1495865382145650488	500630064	224	21801	5285151	134762025	69630184	12362699
1495865382646286093	500635569	226	21846	5313169	135384227	69962465	12445591
1495865383146921907	500634495	226	22187	5309326	135289219	69918423	12429693
1495865383647642178	500719740	226	22237	5463643	138416970	71407295	13003595
1495865384148380283	500628906	235	403113	21074921	213582231	117757207	9098838
1495865384648997430	500726814	228	548797	27114827	238398874	135013082	7464587
1495865385149617744	500621529	224	532489	26785431	235691455	133432270	7596504
1495865385650243766	500629293	226	545677	26449758	232324495	132399524	7699694
1495865386150861038	500618556	224	536658	26124000	229463354	131066397	7936083
1495865386651481143	500617962	226	527227	25971268	228070355	130423106	8038384
1495865387152101873	500623260	232	532264	25869262	227121189	130200062	8053467
1495865387652719603	500617926	245	174378	32628108	199204280	112698338	5295245
1495865388153406292	500685292	1623	827322	102446473	255120242	164623236	5569876
1495865388654050813	500647046	919	767103	57681216	112332568	90003693	8005681
1495865389154709127	339815770	23759	1710987	36057092	86493606	91497983	6663409
1495865389655352357	500638557	51503	3302560	46903414	119756289	142796421	9399334
1495865390156070087	500717753	50964	3278073	48458235	121842549	143883655	9315927
1495865390656770609	500709468	50474	3256574	49851041	123648956	144687667	9221489
1495865391157399714	500629016	50024	3239137	51664634	126148903	145840789	9128470
1495865391658066694	500668287	30360	2021543	41021546	95915667	98785483	5771772
1495865392158756924	500692349	1446	429748	28615677	55824889	34862069	753284
1495865392659376279	500619509	1439	413354	28580030	55739104	34543538	753367
1495865393160092968	500716673	1540	420727	28557644	55859659	34765230	800648
1495865393660710031	500617924	1434	395507	28515001	55601333	34187057	798674
1495865394161330928	500620903	1429	410196	28503675	55581920	34407650	799735
1495865394661948617	500620569	1431	394452	28504726	55578077	34161562	800417
1495865395162567639	500618794	1432	418036	28520815	55610433	34560957	799550
1495865395663182119	500616150	1429	407601	28513460	55599208	34391412	799502
1495865396163915682	500733775	1437	414637	28535403	55635728	34537562	798893
1495865396664527204	500610568	1438	429564	28532965	55648610	34762223	806055
1495865397165151517	500624849	1436	420604	28524721	55611732	34619797	801466
1495865397665771289	500621744	1434	409294	28517052	55600064	34431000	803377
1495865398166402936	500628601	1439	425845	28537346	55644396	34717067	804875
1495865398667018750	500619234	1429	398973	28500186	55569372	34227343	798527
1495865399167633438	500614412	1436	401721	28518890	55613086	34305709	799533
1495865399668308127	500615214	1428	400437	28506306	55574511	34267931	802076
1495865400168931065	500683268	1434	391529	28501214	55579662	34121292	799427
1495865400669545712	500617796	1438	418864	28530954	55639616	34583136	800535
1495865401170158942	500611367	1438	411421	28521293	55627096	34449288	798370
1495865401670773214	500617011	1437	425561	28534682	55634418	34681481	804972
1495865402171389403	500612661	2671	1111530	30420464	75367153	69760329	2066877
1495865402672006175	500618445	1813	2125304	25908893	120785906	152448483	5027483
1495865403172696363	500693934	1819	2117105	25897408	120836114	152474054	5005763
1495865403673373801	500610033	5231	2417286	30869291	124656951	154040651	5830072
1495865404174005948	500698675	9984	1597069	51410285	85889376	57196846	26427755
1495865404674623387	500615726	21691	1602644	80164262	139939080	77889232	15850031
1495865405175248700	500630436	11482	1709991	46507097	131890983	79233505	16750789
1495865405675946139	500696541	264	5187043	85078817	267000863	185554466	3457608
1495865406176629744	500686131	236	5673844	84955479	287809780	205189438	2449272
1495865406677312432	500683075	232	5733593	84567373	301095431	215166392	1722943
1495865407177992412	500680987	224	5432173	86104281	311908304	218204370	1270239
1495865407678815309	500823570	226	5544791	85384561	311035399	218685506	1496706
1495865408179530539	500712022	224	5825164	84107502	304412535	217200769	1533830
1495865408680309602	500790228	236	6086878	83747963	291579735	214482575	1802753
1495865409181008832	500691981	234	6162690	83186600	295013175	217225135	1586374
1495865409681705896	500699302	224	5205503	86383051	314904065	216495903	1080207
1495865410182401918	500696471	226	5403695	85648179	312482791	217802762	1059918
1495865410683086189	500685784	224	5655588	84859978	309784447	219295671	1098221
1495865411183911044	500825157	226	5482255	85195388	312401506	217889435	1138261
1495865411684605524	500694569	228	5634450	84408653	301642131	212655288	1598203
1495865412185306004	500701016	224	5485881	85313726	311578367	217913834	1193576
1495865412686029984	500723884	224	5287407	85690981	314247636	216404922	1323305
1495865413186633090	500603261	224	5401358	85178497	313157108	217154285	1259570
1495865413687249070	500617412	220	5526576	84985846	311119260	217884744	1384260
1495865414187867008	500621341	224	5736156	84397760	308976535	219123059	1369424
1495865414688609363	500743132	226	5867809	84731532	306512038	220546915	1462371
1495865415189228010	500616294	230	5781393	84758983	302570727	216835837	1724976
1495865415689842157	500617012	224	5495369	85718730	309781929	218222110	1252170
1495865416190451054	500603735	224	5348242	86023391	312133552	217106456	1417096
1495865416691066618	500621469	224	5687743	85014794	307726546	219253832	1426884
1495865417191684681	500616994	224	5671412	84992019	308805359	219015906	1458764
1495865417692301286	500617879	224	5627292	85222042	309886172	219131861	1169120
1495865418192912600	500612398	224	6062122	83977277	303723399	221654475	1198684
1495865418693606163	500693149	228	5979115	84078632	299950547	217668335	1505848
1495865419194219768	500615178	226	5555855	84495940	312589002	217895445	1374601
1495865419694834457	500616087	224	5511334	84296707	313088882	217198719	1472892
1495865420195449729	500614694	224	5643945	84074678	310439536	217874903	1887699
1495865420696071834	500623408	224	5990047	83351789	305924755	220284804	1680095
1495865421196691064	500617894	224	5535134	84256911	306899123	213818005	1465735
1495865421697303086	500614259	230	5937605	83250836	305847271	219651972	1349309
1495865422198032608	500729830	224	5267484	85577714	315599100	216221229	1076117
1495865422698747421	500717210	226	5542754	84307873	312883938	217770918	1047663
1495865423199375860	500629776	224	5736133	83388987	310473777	218738902	1285831
