#Timestamp	Benchmark	Run(#)	GPU Frequency (MHz)	GPU Temperature(C)	GPU Voltage(V)	GPU Power(W)	inst_executed_cs	sm_inst_executed_texture	sm_inst_executed_global_loads	m_inst_executed_global_stores	threads_launched	gpu_busy	sm_executed_ipc	sm_issued_ipc	l2_write_bytes	l2_read_bytes	sm_active_cycles	sm_active_warps	sm_warps_launched
23552 stream_cluster 1 76 32 0.820000 0.663000  nan nan nan nan 9.199736 nan nan nan nan nan nan nan nan
24064 stream_cluster 1 76 32 0.820000 0.570000  nan nan nan nan 9.563194 nan nan nan nan nan nan nan nan
24584 stream_cluster 1 76 32 0.820000 0.739600  nan nan nan nan 9.981674 nan nan nan nan nan nan nan nan
25096 stream_cluster 1 76 32 0.820000 0.662600  nan nan nan nan 11.678113 nan nan nan nan nan nan nan nan
25608 stream_cluster 1 76 32 0.820000 0.631800  nan nan nan nan 10.084592 nan nan nan nan nan nan nan nan
26120 stream_cluster 1 76 32 0.820000 0.662600  nan nan nan nan 11.323622 nan nan nan nan nan nan nan nan
26632 stream_cluster 1 76 32 0.820000 0.662800  nan nan nan nan 11.304833 nan nan nan nan nan nan nan nan
27144 stream_cluster 1 76 32 0.820000 0.755000  nan nan nan nan 11.968916 nan nan nan nan nan nan nan nan
27656 stream_cluster 1 76 32 0.820000 0.647200  nan nan nan nan 11.359614 nan nan nan nan nan nan nan nan
28168 stream_cluster 1 76 34 0.820000 0.847000  nan nan nan nan 13.502505 nan nan nan nan nan nan nan nan
28672 stream_cluster 1 76 33 0.820000 0.662200  nan nan nan nan 13.621052 nan nan nan nan nan nan nan nan
29184 stream_cluster 1 76 32 0.820000 0.631600  nan nan nan nan 11.381890 nan nan nan nan nan nan nan nan
29704 stream_cluster 1 76 32 0.820000 0.555000  nan nan nan nan 11.928983 nan nan nan nan nan nan nan nan
30216 stream_cluster 1 76 32 0.820000 0.755000  nan nan nan nan 11.427349 nan nan nan nan nan nan nan nan
