#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402052365188221	parsec.dedup	1	1800	35	1.200000	0.512000	0.637000	641434020	54677	3696136	55555411	137892116	161382798	10641431
1496402052875496812	parsec.dedup	1	1800	36	1.100000	1.209000	1.448000	993693377	87968	5802732	83277935	208677477	249713379	16745281
1496402053385771571	parsec.dedup	1	1800	36	1.100000	1.218000	1.459000	992424858	86542	5769295	88232027	215246020	252899142	16522210
1496402053896000330	parsec.dedup	1	1800	36	1.100000	1.246000	1.492000	1168825978	70617	2597251	68969808	247756821	214816684	19631195
1496402054406100922	parsec.dedup	1	1800	36	1.100000	1.162000	1.392000	1305476501	68722	4755595	95493180	439692908	337285166	23665227
1496402054915917806	parsec.dedup	1	1800	37	1.200000	1.334000	1.600000	1680264583	47572	7628557	145894310	705454256	507587064	26214334
1496402055425362233	parsec.dedup	1	1800	39	1.200000	2.143000	2.578000	1695178292	30805	5600770	160478456	806671257	530562929	18262103
1496402055934682826	parsec.dedup	1	1800	39	1.200000	2.215000	2.664000	1658735889	33921	4965072	150428954	801586019	521158149	18022735
1496402056443796794	parsec.dedup	1	1800	40	1.200000	2.264000	2.723000	1688338595	35389	4973362	170552177	758465718	485064210	18179769
1496402056953098763	parsec.dedup	1	1800	40	1.200000	2.173000	2.614000	1737251152	63897	8148983	166291775	745905477	538873717	26943020
1496402057462646981	parsec.dedup	1	1800	41	1.200000	2.221000	2.671000	1794043089	92002	11052647	187082792	703360845	552361872	34239662
1496402057972286448	parsec.dedup	1	1800	41	1.200000	2.148000	2.584000	1792710543	93858	11003231	184467352	684948400	545304108	34119884
1496402058481776458	parsec.dedup	1	1800	41	1.200000	2.137000	2.570000	1793191885	76928	11805218	198597323	683403921	549625646	33810933
1496402058991168968	parsec.dedup	1	1800	41	1.200000	2.110000	2.538000	1802501841	15016	14908666	245641076	781433388	614341629	32067559
1496402059500048645	parsec.dedup	1	1800	42	1.200000	2.231000	2.683000	1802383213	14211	16153139	269038206	741630208	617328341	29512806
1496402060008968906	parsec.dedup	1	1800	42	1.200000	2.288000	2.752000	1802422460	6947	18790192	310248539	821567574	681280583	26667152
1496402060517920708	parsec.dedup	1	1800	42	1.200000	2.287000	2.751000	1802767007	12258	19069892	352748767	712294998	649492800	20020691
1496402061027479842	parsec.dedup	1	1800	42	1.200000	2.259000	2.717000	1802986259	11399	20215851	341417127	719972352	658094972	20863831
1496402061536945644	parsec.dedup	1	1800	43	1.200000	2.267000	2.727000	1802653286	12456	19412865	346009460	712740583	648162685	20920234
1496402062046290237	parsec.dedup	1	1800	43	1.200000	2.274000	2.735000	1802623587	10407	19402023	352267462	715486896	649137668	21110891
1496402062555203706	parsec.dedup	1	1800	43	1.200000	2.262000	2.721000	1802529505	10198	19484647	358202620	719241873	657207001	17985678
1496402063064205174	parsec.dedup	1	1800	43	1.200000	2.263000	2.722000	1802545366	12269	19667016	348657683	718710314	653181577	19406898
1496402063573097060	parsec.dedup	1	1800	43	1.200000	2.270000	2.730000	1802600374	8079	19678538	359778417	729880105	660020779	19463898
