#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495799562296962258	parsec.dedup	1	1800	38	1.100000	1.285000	1.539000	901130368	4033745	2030743	291528400	2532727	678237721	23237
1495799562806458953	parsec.dedup	1	1800	38	1.100000	1.285000	1.539000	901148431	4232323	2141255	284907969	2606435	664332617	24657
1495799563316021545	parsec.dedup	1	1800	38	1.100000	1.266000	1.516000	901154655	3997152	2006061	293641867	2485346	679338201	23830
1495799563825323236	parsec.dedup	1	1800	38	1.200000	1.286000	1.543000	901109105	4320107	2184657	282980892	2650045	653923625	24579
1495799564334657616	parsec.dedup	1	1800	38	1.100000	1.274000	1.526000	901101354	4164433	2096345	288380333	2573354	659977946	23496
1495799564844009800	parsec.dedup	1	1800	38	1.200000	1.281000	1.537000	901143166	4159951	2105606	289338073	2561650	665015663	23469
1495799565353303382	parsec.dedup	1	1800	38	1.100000	1.279000	1.532000	901121309	4121949	2065959	290975500	2544240	668964125	23966
1495799565862710306	parsec.dedup	1	1800	38	1.100000	1.276000	1.528000	901154676	4164703	2096616	291099910	2576009	664966645	24591
1495799566372060254	parsec.dedup	1	1800	38	1.200000	1.278000	1.533000	901115935	4140280	2085506	287503576	2567351	667823386	24185
1495799566881587168	parsec.dedup	1	1800	38	1.200000	1.285000	1.542000	901234579	4198892	2119373	286039903	2596400	657413932	24901
1495799567390956937	parsec.dedup	1	1800	38	1.200000	1.285000	1.542000	901189541	4366976	2219114	281490658	2694330	648164321	25004
1495799567900603505	parsec.dedup	1	1800	38	1.200000	1.310000	1.572000	901140220	3814253	2034277	278713073	2448000	641569872	22367
1495799568410537010	parsec.dedup	1	1800	38	1.200000	1.288000	1.545000	901361210	4302204	2162255	284366808	2637449	655850005	24368
1495799568920348188	parsec.dedup	1	1800	38	1.200000	1.291000	1.549000	901329000	3997819	2010629	281312278	2470755	634018806	21893
1495799569429917971	parsec.dedup	1	1800	38	1.100000	1.287000	1.541000	901293889	4178838	2082922	290684960	2583358	667383217	24343
1495799569939193174	parsec.dedup	1	1800	38	1.100000	1.275000	1.527000	901235197	4509313	2268102	280778320	2779599	645260057	24862
1495799570448547607	parsec.dedup	1	1800	38	1.100000	1.293000	1.549000	901264174	4419922	2201713	284423706	2711047	648591580	24805
