#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495831112724440008	parsec.dedup	1	1800	39	1.1	1.265	1.517	901129824	4551781	2315119	278208087	2837437	627682927	24674	38732	7050955	122084834	282856531	275521768	11510740
1495831113233849893	parsec.dedup	1	1800	39	1.2	1.264	1.517	901112253	4222986	2131926	288623650	2629296	657343246	24938	40412	7066853	130865462	292789938	283516032	10476860
1495831113743291913	parsec.dedup	1	1800	39	1.1	1.263	1.514	901139782	4247026	2159207	287075108	2632219	663190846	24425	39426	7233066	127265700	288799024	282370141	11162342
1495831114252779448	parsec.dedup	1	1800	39	1.2	1.268	1.522	901150930	4112773	2056134	290050616	2542997	670484148	24142	39307	7182944	129680723	291273386	280844166	10740447
1495831114762077787	parsec.dedup	1	1800	39	1.2	1.270	1.524	901181582	3777403	1900436	293154208	2355001	691897721	22751	39944	7246032	126839108	289426157	283504683	10775922
1495831115271446117	parsec.dedup	1	1800	39	1.2	1.272	1.526	901210155	4217402	2112891	286220008	2590628	664441423	24299	39376	7245454	131794400	293776206	285739013	10732370
1495831115780810959	parsec.dedup	1	1800	39	1.1	1.269	1.521	901222692	4044529	2019070	290970593	2504479	673926875	23728	38932	7235929	128963729	294127415	282545890	11559088
1495831116290115895	parsec.dedup	1	1800	39	1.1	1.265	1.517	901142724	3742135	1879443	293895266	2367947	695830912	22625	38824	7054483	124339737	284572598	277124277	11427659
1495831116800601342	parsec.dedup	1	1800	39	1.2	1.267	1.520	901206660	3904997	1956985	293526760	2468316	686272830	23194	37848	6983019	127971589	288796059	279375402	10951561
1495831117310409528	parsec.dedup	1	1800	39	1.2	1.268	1.522	901238843	4111041	2057725	289748101	2564818	671233263	23549	40703	6813704	124986935	283235965	274629729	10885615
1495831117820052975	parsec.dedup	1	1800	39	1.1	1.267	1.518	901182099	4033745	2030743	291528400	2532727	678237721	23237	40045	7044257	126935948	292368990	282590126	10929563
1495831118329648974	parsec.dedup	1	1800	39	1.1	1.279	1.533	901151842	4232323	2141255	284907969	2606435	664332617	24657	39627	7079508	123276468	282286125	278983505	11281975
1495831118839125962	parsec.dedup	1	1800	39	1.1	1.262	1.512	901158818	3997152	2006061	293641867	2485346	679338201	23830	37946	7560858	124007816	288365206	283133215	11756039
1495831119348501062	parsec.dedup	1	1800	39	1.2	1.276	1.531	901136935	4320107	2184657	282980892	2650045	653923625	24579	38580	7363454	123319517	288254240	282822810	11719184
1495831119857897778	parsec.dedup	1	1800	39	1.1	1.262	1.513	901127412	4164433	2096345	288380333	2573354	659977946	23496	40043	7112334	125290567	291201695	279081691	10942512
1495831120367325937	parsec.dedup	1	1800	39	1.2	1.267	1.520	901166565	4159951	2105606	289338073	2561650	665015663	23469	40983	7063794	122428811	287439386	276705383	11118831
1495831120876691650	parsec.dedup	1	1800	39	1.1	1.262	1.513	901208334	4121949	2065959	290975500	2544240	668964125	23966	40750	7095708	127818074	289843816	281518475	10844058
1495831121386109783	parsec.dedup	1	1800	39	1.1	1.271	1.523	901161513	4164703	2096616	291099910	2576009	664966645	24591	41744	7125276	123625760	285417592	281050410	10809206
1495831121895461221	parsec.dedup	1	1800	39	1.2	1.265	1.517	901101402	4140280	2085506	287503576	2567351	667823386	24185	38805	7156167	121395666	281780023	279146813	11327135
1495831122405019412	parsec.dedup	1	1800	39	1.2	1.260	1.512	901305990	4198892	2119373	286039903	2596400	657413932	24901	40119	7223496	127315461	290837085	283070476	11079076
1495831122914379030	parsec.dedup	1	1800	39	1.2	1.272	1.526	901229365	4366976	2219114	281490658	2694330	648164321	25004	39904	7084104	123500638	286205146	279618150	11273141
1495831123423913694	parsec.dedup	1	1800	39	1.1	1.278	1.532	901189360	3814253	2034277	278713073	2448000	641569872	22367	35069	6884870	113964856	276680879	273293419	11766422
1495831123933585243	parsec.dedup	1	1800	39	1.2	1.275	1.529	901293380	4302204	2162255	284366808	2637449	655850005	24368	40160	7025733	124910763	291206050	277876257	11092939
1495831124443258900	parsec.dedup	1	1800	39	1.2	1.266	1.519	901356507	3997819	2010629	281312278	2470755	634018806	21893	38666	6905987	115443150	270492313	270619865	12241300
1495831124952728671	parsec.dedup	1	1800	39	1.1	1.266	1.518	901276582	4178838	2082922	290684960	2583358	667383217	24343	39315	7235640	128466993	292178396	282770980	11041857
1495831125462122298	parsec.dedup	1	1800	39	1.1	1.263	1.514	901152231	4509313	2268102	280778320	2779599	645260057	24862	40106	7075917	125099588	285230662	279967879	11145040
1495831125971476145	parsec.dedup	1	1800	39	1.1	1.279	1.534	901165519	4419922	2201713	284423706	2711047	648591580	24805	40173	6909944	129155993	286719684	278913167	10744845
1495831126480995472	parsec.dedup	1	1800	39	1.2	1.270	1.524	901081780	4182418	2094590	285635330	2585424	664400914	24292	40034	7057426	128225858	288785030	282192520	11114065
1495831126990451079	parsec.dedup	1	1800	39	1.2	1.273	1.527	901069510	4049994	2023699	289870815	2500880	679870936	23847	39454	7236329	129797128	289627341	284680826	10680642
1495831127499853397	parsec.dedup	1	1800	39	1.2	1.265	1.518	901109975	3929211	1967092	290844734	2436224	683106031	23364	40976	7011480	122829726	285878374	278494943	11178146
1495831128009237099	parsec.dedup	1	1800	39	1.1	1.272	1.524	901155109	4235210	2136611	285857213	2635479	659335650	24487	40442	7006954	120792737	285918539	277295021	11615983
1495831128518886655	parsec.dedup	1	1800	39	1.2	1.268	1.521	901119399	3958509	1998100	291664445	2495987	674250356	23465	40508	6997796	128306095	291169344	280176062	10820357
1495831129028436201	parsec.dedup	1	1800	39	1.2	1.273	1.527	901263781	4200822	2120900	289128796	2621786	662280307	24628	38877	7046961	132397979	289587500	282485379	10635284
1495831129537824809	parsec.dedup	1	1800	39	1.2	1.273	1.528	901140670	4207030	2101399	288493147	2599053	665911053	24221	39596	7097787	128794701	288964345	282914338	10836247
1495831130047225676	parsec.dedup	1	1800	39	1.2	1.270	1.524	901085317	3871653	1944236	290291741	2424766	689842637	23206	37988	7288127	127393651	289236554	282771403	11319387
1495831130556556399	parsec.dedup	1	1800	39	1.2	1.264	1.517	901078974	3931644	1958119	291556416	2423579	686932125	23236	40242	7005669	125831931	286852972	278999898	11204554
1495831131065881441	parsec.dedup	1	1800	39	1.2	1.275	1.530	901123188	4099821	2057918	289322366	2554243	669640845	23557	40429	7161948	124128336	289761574	280289135	11388453
1495831131575277839	parsec.dedup	1	1800	39	1.2	1.260	1.511	901128247	4179589	2106127	286378151	2562323	664376103	24264	39804	6837721	124823162	279378186	275797539	11103929
1495831132084768431	parsec.dedup	1	1800	39	1.2	1.276	1.531	901151448	4117598	2052562	290546739	2551942	666606856	24370	41166	7009763	127663694	288750303	281020751	10646963
1495831132594289129	parsec.dedup	1	1800	39	1.1	1.265	1.516	901085567	4396671	2219544	280082701	2687025	651414410	24905	38610	6759342	125254164	283670103	276318058	10549191
1495831133103749082	parsec.dedup	1	1800	39	1.2	1.270	1.523	754918234	3996748	2010044	288633130	2467249	677708684	23871	20180	2270614	54104952	131851676	130628745	7723630
1495831134123077577	parsec.facesim	1	1800	39	1.1	1.186	1.420	901287574	9265470	2698059	201768589	3177354	394932332	46946	84362	5368367	77224215	196621706	234636732	15359477
1495831134633035335	parsec.facesim	1	1800	39	1.1	1.164	1.396	901320617	9288069	2698596	200002699	3164950	391687604	47078	83179	5327953	81348868	202429105	237838509	15182492
1495831135143008846	parsec.facesim	1	1800	39	1.1	1.173	1.405	900188495	8947703	2625657	203637278	3105000	407040468	45663	74557	4702033	98029204	238755176	244707419	14053032
1495831135652630174	parsec.facesim	1	1800	39	1.1	1.179	1.412	851454723	2319395	1015064	292227965	1279563	670137971	11140	15608	1329234	150238757	368689968	247901960	7634432
1495831136162765357	parsec.facesim	1	1800	39	1.1	1.223	1.466	894946260	1902661	1181442	274464527	1647071	712397580	17575	36265	3266362	70878054	184770641	185226342	11763227
1495831136672306608	parsec.facesim	1	1800	39	1.1	1.199	1.438	901176955	991008	455212	159661095	1268325	472050657	5867	8501	8557505	108042621	141759317	209708618	5993770
1495831137181510278	parsec.facesim	1	1800	39	1.1	1.132	1.356	901202477	322923	200827	179355994	1337099	478902073	2662	1004	6485553	110194583	183671278	214887451	5697901
1495831137690820075	parsec.facesim	1	1800	39	1.1	1.105	1.324	899471061	452733	163260	140205867	1139367	437330378	1543	5025	9614665	114028420	146361647	223019489	5020478
1495831138200070334	parsec.facesim	1	1800	39	1.1	1.135	1.360	899949821	491192	250579	143438024	1523830	369757748	2885	13312	3559503	85689197	173275025	161767129	7218213
1495831138709470262	parsec.facesim	1	1800	39	1.1	1.135	1.359	901099110	913966	542597	179576751	1722812	422987346	7807	12458	2590202	78423245	162131651	138923874	5222621
1495831139218632338	parsec.facesim	1	1800	39	1.1	1.104	1.322	901094935	681120	418593	158911409	1460935	384416300	5998	10800	2553125	76118432	156769388	133776203	4535772
1495831139727902728	parsec.facesim	1	1800	39	1.1	1.105	1.323	901093862	725540	460821	160350988	1481913	388359561	6636	14432	2511293	79290318	162098770	140115507	5377445
1495831140237177101	parsec.facesim	1	1800	39	1.1	1.089	1.304	901107596	545935	323294	160684680	1170147	457948724	4798	2535	15543818	169963121	189469864	341057536	4707655
1495831140746535622	parsec.facesim	1	1800	39	1.1	1.115	1.337	901184224	69191	27173	518532687	702989	1010458512	116	226	4049387	77125416	1167451247	417725217	116762618
1495831141255680186	parsec.facesim	1	1800	40	1.2	1.405	1.686	901116610	80154	28605	905412246	1208086	1318224225	125	298	19105746	195973452	260112557	413594634	9179390
1495831141765189127	parsec.facesim	1	1800	40	1.2	1.517	1.822	898349294	1869819	1209336	226890774	1863028	592409490	20839	50783	1633971	52340072	348810350	227017393	12138107
1495831142274530613	parsec.facesim	1	1800	40	1.1	1.200	1.438	899110047	4696576	297317	436436632	6607219	800398312	4738	226	1069868	44023739	453672950	255956073	8949181
1495831142783755225	parsec.facesim	1	1800	40	1.2	1.385	1.661	901089990	4729762	28857	448012865	6974508	841131892	116	226	1029506	42646937	437534211	248173311	10363627
1495831143292889985	parsec.facesim	1	1800	40	1.2	1.370	1.644	901090132	4567195	28644	434844115	6879275	824430634	117	280	934688	44367090	438400370	244442764	9980800
1495831143802183851	parsec.facesim	1	1800	40	1.2	1.369	1.642	900000735	4921902	36571	431122705	5766052	845884739	196	266	958596	46852888	418366881	239925031	13146264
1495831144311350886	parsec.facesim	1	1800	40	1.2	1.366	1.639	901163262	7614849	28533	413767420	6561497	815409518	128	246	944955	45949153	408817644	238232767	13370971
1495831144820537276	parsec.facesim	1	1800	40	1.2	1.358	1.630	901144425	7524897	27765	407333003	6509161	806470059	116	228	925779	44961175	399548870	233907969	13764942
