#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496384761439071760	parsec.dedup	1	1800	36	1.1	.609	.740	641236788	6536797	1920553	138106628	2217851	273498360	31259	54677	3696136	55555411	137892116	161382798	10641431
1496384761949362768	parsec.dedup	1	1800	37	1.1	1.214	1.454	994164156	10394852	3080425	208871722	3513715	408953053	50044	87968	5802732	83277935	208677477	249713379	16745281
1496384762459632464	parsec.dedup	1	1800	37	1.1	1.220	1.462	992001775	10167179	3030810	214943940	3471514	431449986	49052	86542	5769295	88232027	215246020	252899142	16522210
1496384762969748244	parsec.dedup	1	1800	37	1.1	1.217	1.458	1164181192	4476354	3031420	246471911	4509502	378986805	35042	70617	2597251	68969808	247756821	214816684	19631195
1496384763479800274	parsec.dedup	1	1800	37	1.1	1.239	1.486	1304270739	3601501	2123252	473371511	3125721	1135529683	33227	68722	4755595	95493180	439692908	337285166	23665227
1496384763989820887	parsec.dedup	1	1800	39	1.2	1.651	1.982	1686158133	4376587	1991236	741901308	2651620	1970463963	24511	47572	7628557	145894310	705454256	507587064	26214334
1496384764499218480	parsec.dedup	1	1800	40	1.2	2.181	2.623	1705069814	3975554	1510264	838225680	2060125	2328495174	15742	30805	5600770	160478456	806671257	530562929	18262103
1496384765008467927	parsec.dedup	1	1800	41	1.2	2.194	2.639	1658149008	4557413	1679880	797459876	2938156	2251802851	17612	33921	4965072	150428954	801586019	521158149	18022735
1496384765517706937	parsec.dedup	1	1800	41	1.2	2.336	2.812	1674122082	4976719	1857419	768033571	3660933	2175292714	20888	35389	4973362	170552177	758465718	485064210	18179769
1496384766027058177	parsec.dedup	1	1800	41	1.2	2.190	2.634	1744990652	7213191	2875621	700427100	5995141	1742005137	37382	63897	8148983	166291775	745905477	538873717	26943020
1496384766536610124	parsec.dedup	1	1800	42	1.2	2.158	2.596	1793380836	8537498	3478696	700991987	7706534	1344516820	47194	92002	11052647	187082792	703360845	552361872	34239662
1496384767046182591	parsec.dedup	1	1800	42	1.2	2.168	2.608	1794257648	7903385	3227431	689013428	6616933	1390087899	45898	93858	11003231	184467352	684948400	545304108	34119884
1496384767555660810	parsec.dedup	1	1800	42	1.2	2.154	2.590	1794623192	8126781	3324829	702200362	6840164	1386335583	46334	76928	11805218	198597323	683403921	549625646	33810933
1496384768065104340	parsec.dedup	1	1800	42	1.2	2.147	2.582	1790339771	8158249	3253386	647904653	5198654	1403954970	37918	15016	14908666	245641076	781433388	614341629	32067559
1496384768574220809	parsec.dedup	1	1800	43	1.2	2.204	2.650	1797062068	8132904	3294752	654262048	5835427	1376143832	42330	14211	16153139	269038206	741630208	617328341	29512806
1496384769083345486	parsec.dedup	1	1800	43	1.2	2.211	2.660	1801157939	6329378	2485096	732643812	5407648	1555587802	31405	6947	18790192	310248539	821567574	681280583	26667152
1496384769592368079	parsec.dedup	1	1800	43	1.2	2.266	2.725	1802763534	5133941	1944444	732739457	2615069	1737551189	14232	12258	19069892	352748767	712294998	649492800	20020691
1496384770101780964	parsec.dedup	1	1800	43	1.2	2.248	2.704	1802816604	7473672	3164161	629247679	3194110	1590817047	26092	11399	20215851	341417127	719972352	658094972	20863831
