#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496367470512955299	parsec.dedup	1	1800	38	1.100000	0.706000	0.844000	641039556	6536797	1920553	138106628	2217851	273498360	31259
1496367471023228724	parsec.dedup	1	1800	39	1.100000	1.219000	1.460000	994634935	10394852	3080425	208871722	3513715	408953053	50044
1496367471533493358	parsec.dedup	1	1800	39	1.100000	1.223000	1.465000	991578692	10167179	3030810	214943940	3471514	431449986	49052
1496367472043496158	parsec.dedup	1	1800	39	1.100000	1.189000	1.424000	1159536407	4476354	3031420	246471911	4509502	378986805	35042
1496367472553499626	parsec.dedup	1	1800	39	1.200000	1.317000	1.580000	1303064978	3601501	2123252	473371511	3125721	1135529683	33227
1496367473063723968	parsec.dedup	1	1800	41	1.200000	1.968000	2.365000	1692051683	4376587	1991236	741901308	2651620	1970463963	24511
1496367473573074728	parsec.dedup	1	1800	42	1.200000	2.219000	2.669000	1714961337	3975554	1510264	838225680	2060125	2328495174	15742
1496367474082253029	parsec.dedup	1	1800	43	1.200000	2.174000	2.615000	1657562127	4557413	1679880	797459876	2938156	2251802851	17612
1496367474591617081	parsec.dedup	1	1800	43	1.200000	2.409000	2.902000	1659905569	4976719	1857419	768033571	3660933	2175292714	20888
1496367475101017591	parsec.dedup	1	1800	43	1.200000	2.207000	2.655000	1752730152	7213191	2875621	700427100	5995141	1742005137	37382
1496367475610573267	parsec.dedup	1	1800	44	1.200000	2.096000	2.521000	1792718583	8537498	3478696	700991987	7706534	1344516820	47194
1496367476120078735	parsec.dedup	1	1800	44	1.200000	2.188000	2.632000	1795804754	7903385	3227431	689013428	6616933	1390087899	45898
1496367476629545162	parsec.dedup	1	1800	44	1.200000	2.171000	2.611000	1796054500	8126781	3324829	702200362	6840164	1386335583	46334
1496367477139039713	parsec.dedup	1	1800	44	1.200000	2.184000	2.627000	1778177702	8158249	3253386	647904653	5198654	1403954970	37918
1496367477648392973	parsec.dedup	1	1800	45	1.200000	2.177000	2.618000	1791740924	8132904	3294752	654262048	5835427	1376143832	42330
1496367478157722066	parsec.dedup	1	1800	45	1.200000	2.135000	2.568000	1799893418	6329378	2485096	732643812	5407648	1555587802	31405
1496367478666815451	parsec.dedup	1	1800	45	1.200000	2.245000	2.700000	1802760061	5133941	1944444	732739457	2615069	1737551189	14232
1496367479176082086	parsec.dedup	1	1800	45	1.200000	2.237000	2.691000	1802646949	7473672	3164161	629247679	3194110	1590817047	26092
1496367479685152555	parsec.dedup	1	1800	45	1.200000	2.163000	2.602000	1793892799	6501407	2861511	641757235	3017492	1621930309	26454
