#Timestamp	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495802305433972332	320361900	3501801	1024872	82097418	1243049	164639171	17688
1495802305934875854	500948199	5770910	1679947	120205872	1988353	231882264	29258
1495802306435572292	500695064	5707661	1656258	122035560	1972158	238057941	28953
1495802306936253481	500676577	5630680	1639418	124006694	1951461	245284248	28636
1495802307436872919	500618256	5519026	1611905	127204958	1928949	257270565	27999
1495802307937531774	500657502	3844293	1896074	137346680	2362399	222134511	25679
1495802308438236046	500717228	2763115	2097250	152031302	2593990	219513323	23511
1495802308938960610	500722242	2393204	1497818	136139920	2156199	215353482	18453
1495802309439591006	500627637	2336117	1399623	151016766	2154444	257713054	25540
1495802309940215903	500629015	1492282	804408	235722967	1047529	595045091	11153
1495802310440837508	500622576	1533629	801492	236289016	1114616	597693888	11019
1495802310941460364	500624933	920795	438891	260794253	565564	711808517	4992
1495802311442082677	500621565	1014070	476681	265284789	676085	721061081	5272
1495802311942733532	500632350	1176367	523488	241246061	656428	694500193	6036
1495802312443399596	500687452	1030704	465663	256738566	598354	704893658	5224
1495802312944103993	500698253	1260225	568892	254324593	807108	692866732	6463
1495802313444755181	500657853	1298008	577281	256080267	1037361	688532315	6617
1495802313945382744	500626644	1307220	582242	255131036	1138793	688549702	6743
1495802314446112516	500731686	1376643	617693	249650448	1243942	671952166	7206
1495802314946744621	500633325	1367275	602042	251158145	1320800	677589722	6959
1495802315447376852	500633307	1273282	572719	256046059	1170643	688975593	6541
1495802315947999165	500624418	1236756	555593	256012449	1204702	689547197	6420
1495802316448691520	500688519	1480503	671941	278451544	1613218	709627486	7960
1495802316949351834	500660754	2010944	951829	246409833	2117406	557605772	11267
1495802317449995064	500642149	2438459	1185403	209056293	2433152	397173471	14118
1495802317950641794	500646078	2505943	1218881	205331277	2437436	390998846	14370
1495802318451284066	500647793	2475134	1215666	204562246	2432099	390322475	14559
1495802318951913754	500629782	2487117	1208055	205893945	2417907	392900574	14299
1495802319452545443	500632521	2440654	1186108	208586568	2436002	397273246	14117
1495802319953174548	500632296	2454986	1194443	205914112	2434838	393053359	14168
1495802320453885361	500710524	2522620	1233900	201115528	2413255	385297724	14768
1495802320954518217	500633019	2504949	1230732	202713667	2428115	387170383	14595
1495802321455149738	500632992	2431617	1203396	204316417	2666427	384806883	14328
1495802321955791010	500641845	2536325	1255687	198511248	2660766	375596496	15046
1495802322456429282	500635485	2525945	1250661	198567888	2655138	376075513	14972
1495802322957080429	500648796	2500526	1238412	200513076	2676203	377960194	14685
1495802323457732742	500653707	2536465	1254682	199076762	2633018	376685058	14942
1495802323958426764	500699670	2416385	1206247	205474234	2636508	386208480	14111
1495802324459137786	500712498	2455509	1218169	203631865	2425479	390878855	14413
1495802324959772641	500634528	2498136	1247916	199622433	2522532	379757776	14758
1495802325460414871	500640753	2412858	1198687	204492508	2548925	386966411	14160
1495802325961059310	500648292	2339556	1157894	194996154	2135793	398546116	13753
1495802326461678498	500619915	2117996	1037998	201182482	1820664	414191053	12140
1495802326962308853	500629800	2487949	1228839	199984503	2185881	391876132	14595
1495802327462943208	500635687	2248229	1096682	201452510	1943241	408437887	12891
1495802327963641189	500639375	2152953	1043146	179804675	1438036	411997234	12408
1495802328464258877	500675074	2615716	1289345	169988318	1524748	389544796	14709
1495802328964882232	500624897	2340690	1141606	173132312	1388774	401150481	13847
1495802329465532796	500654392	3122051	1567678	157043609	1917746	345148136	15676
1495802329966149734	500617073	2290174	1123922	172582474	1377039	398902251	13661
1495802330466776131	500626194	2696312	1330365	169334800	1590769	380426978	14982
1495802330967394611	500618880	2797384	1390039	164512964	1641914	376923786	15190
1495802331468019675	500620264	2245907	1093997	175187663	1354733	409491587	13327
1495802331968713072	500698451	2514487	1244201	170565737	1500990	391912757	14097
1495802332469316468	500607495	2436546	1193350	169483778	1424699	396159472	14157
1495802332969912574	500595798	2333690	1154626	170829528	1389345	399849555	13630
1495802333470624887	500712765	2435531	1205466	168785609	1439921	394110922	13911
1495802333971233076	500605134	2500085	1233126	167783857	1479053	391229416	14070
1495802334471860889	500632317	2266686	1103495	173869342	1348719	405041970	13423
1495802334972497536	500634942	2498161	1242745	168902186	1471254	391741190	14016
1495802335473091391	500597559	2299844	1127555	171315220	1382207	403387884	13586
1495802335973699913	500605354	2209558	1082561	172753319	1321560	408457446	13057
1495802336474322935	500625284	2482728	1224729	170450041	1482497	396689943	13943
1495802336974949623	500619049	2446888	1210702	170217389	1481116	390819233	13650
1495802337475620729	500675147	2433031	1194260	171041712	1434185	400409947	13824
1495802337976256500	500640939	2385355	1176916	172021179	1456588	398926502	13397
1495802338476878439	500623705	2437168	1190307	169739943	1434614	397703895	13848
1495802338977503669	500624390	2517753	1242347	167115549	1481652	391574448	14375
1495802339478265774	500765538	2584034	1269360	169193920	1518390	390381488	14432
1495802339979015921	500748897	2452873	1201036	172413033	1463661	395780425	14243
1495802340479735818	500715825	2377491	1160462	171454376	1406075	397839017	13881
