#Timestamp	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496409762205223324	353990625	32531	2262498	35377827	86791559	99544675	6483650
1496409762706283761	554190792	53972	3618650	50496121	127799737	153644796	10453883
1496409763207102741	552613026	53563	3587683	51527010	129027633	153918064	10339340
1496409763707914971	552318001	52908	3570498	53406255	131352790	154839507	10230300
1496409764208748285	552934472	51436	3536606	55701823	134411206	156068910	10095351
1496409764709543056	550695577	50372	2038348	42064380	148913960	131182575	12633998
1496409765210426244	514193162	46699	1506950	39378055	150794948	120534397	12362126
1496409765711220224	704947121	54107	1936244	50818108	178482441	163344700	14640156
1496409766212057496	776669448	44232	3468603	66462838	302391609	233199311	15354102
1496409766712960392	951303190	38183	5050943	87473064	400090852	302016023	18402340
1496409767213761956	971087785	20069	4543998	95786060	491452202	339861989	11001063
1496409767714594602	957593624	17929	3567250	90887545	493143417	326031216	10744297
1496409768215420707	969303102	14013	3300673	99088012	491591796	317086797	11332504
1496409768716267562	951237762	17416	2667983	98637170	466736120	291774958	9839229
1496409769217089292	941226248	22643	3320508	87736529	468579490	313691977	11876310
1496409769718016188	965107778	31412	4195334	96732048	448228477	313032537	14133598
1496409770218844585	958182278	30768	4057694	92837414	455482451	317024264	14079283
1496409770719642065	979639292	48009	5939291	105837951	416860201	320496343	18614956
1496409771220410878	998046489	55180	6531038	111689026	419869688	328559620	20226478
1496409771721183858	997182912	41166	7422264	124324806	409160621	332656518	19496181
1496409772221921921	1001474123	9185	9163074	151941617	427514188	352313508	17054841
1496409772722677651	995630382	7327	9691187	154967963	439065797	361154990	17301618
1496409773223476298	1001604198	4165	9455223	164199768	478972791	374252578	17146193
1496409773724211986	1001467011	3842	9954733	169801666	474294372	377319126	15857248
1496409774224951175	1001479179	3856	9763963	168456618	480576766	380888727	15979053
1496409774725688238	1001472096	4029	9789000	163940117	479745790	380315022	16787090
1496409775226430760	1001487684	3275	11052273	186211974	451789545	386884599	13759718
1496409775727171531	1001481378	3993	10751135	168058432	479305208	389366980	15866857
1496409776227955220	1001529113	5414	11254970	201641786	409470836	373630287	11224184
1496409776728691616	1001514430	10000	10755600	187765630	400484017	362247562	12873103
1496409777229434263	1001482287	5325	11705980	192849334	408055318	375009606	13242573
1496409777730193202	1001527429	8648	10894009	196000557	395023944	364112416	11982574
1496409778230928765	1001474549	5727	11233299	200327014	410661042	371793076	11121992
1496409778731660662	1001459064	4869	11342582	199477055	402946006	372377574	13830363
1496409779232401308	1001486368	5194	11241989	201291320	408561624	371447474	11680277
1496409779733219872	1001633087	5559	11458444	198237677	409277287	372546317	11314724
1496409780234029643	1001623671	6396	11240148	199770710	401417688	370879983	11770984
1496409780734690082	1001325477	4702	11209994	203413186	410156332	373768415	11343245
1496409781235354062	1001330269	6281	10667524	190042902	396134180	361591358	11582037
1496409781736014334	1001320116	9203	10427604	188740230	386569102	360695547	11655779
1496409782236674605	1001319949	10990	10275832	181677051	383818760	355778470	11957915
1496409782737362002	1001358469	10371	10868812	181625859	382671962	360832525	12485518
1496409783238190690	1001673026	12364	10476004	173950589	376648000	353741092	12603115
1496409783738963462	1001552385	11457	10245448	180403480	384386134	350847175	11933695
1496409784239754067	1001538313	8699	10937372	187396727	389706487	366022913	11245161
1496409784740509755	1001557272	11768	10472903	178632616	377827821	356978016	12117944
1496409785241279444	952329137	12252	9441159	154608832	344796801	328148823	12853811
1496409785742044257	510797309	24876	2207380	37536271	106272597	125109983	8947268
1496409786242884695	509405030	25222	2204932	37270271	105964832	124527703	9088298
1496409786743661133	509586879	25410	2190749	37271655	106070269	124611760	9028182
1496409787244459697	656975901	24326	2360845	46816777	141211868	148718343	13260311
1496409787745315177	387819738	9800	1078935	31323507	78162428	83324777	5252934
1496409788246151365	514758293	48082	3320947	49774819	123424510	143974482	9511104
1496409788747016428	553189231	54215	3590068	50737113	127708694	152897407	10377978
1496409789247873116	552621353	53730	3602013	51999377	129435249	154005539	10328643
1496409789748704138	552126510	53095	3572033	53878330	131829047	154912431	10177767
