#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481344695309291118	automotive_bitcount	1500	55	1.000000	0.394000	0.430000	473235656	703218505	919	1510	4	3672515	100633436
1481344695818141771	automotive_bitcount	1500	55	1.000000	0.925000	1.003000	751241533	1186231406	111	222	0	4795362	149394390
1481344696326957175	automotive_bitcount	1500	55	1.000000	0.933000	1.012000	750927016	1189544517	108	216	0	4798862	148425808
1481344696835856370	automotive_bitcount	1500	55	1.000000	0.920000	0.998000	750917352	1190410606	109	218	0	4798966	148422498
1481344697344656357	automotive_bitcount	1500	55	1.000000	0.920000	0.998000	750884754	1190118389	109	218	0	4799009	148439192
1481344697853542886	automotive_bitcount	1500	55	1.000000	0.920000	0.998000	751089301	1189286168	110	220	0	4799940	148243253
1481344698362341956	automotive_bitcount	1500	55	1.000000	0.919000	0.997000	750920184	1186220910	109	218	0	4878395	147421538
1481344698871072318	automotive_bitcount	1500	55	1.000000	0.940000	1.019000	750903608	1185987450	109	218	0	4889575	147224125
1481344699379900805	automotive_bitcount	1500	55	1.000000	0.920000	0.998000	750917709	1186158559	108	216	0	4884143	147228221
1481344699888731875	automotive_bitcount	1500	55	1.000000	0.920000	0.998000	750919244	1186559306	109	218	0	4867643	147225874
1481344700397552945	automotive_bitcount	1500	55	1.000000	0.919000	0.997000	750907271	1186817701	109	218	0	4857039	147224235
1481344700906307724	automotive_bitcount	1500	55	1.000000	0.917000	0.994000	750906771	1186871703	109	218	0	4856079	147223974
1481344701415086711	automotive_bitcount	1500	55	1.000000	0.924000	1.002000	750919045	1186811573	109	218	0	4864563	147235569
1481344701924006073	automotive_bitcount	1500	55	1.000000	0.935000	1.014000	751095873	1187379408	110	220	0	4845824	147303597
1481344702432809976	automotive_bitcount	1500	55	1.000000	0.919000	0.997000	750907348	1186890977	109	218	0	4855460	147300978
1481344702941652213	automotive_bitcount	1500	55	1.000000	0.918000	0.996000	750907387	1186927988	109	218	0	4854948	147305886
1481344703450469617	automotive_bitcount	1500	55	1.000000	0.917000	0.994000	750905768	1187938249	109	218	0	4818064	147234796
1481344703959236812	automotive_bitcount	1500	55	1.000000	0.924000	1.002000	750915846	1186581549	108	216	0	4849811	147189717
