#Timestamp	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402052390443935	641434020	54677	3696136	55555411	137892116	161382798	10641431
1496402052891353207	993693377	87968	5802732	83277935	208677477	249713379	16745281
1496402053392154645	992424858	86542	5769295	88232027	215246020	252899142	16522210
1496402053892960750	978144898	74406	3225176	66569235	219740422	199864168	18277784
1496402054393700855	1168825978	70617	2597251	68969808	247756821	214816684	19631195
1496402054894449752	1305476501	68722	4755595	95493180	439692908	337285166	23665227
1496402055395250023	1680264583	47572	7628557	145894310	705454256	507587064	26214334
1496402055895928628	1695178292	30805	5600770	160478456	806671257	530562929	18262103
1496402056396624942	1658735889	33921	4965072	150428954	801586019	521158149	18022735
1496402056897302172	1688338595	35389	4973362	170552177	758465718	485064210	18179769
1496402057398021194	1737251152	63897	8148983	166291775	745905477	538873717	26943020
1496402057898779007	1794043089	92002	11052647	187082792	703360845	552361872	34239662
1496402058399474029	1792710543	93858	11003231	184467352	684948400	545304108	34119884
1496402058900178384	1793191885	76928	11805218	198597323	683403921	549625646	33810933
1496402059400866322	1802501841	15016	14908666	245641076	781433388	614341629	32067559
1496402059901529719	1802383213	14211	16153139	269038206	741630208	617328341	29512806
1496402060402200866	1802422460	6947	18790192	310248539	821567574	681280583	26667152
1496402060902973846	1802767007	12258	19069892	352748767	712294998	649492800	20020691
1496402061403800076	1802986259	11399	20215851	341417127	719972352	658094972	20863831
1496402061904536597	1802653286	12456	19412865	346009460	712740583	648162685	20920234
1496402062405267036	1802623587	10407	19402023	352267462	715486896	649137668	21110891
1496402062905969641	1802529505	10198	19484647	358202620	719241873	657207001	17985678
1496402063406676704	1802545366	12269	19667016	348657683	718710314	653181577	19406898
1496402063907396393	1802600374	8079	19678538	359778417	729880105	660020779	19463898
1496402064408108789	1802557445	8945	19066107	351888375	715273994	647012588	19168818
1496402064908887728	1792336396	17253	18568352	312843615	665558797	621046333	22407705
1496402065409617999	1794059484	18999	17758557	313635630	666191860	609923893	20972676
1496402065910346104	1802629523	16226	18557445	323235663	677975311	630917391	20434262
1496402066411102251	1426033734	30996	10495840	176562796	412097007	408100856	18633164
1496402066911864814	916434036	39928	3336073	58248341	165898461	194094767	14248944
1496402067412609211	915860921	40159	3356309	58022437	165489617	194152885	14234263
1496402067913348566	639576770	15192	1684341	44704802	114179699	118572308	7957571
1496402068414365671	995079409	87328	5828445	82659717	208344220	249605485	16781462
1496402068915192359	993445621	87006	5790566	85092448	211030496	250848970	16666297
1496402069416021172	1013263719	80602	5273687	102412677	249351726	261863826	16018820
1496402069916749236	906489136	15594	1318609	149953727	368100557	248007927	7633955
1496402070417547049	908245266	36453	3167372	72133167	189312791	186058794	11492210
1496402070918245737	903301765	8575	8650522	108988651	142584554	211609150	5822873
1496402071419031676	902151679	1878	6503498	110508956	184761767	216397312	5652925
1496402071919727406	902455256	4997	9619894	114361321	146752403	223350746	5048253
1496402072420421386	904054226	13675	3597764	85570053	173450317	162267634	7281471
1496402072921128324	903717399	11465	2546501	78160432	161308846	137058564	4903230
1496402073421845346	903735812	11221	2565001	77278876	158811245	135803839	4488575
1496402073922561201	904690197	16623	2411792	80936337	165297787	143157190	5686609
1496402074423250598	902018820	462	15646326	168916091	187640006	339558488	4146562
1496402074924013078	902128515	650	4035739	76716551	1153947093	414031527	115050003
