#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496403541694517430	parsec.dedup	1000	35	0.900000	0.206000	0.203000	354680494	32301	2263382	35416458	86853691	99691118	6491371
1496403542204891939	parsec.dedup	1000	35	0.900000	0.532000	0.514000	553831754	54514	3616240	50352173	127335818	152981771	10418458
1496403542715018698	parsec.dedup	1000	35	0.900000	0.536000	0.518000	553140731	53797	3602667	51570920	128873283	153661646	10352538
1496403543225128873	parsec.dedup	1000	35	0.900000	0.538000	0.520000	553482495	51824	3547371	55618370	134191486	155751002	10118792
1496403543735289049	parsec.dedup	1000	34	0.900000	0.539000	0.521000	542699001	49976	2032077	41448795	148378898	129504121	12485647
1496403544245286766	parsec.dedup	1000	34	0.900000	0.548000	0.530000	514272380	46746	1636611	39124752	150551692	121189216	12110674
1496403544755257567	parsec.dedup	1000	34	0.900000	0.528000	0.511000	703485586	53942	1868856	50587379	177485772	162548651	14464042
1496403545265182951	parsec.dedup	1000	35	0.900000	0.729000	0.707000	789769415	46517	3232439	66794638	303341949	230895276	16256077
1496403545774746169	parsec.dedup	1000	35	0.900000	0.531000	0.514000	961424699	34247	5631274	91159383	413083430	314994900	18163365
1496403546283838804	parsec.dedup	1000	35	0.900000	0.932000	0.904000	974398786	16386	4207450	97094341	499383148	336151219	11329740
1496403546793294939	parsec.dedup	1000	35	0.900000	1.013000	0.983000	965185499	20158	3371357	88391179	503029510	331374837	10938989
1496403547302484074	parsec.dedup	1000	35	0.900000	1.017000	0.987000	957050714	19958	3025816	96429081	463604551	301266304	10795049
1496403547812056792	parsec.dedup	1000	36	0.900000	0.988000	0.959000	952015600	20669	3046457	91168649	478067198	312464406	11118077
1496403548321437593	parsec.dedup	1000	36	0.900000	0.988000	0.959000	973004089	23769	3335402	103190167	461642721	298420684	11542105
1496403548830731645	parsec.dedup	1000	36	0.900000	0.978000	0.949000	957417642	31429	4309161	93598591	446710537	315809230	14425275
1496403549340253279	parsec.dedup	1000	36	0.900000	0.982000	0.953000	973503516	32959	4331786	95528425	460103760	322850858	14503630
1496403549849738998	parsec.dedup	1000	36	0.900000	0.996000	0.967000	987189324	47940	5890236	106582502	425551268	324141432	18466517
1496403550359155841	parsec.dedup	1000	36	0.900000	0.968000	0.939000	997821911	54839	6592408	111452237	418703313	328504249	20188690
1496403550868711600	parsec.dedup	1000	36	0.900000	0.949000	0.921000	999272356	38397	7790910	128713374	407934626	335813342	19471983
1496403551378043610	parsec.dedup	1000	36	0.900000	0.951000	0.923000	1001311905	13212	8336274	136240672	404245219	337078433	18922206
1496403551887161912	parsec.dedup	1000	36	0.900000	0.951000	0.923000	999442678	4438	9814299	158426051	462388109	368532965	20027747
1496403552396287964	parsec.dedup	1000	36	0.900000	1.015000	0.985000	1001318797	3661	9789375	171617952	463689234	371704284	17056390
1496403552905434349	parsec.dedup	1000	36	0.900000	1.005000	0.975000	1001481851	3778	9814300	166976786	471608912	373867781	17205753
1496403553414423859	parsec.dedup	1000	36	0.900000	1.011000	0.981000	1001315865	3744	9933951	171770158	474548418	380810569	15595622
1496403553923482370	parsec.dedup	1000	36	0.900000	1.015000	0.985000	1001315217	3842	9957675	168100640	473201428	380030077	16383279
1496403554432522255	parsec.dedup	1000	36	0.900000	1.005000	0.975000	1001366725	3322	10828303	179332405	461373228	385936461	14618954
1496403554941689973	parsec.dedup	1000	36	0.900000	1.014000	0.984000	1001316246	3685	10674457	179340167	466057633	384696157	14533720
1496403555450766150	parsec.dedup	1000	36	0.900000	1.011000	0.981000	1001354525	4864	11370085	186440447	431721086	382655440	13469124
1496403555959867202	parsec.dedup	1000	36	0.900000	1.011000	0.981000	1001363661	6338	10901248	198147888	415161507	366743305	11449697
1496403556468879088	parsec.dedup	1000	36	0.900000	0.979000	0.950000	1001487834	8280	11467172	192112577	398464252	373714162	11831183
1496403556977876806	parsec.dedup	1000	36	0.900000	0.953000	0.925000	1001383026	6010	11216192	200270482	408442556	373143340	10937629
1496403557487030775	parsec.dedup	1000	36	0.900000	0.975000	0.946000	1001305242	7256	11204516	195025465	403937381	366902613	11914522
1496403557996123743	parsec.dedup	1000	36	0.900000	0.966000	0.937000	1001313981	6223	11343707	199394540	409377356	374584434	10706456
1496403558505148504	parsec.dedup	1000	36	0.900000	0.979000	0.950000	1001307318	4657	11417212	201649097	411236026	373819628	11440656
1496403559014174597	parsec.dedup	1000	36	0.900000	0.971000	0.942000	1001313588	7334	11102014	197654306	399744810	366709604	11416461
1496403559523186691	parsec.dedup	1000	36	0.900000	0.972000	0.943000	1001456334	5437	11407799	201646573	407556061	374641522	10660801
1496403560032189076	parsec.dedup	1000	36	0.900000	0.979000	0.950000	1001321793	3830	10910926	200374283	404908814	368816455	10805089
1496403560541340420	parsec.dedup	1000	36	0.900000	0.966000	0.937000	1001439056	8928	10675102	186224272	392712314	359844378	12586056
1496403561050706305	parsec.dedup	1000	36	0.900000	0.955000	0.927000	1001311363	9926	10405950	187342708	385019168	359441217	11613181
1496403561559994565	parsec.dedup	1000	36	0.900000	0.953000	0.925000	1001372503	10298	10413761	184177892	388046985	357764150	11525123
1496403562069708782	parsec.dedup	1000	36	0.900000	0.962000	0.934000	1001633875	11551	10699627	177763186	376845257	356727365	12887220
1496403562579471292	parsec.dedup	1000	36	0.900000	0.961000	0.933000	1001196263	11266	10648951	176602859	381022631	356109874	12831598
1496403563089229593	parsec.dedup	1000	36	0.900000	0.949000	0.921000	1001520348	11482	10304904	180301470	384874026	351000822	11966843
1496403563598577811	parsec.dedup	1000	36	0.900000	0.948000	0.920000	1001497293	8549	10943362	188406351	390601563	365524351	10990685
1496403564108027196	parsec.dedup	1000	36	0.900000	0.959000	0.931000	1001458353	11786	10533806	178422499	377815611	357429021	12086135
1496403564617400581	parsec.dedup	1000	36	0.900000	0.952000	0.924000	966123921	12418	9662549	157499330	351012004	333988769	12876383
1496403565126787132	parsec.dedup	1000	35	0.900000	0.626000	0.607000	509833202	24853	2172530	37697941	106857522	125028228	8833085
1496403565636333183	parsec.dedup	1000	35	0.900000	0.498000	0.482000	508491018	25200	2229585	36996582	105232173	124581611	8980117
1496403566145805193	parsec.dedup	1000	35	0.900000	0.498000	0.482000	508472548	25344	2224063	37060027	105405175	125183608	8863798
1496403566655319453	parsec.dedup	1000	35	0.900000	0.498000	0.482000	508590034	25220	2218073	37011834	105204674	124739973	8931311
1496403567165088879	parsec.dedup	1000	34	0.900000	0.497000	0.481000	433710825	8834	1179496	34515659	90522199	91607744	6657314
1496403567675559845	parsec.facesim	1000	34	0.900000	0.315000	0.307000	465164759	43537	3004454	45227931	111990030	130218123	8583297
1496403568186023395	parsec.facesim	1000	34	0.900000	0.536000	0.518000	553331253	54038	3610943	50767112	127924093	153318177	10391539
1496403568696278446	parsec.facesim	1000	34	0.900000	0.535000	0.517000	553058225	53684	3600336	51848960	129343026	154003285	10329557
1496403569206448996	parsec.facesim	1000	34	0.900000	0.538000	0.520000	552564882	53038	3577699	53726222	131709644	154980926	10212112
1496403569716859421	parsec.facesim	1000	34	0.900000	0.540000	0.522000	580905217	53236	3525721	58942925	144243370	161643316	10627173
1496403570226280806	parsec.facesim	1000	34	0.900000	0.589000	0.570000	505683467	7313	739914	86339291	210807534	138934166	4297796
1496403570736032149	parsec.facesim	1000	34	0.900000	0.585000	0.567000	505390252	17423	912049	89919259	226899948	159958466	5230255
1496403571245450409	parsec.facesim	1000	34	0.900000	0.592000	0.573000	506282913	26159	687086	35905279	123002347	105524375	8156463
1496403571754805418	parsec.facesim	1000	34	0.900000	0.545000	0.527000	502821435	4977	8141442	84699708	99467595	172128686	3657283
1496403572264100720	parsec.facesim	1000	34	0.900000	0.502000	0.485000	503417232	6998	3196223	60546299	94689143	109604742	4440006
1496403572773302230	parsec.facesim	1000	34	0.900000	0.543000	0.525000	502539851	3296	5673766	75970503	96847353	141166440	2899263
1496403573282529032	parsec.facesim	1000	33	0.900000	0.506000	0.489000	503103491	3727	5274547	69490706	97408560	134064324	3696691
1496403573791936750	parsec.facesim	1000	34	0.900000	0.515000	0.498000	503861371	9336	2874378	60503987	117869619	117340323	5195757
1496403574301705509	parsec.facesim	1000	34	0.900000	0.519000	0.502000	503435758	8013	1634212	53372074	114879433	93710375	3754631
1496403574811092977	parsec.facesim	1000	34	0.900000	0.491000	0.475000	503631483	8602	1736932	52956141	108578788	93532171	3329593
1496403575320299946	parsec.facesim	1000	34	0.900000	0.483000	0.467000	503877566	9478	1734324	53787417	110135111	95309721	3483828
1496403575829611331	parsec.facesim	1000	33	0.900000	0.493000	0.477000	503298664	8066	1713811	52324447	107612945	91923655	3174728
1496403576338838716	parsec.facesim	1000	33	0.900000	0.481000	0.465000	503645001	9818	1625325	53560638	108755609	94022318	3698494
1496403576848149851	parsec.facesim	1000	33	0.900000	0.479000	0.463000	502416185	271	9833942	106424195	115677945	213152572	2850028
1496403577357335694	parsec.facesim	1000	33	0.900000	0.528000	0.511000	502110634	652	9441147	100648342	249235157	240431872	15625245
1496403577866797121	parsec.facesim	1000	33	0.900000	0.541000	0.523000	502323782	260	154784	26118082	776500448	233510867	81028273
1496403578376187922	parsec.facesim	1000	34	0.900000	0.770000	0.747000	502738988	1575	7663844	87898104	343041667	239370477	28317870
1496403578885400516	parsec.facesim	1000	34	0.900000	0.809000	0.785000	502881772	1746	11585753	116877792	126947854	242332957	2365361
1496403579395268608	parsec.facesim	1000	34	0.900000	0.541000	0.523000	603226219	50817	1402867	41239526	231735922	160052882	9958457
1496403579904668618	parsec.facesim	1000	34	0.900000	0.516000	0.499000	1001674692	458	1236097	50510468	509357210	282654479	12312007
1496403580413858420	parsec.facesim	1000	34	0.900000	1.003000	0.973000	1001425635	456	1248268	51437039	520348243	287303889	11927877
1496403580923153471	parsec.facesim	1000	35	0.900000	1.010000	0.980000	797341653	1406	919502	42354389	407124119	223947770	9421749
1496403581432367231	parsec.facesim	1000	35	0.900000	0.875000	0.849000	962556504	513	1148160	50639587	447414573	257938289	15016130
1496403581941722825	parsec.facesim	1000	35	0.900000	0.983000	0.954000	1001424438	448	1210788	52937916	466386361	270835764	15530569
1496403582451061918	parsec.facesim	1000	35	0.900000	0.986000	0.957000	1001463732	462	1223121	53159837	468428572	271962264	15542443
1496403582960366428	parsec.facesim	1000	35	0.900000	0.985000	0.956000	926261203	483	712144	51543394	378128105	224155329	13096790
1496403583469718646	parsec.facesim	1000	35	0.900000	0.857000	0.832000	964597927	1933	156875	16073430	295870942	162796600	35804223
1496403583979115947	parsec.facesim	1000	35	0.900000	0.937000	0.909000	977451484	1017	112578	12286501	298692715	162316078	39148353
1496403584488634290	parsec.facesim	1000	35	0.900000	0.918000	0.891000	981424018	972	111606	12526003	304965669	165289547	39495105
1496403584998218133	parsec.facesim	1000	36	0.900000	0.934000	0.906000	979448815	995	109896	12202127	296132822	161051178	38849478
1496403585507607810	parsec.facesim	1000	36	0.900000	0.910000	0.883000	987784357	978	111105	12382679	303317367	164334758	39214925
1496403586017255528	parsec.facesim	1000	36	0.900000	0.937000	0.909000	977550706	979	109127	12314496	298984321	162150916	38873678
1496403586526790579	parsec.facesim	1000	36	0.900000	0.918000	0.891000	986941059	1016	115929	12471353	303380100	164760687	39636339
1496403587036207922	parsec.facesim	1000	36	0.900000	0.928000	0.901000	978864392	982	111314	12319770	300618401	163031320	38988431
1496403587545524974	parsec.facesim	1000	36	0.900000	0.932000	0.904000	979050271	1018	114200	12425776	300736527	163398631	39512061
1496403588055173483	parsec.facesim	1000	36	0.900000	0.931000	0.904000	983965909	958	107733	12364892	300880574	163081011	38842157
1496403588564557326	parsec.facesim	1000	36	0.900000	0.928000	0.901000	987264733	1012	115546	12427934	301215602	163687364	39548101
1496403589073906295	parsec.facesim	1000	36	0.900000	0.934000	0.906000	984177901	982	110163	12273901	301911626	163722264	39032167
1496403589583350721	parsec.facesim	1000	36	0.900000	0.935000	0.907000	977906296	1020	115213	12323542	297567660	161488054	38602585
1496403590092640898	parsec.facesim	1000	36	0.900000	0.930000	0.903000	998532171	547	1131547	48714242	444728446	254268979	18059498
