#Timestamp	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495800808608651319	451004063	4785634	1394131	107823688	1665920	213712436	24087
1495800809109642007	701444155	7689375	2228276	161935320	2633075	314026734	38895
1495800809610277112	700877972	7550524	2194483	165004063	2598240	324904086	38394
1495800810110958301	700956716	7321167	2139857	168309548	2556989	337628459	37267
1495800810611627197	700944353	3985024	2555941	183417910	3155884	273563653	30817
1495800811112268094	700883758	3230712	2230494	182295926	2966392	273402033	26183
1495800811612975949	701015196	2747927	1712568	190338742	2774545	328605325	30113
1495800812113584179	700844792	1919703	1031974	322433045	1410811	824071490	14254
1495800812614246826	700932514	1617661	839619	334724593	1133585	880173474	11051
1495800813114846681	700841842	1396191	663604	366513030	900674	999228258	7324
1495800813615448453	700842174	1600934	726140	343270964	884797	944254062	8250
1495800814116047350	700839990	1428600	681043	345155581	885348	992363480	7854
1495800814616654580	700849024	1689672	781208	353494716	1373125	954020092	9049
1495800815117255936	700843632	1790333	832272	347783075	1646616	939489082	9711
1495800815617861166	700848624	1835563	841255	337126649	1795069	907268847	9852
1495800816118463188	700845676	1474017	682286	344053303	1402920	988265395	7660
1495800816619071876	700844604	1870614	879765	359239770	2020414	971271902	10264
1495800817119679940	700855980	2527399	1208013	351127861	2713829	823013498	14270
1495800817620363128	700959300	3310671	1628113	281373174	3297266	534950646	19148
1495800818120970692	700850436	3326293	1646427	277741300	3278380	529323945	19511
1495800818621588797	700867012	3284152	1624062	280141438	3279310	534184665	19293
1495800819122202902	700861232	3262539	1623368	280979825	3280385	536051059	18962
1495800819622809299	700848716	3373819	1692160	270939842	3263490	519185650	19981
1495800820123424571	700860177	3299565	1645860	276193568	3283926	526768333	19489
1495800820624046259	700874519	3306044	1663559	272437630	3624932	513379375	19659
1495800821124652240	700847688	3365515	1684545	267312354	3574448	506415595	20334
1495800821625267262	700864668	3292708	1684448	270632764	3584349	510812836	20035
1495800822125882783	700862748	3301344	1629849	274670362	3554497	516978286	19442
1495800822626482514	700838456	3289384	1622666	274031337	3341173	523836493	19562
1495800823127090494	700851256	3359493	1660667	269496864	3389129	512520743	19869
1495800823627694932	700849092	3266841	1604018	276573022	3405241	524583032	19116
1495800824128305246	700857152	2919908	1433674	267499171	2399453	562000756	16882
1495800824629012184	700835117	3158775	1567914	267905039	2726275	548197587	18745
1495800825129611415	700993375	2949226	1472003	265449031	2403556	553230410	17185
1495800825630247936	700890124	3343335	1687811	232542353	1967847	538815511	19454
1495800826130850667	700843958	3550444	1804428	226988118	2096554	524099787	20177
1495800826631481438	700888590	3452748	1723537	228655989	2057380	515101783	18686
1495800827132158085	700939802	3484558	1777273	230119697	2072529	520674599	20227
1495800827632790482	700886162	3476369	1766272	229042898	2050937	531595325	19397
1495800828133406171	700869092	3312485	1683981	233049333	1991409	534980621	19244
1495800828634036317	700885216	3109156	1576575	232212549	1871752	546203385	18812
1495800829134659339	700867684	3092959	1564415	233498989	1892570	545599620	18499
1495800829635262653	700847024	3492157	1770281	226827619	2040023	527662667	19537
1495800830135884966	700875668	3104137	1587727	235305109	1881020	545794799	18713
1495800830636481447	700832716	3194796	1609854	231399745	1913977	541810231	18757
1495800831137081052	700841917	2919033	1474409	236059036	1782456	558965589	17898
1495800831637681240	700836455	3216692	1627592	233224285	1950202	543712653	18856
1495800832138294054	700864909	3366976	1702182	231528801	2005872	534994100	18729
1495800832638953784	700839411	3169368	1596960	234960768	1940090	546790561	18365
1495800833139553264	700924482	3295074	1672787	229295096	1960740	538045605	19371
1495800833640159911	700853108	3463831	1756515	229135737	2032475	530312534	19631
1495800834140766766	700847474	3187572	1618118	234869374	1914046	542696807	19198
1495800834641387621	700872024	3126743	1578426	233665756	1864674	547676150	18580
1495800835141979102	700829428	3899077	1988625	220324189	2261690	501446876	20851
1495800835642566832	700821412	3030199	1526627	236711668	1830890	543961399	17561
1495800836143162395	700836914	3447914	1760869	228967137	2053689	521553456	19159
1495800836643850959	700959342	3404129	1727790	231780536	2016399	531648665	19558
1495800837144497897	700911304	3395320	1730523	231659782	2029857	527727193	19868
1495800837645108586	700857300	3387055	1712882	230991626	2009900	532456274	19629
1495800838145698150	700816640	3336260	1683905	228125033	1988851	530392883	19646
1495800838646302963	700857560	3170150	1612178	232545125	1904003	538162796	19234
1495800839146904360	700839628	3697791	1960899	214872222	2189581	490290956	19843
1495800839647624090	701009170	3093611	1552752	234403379	1860302	542094098	18556
1495800840148352112	701016906	3499966	1784218	227472302	2066455	524305292	19579
1495800840649190758	701174900	3261096	1629441	232788739	1939801	535528516	19004
1495800841149923655	701031908	3382595	1686477	221803070	2033090	493824122	17825
1495800841650625052	700981596	3440048	1733559	231462617	2045516	531443881	19502
1495800842151320323	700976140	3589718	1790291	226667470	2181786	519751574	19588
1495800842652012554	700969374	3866052	1944729	222257916	2323148	505544185	20432
1495800843152715492	700982344	3301912	1654635	229970271	2057565	537458650	19359
1495800843653400389	700958776	3312759	1654587	231208372	2052523	535239764	19100
1495800844154202410	701126954	3314063	1689130	228104082	2089097	535801728	19351
1495800844654928015	701012880	3277502	1668452	229441408	2043269	536263172	18952
1495800845155616870	700967248	3164508	1587096	230864038	1981362	545030269	18841
1495800845656316934	700984844	3242647	1637843	230265543	2047182	537556127	19138
1495800846156996372	700951974	3560221	1784321	228778629	2150483	521092897	19934
1495800846657605186	700853744	3052529	1547664	234560762	1942392	547207408	18193
1495800847158218374	700852826	3369629	1692911	229402581	2105087	529332153	19367
1495800847658839188	700872454	3369842	1698736	233522302	2068951	535629750	19511
1495800848159530793	700972702	3356713	1694512	228906091	2028530	535234636	19391
1495800848660128690	700839856	3106626	1564011	232015607	1929637	553359023	18388
1495800849160737045	700848770	3153418	1591334	232902003	1988423	546240690	18638
1495800849661355067	700864663	3501893	1763039	228185367	2147668	526903987	19244
1495800850161977297	700863243	3205038	1616448	232962928	1992770	540638868	18908
1495800850662591444	700874620	3363461	1685973	230588516	2074644	533938704	19505
1495800851163215341	700870748	3408789	1714272	229583744	2082079	527941925	19380
1495800851663828446	700862138	3648834	1832806	223429265	2178051	520137316	20010
1495800852164559926	701018626	3264590	1635353	230222900	2027235	540348346	19219
1495800852665191490	700886568	3468121	1739400	228492225	2112431	525862713	19808
1495800853165812011	700871184	2418670	1251708	216473458	1652644	498783286	13674
1495800853666461242	473444023	3998165	1183269	101395518	1682797	206078895	20306
1495800854167096972	700881983	7676312	2226087	161086817	2629512	311523828	38914
1495800854667724577	700885248	7552422	2195589	164113657	2600418	322531221	38362
1495800855168381474	700919797	7391699	2158329	168209880	2568843	337517685	37601
1495800855669198912	701148938	2636226	980510	243665986	1284277	564539227	15007
1495800856169812476	700859232	1317225	863442	282304587	1252007	728018777	12916
1495800856670425081	700856636	1291383	746041	147358397	1382107	378926729	11693
1495800857171037894	700859874	607937	289636	119877644	1294221	354788303	3955
1495800857671646833	700851178	93144	58655	160581254	877624	439063489	264
1495800858172253230	700848508	592495	193642	124435986	949927	401222863	1835
1495800858672858377	700850948	709346	228388	125096921	1414380	303639304	2604
1495800859173464982	700850040	849577	477060	154733257	1512944	362218598	6710
1495800859674066920	700845700	612794	357755	136082988	1258330	328008607	5012
1495800860174670442	700843156	621693	359961	136168880	1229469	328311992	5177
1495800860675276589	700851196	549723	309235	133806304	1191445	322493982	4262
1495800861175887194	700853692	458857	271169	153922160	799785	510017222	4154
1495800861676492216	700848468	79388	27027	541404924	700343	905032636	112
1495800862177093946	700841656	71854	25881	796338837	1042125	1106675092	120
1495800862677704010	700855732	508906	330474	177407632	719959	587151247	5304
1495800863178339990	700891428	4474372	1153221	289042508	4278162	496689888	20251
1495800863679037553	700852968	5699068	26687	356719633	5536583	669415296	115
1495800864179645909	700977082	6286363	27658	348053381	5410331	655669749	112
1495800864680253806	700850034	6065599	27922	339609288	5370262	645385196	113
1495800865180930661	700951310	4763547	33105	347428182	4420923	678678267	190
1495800865681530974	700841682	9133817	28272	319650245	4978115	628008551	113
1495800866182130829	700839996	9101217	28508	315139960	4957828	621573177	123
1495800866682730768	700844104	8945291	28739	312427476	4946947	618376605	113
1495800867183333082	700842816	8676257	28104	305605399	4944645	609396521	113
1495800867684018145	700841536	8671104	27818	306464171	4943329	611410171	113
1495800868184623167	700966752	4164345	55913	214635707	3327444	485720052	637
1495800868685208230	700821636	50955	21433	157236322	226152	329448763	113
1495800869185802461	700842492	48245	21031	155034929	222936	324784899	112
1495800869686454149	700904292	51431	21944	157118075	224370	329237354	113
1495800870187068296	700859524	50941	22100	153068331	220133	320567382	112
1495800870687674318	700849396	50479	21757	155217369	223055	325139348	111
1495800871188281381	700850936	51019	22349	155713645	222481	325418511	113
1495800871688996361	700855040	50388	22129	156426769	224299	327760371	114
1495800872189598758	700989956	50700	22488	156435087	224982	327725336	112
1495800872690200322	700844776	51464	22361	154594593	221524	323818304	113
1495800873190799219	700839000	51102	21968	154509187	220950	323674922	112
1495800873691405699	700848776	51564	22113	154817663	222900	324259185	113
1495800874192019763	700858680	50064	22059	156425651	222866	327009711	112
1495800874692786493	701078616	50794	22395	154570586	222157	323747938	113
1495800875193419306	700883088	51398	22371	155986152	224331	326788973	113
1495800875694048411	700884252	51070	22093	155537565	223342	325823935	114
1495800876194668558	700869960	49161	21592	155530696	221567	325787962	112
1495800876695291622	700871112	51476	22317	152321457	219045	318936389	113
1495800877195915852	700869888	48740	21797	156388432	224095	326977931	112
1495800877696557415	700905256	50600	22241	154426380	221310	323312282	113
1495800878197179895	700872200	49986	22001	156490689	224970	327837881	112
1495800878697805084	700875572	50330	22109	156174017	225162	327172508	113
1495800879198430564	700877648	51189	22031	155589628	222593	325938010	113
1495800879699058086	700876248	51586	22556	154435665	220979	323462428	114
1495800880199682441	700877256	50589	22251	155311355	223185	325027906	112
1495800880700311296	700879768	6061146	28031	263271419	3357609	530135887	127
1495800881200937693	700877240	9450965	25837	314992599	5154596	636122373	112
1495800881701566965	700883706	9241305	27734	310193075	5172516	628786925	113
1495800882202185029	700867746	8964513	27654	304887438	5152773	621538361	112
1495800882702811509	700876148	8944297	27593	303076716	5167220	619060891	113
1495800883203428031	700865404	5706040	27310	289058321	4019937	630290376	135
1495800883704060886	700883349	3609632	864036	325537120	2629732	719344171	1710
1495800884204759491	630351675	713506	290609	103853051	1148051	259492839	2178
1495800884705513804	549446650	5863219	1707736	130510185	2035011	257573343	29570
1495800885206162951	700923862	7672413	2233052	161906543	2627244	314503348	38847
1495800885706853889	700963918	7546418	2200759	165432304	2592292	326862115	38402
1495800886207519203	700940516	7268834	2140547	165199110	2568793	328954233	37618
1495800886708117433	700837307	202795	99852	68502125	167942	164570390	1137
1495800887208717413	700841156	189909	94618	68259058	176166	164253236	1087
1495800887709386310	700937188	196711	98000	68320981	175895	164110908	1138
1495800888209991082	700845927	188922	93740	68084449	166622	163776561	1083
1495800888710594521	700846105	189605	93045	68046786	166977	163768819	1081
1495800889211199417	700847960	189548	93001	68059780	169203	163789746	1083
1495800889711808523	700853888	191781	93656	68081507	167244	163794635	1082
1495800890212413878	700848915	191389	92898	68096702	165008	163794587	1083
1495800890713022191	700851012	193929	94082	68091359	166151	163790070	1087
1495800891213629713	700852389	193926	94504	68090255	167015	163812171	1083
1495800891714353443	701014075	193403	93380	68148967	167592	163867897	1089
1495800892214965340	700857313	191758	93123	68097331	166799	163831230	1082
1495800892715573320	700854891	192715	92926	68110695	167307	163841698	1085
1495800893216173926	700840268	192156	93101	68053132	166534	163795541	1080
1495800893716771781	700838770	195887	94421	68116661	168477	163843179	1086
1495800894217444094	700942219	192592	94892	68136089	165905	163852624	1087
1495800894718042991	700838437	194263	95415	68099486	167365	163792211	1085
1495800895218647513	700845022	286438	157270	150037829	470482	818378761	1792
1495800895719339993	700968384	241578	131026	171705289	520524	1019864712	1277
1495800896219936015	700837112	669267	354004	141333121	6611374	604383877	5121
1495800896720543495	700841356	1543727	840418	179028004	4440309	415452306	13365
1495800897221174809	700897844	594507	345584	210405799	3733221	467071437	5410
1495800897721775664	700839216	113889	27027	392322344	690040	774257711	128
1495800898222393727	700863881	100413	25879	424966815	576022	801006968	116
1495800898723079291	700972712	87204	24824	436124717	527695	814094946	112
1495800899223664688	700811673	108202	25816	434126307	591436	807521668	112
1495800899724331918	700934536	86609	26908	408633246	687548	778748378	119
1495800900224931690	700842791	109499	25235	425724320	589620	801319899	117
1495800900725533003	700844362	108611	25368	439056600	528889	817723771	112
1495800901226135442	700845311	106911	25450	437191610	543885	812912564	112
1495800901726731255	700832868	110604	26101	425491544	636125	799239917	114
1495800902227332527	700842688	109219	25521	438177630	530655	815815530	112
1495800902727933549	700843561	109403	25431	440473392	519928	819073702	112
1495800903228536613	700842726	108495	25457	438484400	538414	815108860	112
1495800903729198510	700925063	111126	26974	433745832	586160	806396359	113
1495800904229879156	700954849	110283	25436	424808854	626159	796995759	113
1495800904730483178	700851008	109058	25987	436065972	516548	813559087	112
1495800905231078533	700832787	106368	25240	435857657	557343	812551733	112
1495800905731674389	700834705	108205	25491	434039649	590125	808021808	112
1495800906232272952	700840611	107395	25936	433189775	590060	806057935	112
1495800906732873724	700839553	110356	26795	420915921	686677	788922537	113
1495800907233477954	700847401	107859	24813	439517585	583771	812972828	113
1495800907734080018	700841671	109882	25847	438400846	618375	811097245	113
1495800908234683415	700847821	109363	25376	424311857	678052	793317253	112
1495800908735289228	700847851	108383	25259	435271489	623745	805409189	112
1495800909235897583	700852069	108932	25264	439309093	570996	815566955	115
1495800909736603980	700991092	109433	24950	438104403	618026	809522062	112
1495800910237279419	700946855	108433	25613	427459215	672683	796583198	112
1495800910737954815	700945767	112520	26038	425907915	681700	795678739	115
1495800911238624754	700942110	108728	24938	435957442	640714	805146112	112
1495800911739436525	701135563	111727	26197	429796043	678956	798701727	114
1495800912240120006	700957172	107017	24616	427053187	697683	791666799	112
1495800912740794111	700944541	113369	25851	412944188	716581	784299845	116
1495800913241472299	700951530	103152	25132	356055304	782346	745850307	120
1495800913742198446	701014532	103617	30322	255089588	944004	636696371	148
1495800914242802926	700846934	123443	29752	325255032	832634	685288390	168
1495800914743409740	700852200	189492	74051	251587368	1175871	574232061	904
1495800915244012428	700846304	155846	65258	225980271	1923019	554859028	692
1495800915744609033	700837875	141891	58059	235442519	2056259	575636266	595
1495800916245207097	700835847	151951	64106	233223002	2270677	553341837	664
1495800916745884035	509567150	440825	152551	161061011	1707720	360704995	2077
1495800917246529516	670743402	7204671	2081112	157855802	2476517	310259724	36188
1495800917747191912	700883019	7607332	2194512	161605526	2589211	314406821	38427
1495800918247883017	700978520	7499096	2162200	165234226	2550057	327055464	37955
1495800918748495039	700856141	6300387	1916682	205689820	2342730	413998567	33526
1495800919249228144	701024520	82598	34019	244263008	934917	564216828	268
1495800919749842541	700864270	58600	21609	247203664	940060	567145725	113
1495800920250458521	700863530	57022	21127	246983692	937811	566286981	112
1495800920751063585	700847060	57425	21347	247257232	939994	567247082	113
1495800921251667065	700845832	56925	21917	246651050	937829	565795436	110
1495800921752302962	700892122	59330	22596	247625865	941079	567835299	113
1495800922252901859	700839166	57015	21526	246822194	937836	566126463	112
1495800922753504839	700842428	58634	21981	247216598	940265	567053996	113
1495800923254184278	700953298	57736	21904	246092404	936243	564822521	114
1495800923754864758	700954264	57602	22213	247320103	940155	567292473	113
1495800924255475196	700856850	56758	21572	247284489	939127	567018514	112
1495800924756076968	700841048	58166	22906	245725761	939414	565229318	114
1495800925256681532	700847936	57679	22022	245979751	942958	566322230	112
1495800925757274387	700834492	60406	21848	245791727	945214	566454691	113
1495800926257878450	700842634	57063	20662	245260057	939280	565667313	112
1495800926758489347	700858914	57843	21528	246711883	946047	569086138	113
1495800927259226327	701032664	58390	22270	245538060	945565	567026614	114
1495800927759838057	700854426	57364	21663	245129140	943786	566320278	113
1495800928260452038	700873466	55535	22264	246131177	947958	568599178	113
1495800928761051393	700831052	58335	22149	245041650	961604	566468747	114
1495800929261663998	700858188	57036	21527	244389623	959026	565340471	112
1495800929762273187	700852236	58299	22214	245373373	963364	567493742	113
1495800930262881833	700852692	57501	22454	244705288	1006846	566065529	112
1495800930763492814	700859508	61035	22162	244911520	1052700	566885967	113
1495800931264233294	701035626	59235	22363	243582721	1044454	563902481	114
