#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481276199693211059	automotive_qsort1	1	2000	57	1.3	1.777	2.358	1001225124	202671	101934	1043173	357973494	165590	1176298693	2143	2252	0	6554160	256328546	
1481276200202319932	automotive_qsort1	1	2000	57	1.3	1.780	2.362	1001213484	204137	103638	1129497	354799923	163697	1174919792	2142	2253	0	6572414	256052159	
1481276200711418465	automotive_qsort1	1	2000	57	1.3	1.775	2.355	1001231660	203183	100921	1128913	354432783	164120	1181752986	2198	2306	0	6135973	256116416	
1481276201220577503	automotive_qsort1	1	2000	57	1.3	1.778	2.359	1001308023	200057	103552	1044155	359222481	167024	1178407576	2148	2258	0	6517989	256744684	
1481276201729625536	automotive_qsort1	1	2000	57	1.3	1.776	2.356	1001419487	200080	105250	1130310	354727634	164458	1177154589	2145	2254	0	6550825	256526326	
1481276202238680468	automotive_qsort1	1	2000	57	1.3	1.774	2.354	1001324400	202722	103025	1129872	354633716	163970	1177068308	2155	2266	0	6464972	256228616	
1481276202747761000	automotive_qsort1	1	2000	57	1.3	1.779	2.361	1001214563	202794	106613	1042672	358406197	165890	1181309377	2190	2299	0	6210070	256270707	
1481276203256797637	automotive_qsort1	1	2000	57	1.3	1.774	2.354	1001208364	208169	100599	1130633	353888504	164734	1176188612	2143	2253	0	6556352	256320496	
1481276203765825730	automotive_qsort1	1	2000	57	1.3	1.779	2.361	1001209260	185831	100353	1094997	356127582	164513	1176656606	2144	2253	0	6568787	256412172	
1481276204274940134	automotive_qsort1	1	2000	57	1.3	1.780	2.361	1001215467	202581	101748	1077872	356597804	165899	1181567360	2200	2311	0	6114875	256041269	
1481276204784071287	automotive_qsort1	1	2000	57	1.3	1.780	2.362	1001218325	203589	100758	1128774	354045804	164503	1176392850	2144	2253	0	6570313	256344781	
1481276205293202000	automotive_qsort1	1	2000	57	1.3	1.775	2.355	1001212837	207089	103653	1044092	358118835	167213	1175947875	2142	2251	0	6606156	256258360	
1481276205802244213	automotive_qsort1	1	2000	57	1.3	1.774	2.354	1001260666	188472	101313	1130093	354158415	164387	1178043713	2167	2276	0	6367728	256069804	
1481276206311290902	automotive_qsort1	1	2000	57	1.3	1.772	2.353	1001290689	202320	102845	1130482	354040812	163868	1180062178	2177	2288	0	6317783	256369980	
1481276206820380048	automotive_qsort1	1	2000	57	1.3	1.770	2.349	1001215945	204186	108418	1042303	358068958	165735	1176820750	2144	2253	0	6583066	256439291	
1481276207329525168	automotive_qsort1	1	2000	57	1.3	1.775	2.356	1001218716	205949	102191	1130796	354412411	164392	1175834229	2143	2253	0	6617179	256235002	
1481276207838575790	automotive_qsort1	1	2000	56	1.3	1.771	2.351	1001217181	191076	101380	1125416	354654275	163442	1182212124	2200	2309	0	6110657	256166341	
1481276208347648738	automotive_qsort1	1	2000	56	1.3	1.774	2.354	1001208427	208069	103064	1048742	357525766	166272	1176806414	2146	2257	0	6569743	256453746	
1481276208856748126	automotive_qsort1	1	2000	56	1.3	1.772	2.352	1001212975	202914	102486	1128488	354166079	163732	1176228381	2144	2254	0	6577008	256322369	
1481276209365805714	automotive_qsort1	1	2000	56	1.3	1.777	2.359	1001216086	208364	107949	1074752	356638728	166565	1180077434	2182	2294	0	6287974	256260325	
1481276209874979638	automotive_qsort1	1	2000	56	1.3	1.773	2.353	1001207341	205016	102724	1099358	355474363	164633	1179463055	2166	2275	0	6395036	256475608	
1481276210383954011	automotive_qsort1	1	2000	56	1.3	1.777	2.359	1001289074	204798	104984	1130709	355000424	165401	1177112114	2146	2256	0	6570757	256514659	
