#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211446747956348	automotive_qsort1	1	2000	55	1.300000	1.766000	2.343000	1001177555	0	202581	101748	1077872	356597804	165899
1481211447257001833	automotive_qsort1	1	2000	55	1.300000	1.764000	2.340000	1001196115	0	203589	100758	1128774	354045804	164503
1481211447766163980	automotive_qsort1	1	2000	55	1.300000	1.763000	2.339000	1001188870	0	207089	103653	1044092	358118835	167213
1481211448275169418	automotive_qsort1	1	2000	55	1.300000	1.756000	2.330000	1001281445	0	188472	101313	1130093	354158415	164387
1481211448784158016	automotive_qsort1	1	2000	55	1.300000	1.754000	2.329000	1001195425	0	202320	102845	1130482	354040812	163868
1481211449293245488	automotive_qsort1	1	2000	55	1.300000	1.754000	2.327000	1001203135	0	204186	108418	1042303	358068958	165735
1481211449802435782	automotive_qsort1	1	2000	55	1.300000	1.758000	2.332000	1001212453	0	205949	102191	1130796	354412411	164392
1481211450311401830	automotive_qsort1	1	2000	54	1.300000	1.753000	2.327000	1001210352	0	191076	101380	1125416	354654275	163442
1481211450820492197	automotive_qsort1	1	2000	54	1.300000	1.756000	2.330000	1001181690	0	208069	103064	1048742	357525766	166272
1481211451329459777	automotive_qsort1	1	2000	54	1.300000	1.757000	2.331000	1001184975	0	202914	102486	1128488	354166079	163732
1481211451838503424	automotive_qsort1	1	2000	54	1.300000	1.764000	2.340000	1001193083	0	208364	107949	1074752	356638728	166565
1481211452347630201	automotive_qsort1	1	2000	54	1.300000	1.764000	2.340000	1001188127	0	205016	102724	1099358	355474363	164633
1481211452856597751	automotive_qsort1	1	2000	54	1.300000	1.766000	2.343000	1001272720	0	204798	104984	1130709	355000424	165401
1481211453365896140	automotive_qsort1	1	2000	54	1.300000	1.753000	2.326000	1001183965	0	210099	103720	1044818	358027720	167356
1481211453875125173	automotive_qsort1	1	2000	54	1.300000	1.759000	2.334000	1001188845	0	206966	100833	1131698	354862017	164451
1481211454384116135	automotive_qsort1	1	2000	54	1.300000	1.761000	2.336000	1001174223	0	202114	102109	1129699	354197115	164187
1481211454893125946	automotive_qsort1	1	2000	54	1.300000	1.763000	2.339000	912383589	0	208811	108445	1010532	322726074	160196
1481211455402736556	automotive_susan_c	1	2000	54	1.300000	1.562000	2.071000	738963093	0	2202502	1021301	1182848	472565687	1194686
1481211455912368804	automotive_susan_c	1	2000	54	1.300000	1.778000	2.359000	1001205501	0	2797637	1305175	1610871	653016622	1543466
1481211456421695401	automotive_susan_c	1	2000	54	1.300000	1.782000	2.366000	1001216670	0	2767758	1321719	1597620	653744936	1554382
1481211456931002426	automotive_susan_c	1	2000	54	1.300000	1.783000	2.366000	1001192199	0	2763481	1307309	1600556	655813683	1534251
1481211457440348506	automotive_susan_c	1	2000	54	1.300000	1.788000	2.372000	1001211196	0	2785496	1338966	1601472	650295400	1565535
