#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481340961292873559	automotive_qsort1	1	2000	60	1.300000	1.794000	2.380000	1001242730	1176656606	2144	2253	0	6568787	256412172
1481340961801923921	automotive_qsort1	1	2000	60	1.300000	1.794000	2.380000	1001253380	1181567360	2200	2311	0	6114875	256041269
1481340962311140742	automotive_qsort1	1	2000	60	1.300000	1.796000	2.385000	1001240535	1176392850	2144	2253	0	6570313	256344781
1481340962820240021	automotive_qsort1	1	2000	60	1.300000	1.788000	2.372000	1001236805	1175947875	2142	2251	0	6606156	256258360
1481340963329319009	automotive_qsort1	1	2000	60	1.300000	1.793000	2.379000	1001239887	1178043713	2167	2276	0	6367728	256069804
1481340963838423788	automotive_qsort1	1	2000	60	1.300000	1.791000	2.378000	1001385953	1180062178	2177	2288	0	6317783	256369980
1481340964347514609	automotive_qsort1	1	2000	59	1.300000	1.786000	2.371000	1001228755	1176820750	2144	2253	0	6583066	256439291
1481340964856614554	automotive_qsort1	1	2000	59	1.300000	1.793000	2.381000	1001224979	1175834229	2143	2253	0	6617179	256235002
1481340965365749750	automotive_qsort1	1	2000	59	1.300000	1.789000	2.375000	1001224011	1182212124	2200	2309	0	6110657	256166341
1481340965874805279	automotive_qsort1	1	2000	59	1.300000	1.792000	2.379000	1001235165	1176806414	2146	2257	0	6569743	256453746
1481340966384036475	automotive_qsort1	1	2000	59	1.300000	1.788000	2.374000	1001240975	1176228381	2144	2254	0	6577008	256322369
1481340966893108004	automotive_qsort1	1	2000	59	1.300000	1.791000	2.378000	1001239090	1180077434	2182	2294	0	6287974	256260325
1481340967402329075	automotive_qsort1	1	2000	59	1.300000	1.783000	2.367000	1001226555	1179463055	2166	2275	0	6395036	256475608
1481340967911310271	automotive_qsort1	1	2000	59	1.300000	1.789000	2.375000	1001305429	1177112114	2146	2256	0	6570757	256514659
1481340968420391383	automotive_qsort1	1	2000	59	1.300000	1.787000	2.373000	1001216581	1177334378	2145	2254	0	6555789	256555188
1481340968929472787	automotive_qsort1	1	2000	59	1.300000	1.781000	2.365000	1001217915	1181422711	2199	2309	0	6125663	256013331
1481340969438552275	automotive_qsort1	1	2000	58	1.300000	1.787000	2.373000	1001354630	1177063464	2144	2253	0	6589885	256504818
1481340969948293388	automotive_susan_c	1	2000	58	1.300000	1.642000	2.178000	669692055	760704949	3150	4720	5	4285363	156890762
1481340970457718127	automotive_susan_c	1	2000	58	1.300000	1.808000	2.401000	1001192869	1172648846	13577	26686	0	2970291	70344298
1481340970967744032	automotive_susan_c	1	2000	58	1.300000	1.811000	2.405000	1001189445	1173187509	13578	26688	0	2961901	70353435
1481340971477013479	automotive_susan_c	1	2000	58	1.300000	1.807000	2.399000	1001162851	1174668102	13577	26686	0	2957791	70360249
1481340971986694050	automotive_susan_c	1	2000	58	1.300000	1.802000	2.393000	1001207510	1175734584	13501	26534	0	2958778	70291208
1481340972496248872	automotive_susan_c	1	2000	58	1.300000	1.800000	2.390000	1001255925	1175783704	13516	26564	0	2948354	70300327
1481340973006062611	automotive_susan_c	1	2000	58	1.300000	1.804000	2.395000	1001382380	1176062901	13550	26632	0	2959737	70347936
1481340973515488141	automotive_susan_c	1	2000	58	1.300000	1.802000	2.393000	1001266130	1175786454	13521	26575	0	2962018	70301934
1481340974024770795	automotive_susan_c	1	2000	58	1.300000	1.805000	2.397000	1001274845	1175736686	13573	26682	0	2952515	70303478
1481340974534237908	automotive_susan_c	1	2000	58	1.300000	1.810000	2.403000	1001259170	1175651230	13576	26686	0	2952342	70295347
1481340975043501146	automotive_susan_c	1	2000	58	1.300000	1.810000	2.403000	1001242886	1175688756	13577	26686	0	2964092	70287419
1481340975553045634	automotive_susan_c	1	2000	58	1.300000	1.805000	2.397000	1001348889	1175573336	13575	26686	0	2958389	70268289
1481340976062505623	automotive_susan_c	1	2000	58	1.300000	1.803000	2.394000	1001244075	1175418232	13574	26684	0	2957036	70220396
1481340976571884111	automotive_susan_c	1	2000	58	1.300000	1.799000	2.389000	1001219770	1174721166	13578	26688	0	2952402	69947884
1481340977081257890	automotive_susan_c	1	2000	58	1.300000	1.798000	2.387000	1001197431	1173228711	13577	26686	0	2955607	70307499
