#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496373691426503306	parsec.dedup	1800	34	1.100000	0.735000	0.879000	641084571	6555916	1925102	138026010	2221519	273345399	31208
1496373691937067398	parsec.dedup	1800	35	1.100000	1.207000	1.445000	994382210	10380578	3071381	208785152	3503113	408547553	49903
1496373692447276115	parsec.dedup	1800	35	1.100000	1.211000	1.450000	992000855	10170326	3020432	215234148	3467264	431126859	49060
1496373692957392457	parsec.dedup	1800	36	1.100000	1.232000	1.475000	1157606607	4486608	3071314	246240474	4486827	378585372	34953
1496373693467496674	parsec.dedup	1800	37	1.100000	1.159000	1.388000	1289735992	4341938	2584757	414619708	3689526	926273672	37390
1496373693977216017	parsec.dedup	1800	38	1.100000	1.282000	1.535000	1697953348	4477279	1870078	759761863	2511741	2004328442	24316
1496373694486602777	parsec.dedup	1800	39	1.200000	2.147000	2.580000	1686848171	3890298	1445990	801959877	2218463	2419729583	16526
1496373694996006578	parsec.dedup	1800	40	1.200000	2.320000	2.790000	1664386863	4404796	1630329	786800090	2720542	2337371679	18264
1496373695505253921	parsec.dedup	1800	41	1.200000	2.217000	2.667000	1709686227	5375379	2018917	779991923	3604088	2206411969	23771
1496373696014609806	parsec.dedup	1800	41	1.200000	2.277000	2.739000	1750809804	7032794	2749546	723017828	5426391	1849376197	34968
1496373696524175233	parsec.dedup	1800	42	1.200000	2.201000	2.647000	1790540854	8187648	3419884	694620045	7443041	1334657609	49387
1496373697033628492	parsec.dedup	1800	42	1.200000	2.155000	2.590000	1794623650	8009887	3314568	690470277	6313896	1392676377	42682
1496373697542864461	parsec.dedup	1800	42	1.200000	2.150000	2.584000	1802481955	7097568	2730070	760275350	2877954	1642843198	15735
1496373698051852721	parsec.dedup	1800	43	1.200000	2.267000	2.727000	1799294917	3576411	1278698	796325037	1885812	1847014384	7547
1496373698560920690	parsec.dedup	1800	43	1.200000	2.351000	2.828000	1802379961	2882538	993740	838716356	1631044	1915501409	5859
1496373699069981867	parsec.dedup	1800	44	1.200000	2.347000	2.828000	1802478626	2648741	920110	814279117	1305820	1934836433	5637
1496373699578952002	parsec.dedup	1800	44	1.200000	2.358000	2.841000	1802572625	2404205	904667	761673592	1189432	1909956741	7016
1496373700087974554	parsec.dedup	1800	44	1.200000	2.348000	2.829000	1802468157	3335145	1378839	716243801	1550478	1842071107	12497
1496373700596956523	parsec.dedup	1800	44	1.200000	2.269000	2.729000	1802257923	3636270	1556700	702857434	1682676	1831769673	14239
1496373701106143283	parsec.dedup	1800	44	1.200000	2.250000	2.706000	1802244255	2675047	1048742	721805941	1180288	1891981781	9092
1496373701615006293	parsec.dedup	1800	45	1.200000	2.274000	2.735000	1802251070	2760924	1101076	720720876	1255715	1885072973	9606
1496373702123972096	parsec.dedup	1800	45	1.200000	2.267000	2.727000	1802254466	2538911	973221	723253260	1169064	1914726504	8288
1496373702632924356	parsec.dedup	1800	45	1.200000	2.258000	2.716000	1789908466	3553240	1602824	686965040	1907243	1778484921	12280
1496373703142102283	parsec.dedup	1800	45	1.200000	2.209000	2.657000	1802373094	4703124	2235587	671788814	2415010	1729260700	16556
1496373703651854917	parsec.dedup	1800	45	1.200000	2.215000	2.664000	1802744846	5546994	2657799	660903810	2832797	1652990978	19831
1496373704161695426	parsec.dedup	1800	45	1.200000	2.189000	2.633000	1802629686	4896084	2267484	677364465	2430728	1737021136	16787
1496373704671363811	parsec.dedup	1800	45	1.200000	2.236000	2.689000	1802797724	5333271	2583086	657243825	2750770	1679385101	19504
1496373705180777071	parsec.dedup	1800	45	1.200000	2.028000	2.437000	1006105608	9652611	4967432	200930672	5137590	397530981	37751
1496373705690334663	parsec.dedup	1800	43	1.100000	1.151000	1.378000	916404430	10431273	5279942	168239195	5236198	306857567	40329
1496373706199784882	parsec.dedup	1800	42	1.100000	1.149000	1.376000	916409932	8130703	4135283	173179743	4543551	320857045	30713
1496373706709450433	parsec.facesim	1800	42	1.100000	1.155000	1.383000	665513437	5228806	1544026	127191010	2162962	259534705	24591
1496373707219883899	parsec.facesim	1800	42	1.100000	0.848000	1.014000	993901973	10391787	3054720	208067759	3479125	405870705	49865
1496373707730129241	parsec.facesim	1800	42	1.100000	1.226000	1.468000	991949550	10210661	3043357	213502869	3460503	426215165	49256
