#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481249515185007699	313318599	0	220758	66023	56395	48680555	84876
1481249515685810920	500848043	0	41978	17714	8917	46607368	18067
1481249516186434474	500622982	0	42999	20241	9392	88979388	18171
1481249516687054654	500619847	0	41340	18674	9650	47245516	17996
1481249517187696291	500638565	0	41436	18175	9033	47186706	17941
1481249517688291637	500602543	0	40166	19412	9303	88413709	17758
1481249518188914192	500614127	0	43889	19788	9828	47252615	18427
1481249518689600913	500687812	0	42603	19731	9181	52469544	18165
1481249519190220926	500618887	0	43321	19392	9585	83152795	18279
1481249519690849313	500627982	0	42575	19045	9300	47210023	17587
1481249520191471909	500619951	0	43470	19691	9836	61921069	18180
1481249520692093047	500621450	0	42180	19362	9323	73684122	18097
1481249521192704101	500610189	0	43963	19851	9581	47192305	18065
1481249521693323947	500617080	0	43100	19507	9308	75036540	18065
1481249522193948252	500623772	0	43946	19853	9458	60641253	18275
1481249522694640556	500690350	0	42707	19547	9181	47013974	18402
1481249523195262069	500622085	0	44522	19137	10026	85926228	18357
1481249523695883165	500619531	0	43261	18597	9127	49860369	18116
1481249524196498261	500614573	0	43074	20267	9247	46795022	18303
1481249524697177107	500677516	0	40909	19682	9072	88720661	18120
1481249525197779911	500601892	0	43283	20187	9198	47244366	18209
1481249525698382007	500600223	0	41799	20130	9334	46583274	18062
1481249526198985270	500601942	0	43857	19872	9902	88925935	18637
1481249526699659949	500674965	0	42632	19174	9299	47262544	18226
1481249527200265587	500602312	0	43686	20204	9372	47103980	18403
1481249527700866724	500602606	0	42770	19710	9778	88441574	18270
1481249528201463362	500596368	0	44479	20136	9628	47249095	18265
1481249528702061125	500596924	0	44156	19193	9213	52493675	18017
1481249529202662804	500599090	0	44742	20335	9295	83100996	18261
1481249529703262067	500598726	0	42992	19737	9021	47227065	18048
1481249530203873329	500608047	0	46063	20238	9734	61632037	18744
1481249530704560884	500688907	0	43489	19399	9375	73994661	18312
1481249531205157980	500596525	0	44944	19649	9801	47177296	18339
1481249531705758326	500597631	0	42032	19240	9716	74976198	18205
1481249532206363630	500603661	0	44217	20040	9253	60669648	18331
1481249532706965601	500602764	0	42028	20190	9495	46989567	17929
1481249533207567988	500601017	0	44850	20229	9579	85894245	18232
1481249533708167751	500600189	0	43863	20054	9447	49963678	18155
1481249534208769055	500597774	0	46148	20510	9349	46829003	18590
1481249534709373485	500606067	0	44171	20027	9204	88756904	18042
1481249535210040081	500664504	0	44508	20218	9607	47277398	18188
1481249535710642218	500601191	0	44057	19630	9710	46646796	17987
1481249536211236981	500594555	0	45992	19691	10034	88936901	18550
1481249536711830744	500592451	0	42964	20045	9218	47256965	18020
1481249537212427381	500594160	0	45153	20834	9395	46484922	18134
1481249537713022852	500595499	0	42440	20316	9490	89115938	18403
1481249538213623115	500598217	0	45313	20598	9833	47249291	18757
1481249538714255294	500596141	0	42893	20590	9088	50841917	18127
1481249539214859724	500639674	0	44600	21729	9191	84781372	18658
1481249539715457028	500598065	0	42573	21413	9088	47229836	18327
1481249540216053290	500595418	0	44750	20997	9032	57234000	18464
1481249540716650386	500594916	0	43055	19960	9443	78397256	18528
1481249541217244899	500594410	0	44981	20985	9535	47236617	18534
1481249541717836453	500588750	0	42391	20881	9319	69949178	17886
1481249542218427008	500590289	0	44855	20738	9580	65649770	18694
1481249542719019604	500591262	0	42401	19429	8998	47052818	18349
1481249543219678116	500657780	0	45822	20870	9767	82670631	18712
1481249543720263129	500585429	0	42123	19626	8912	53057679	18110
1481249544220846975	500580861	0	45253	20085	9332	46864572	18421
1481249544721482737	342286147	0	59032	22748	13279	46206277	21406
1481249545222194459	492560766	0	361600	137778	639797	188962950	194925
1481249545722894471	500695732	0	108379	65801	627521	194952316	103429
1481249546223585901	500693241	0	127258	68731	611401	196123512	104457
1481249546724327706	500685846	0	125321	70482	610734	196080908	104417
1481249547225011427	500735520	0	125280	66957	611220	196114501	104213
1481249547725728731	500711106	0	102499	66979	699481	191789439	101420
1481249548226528911	500809968	0	117765	67059	612233	195707503	103826
1481249548727224257	500689365	0	122811	66744	611269	195968960	104022
1481249549227918686	500696325	0	120699	68459	611203	196331643	104483
1481249549728624616	500705274	0	107300	67760	631526	195803480	103891
1481249550229367212	500740313	0	127175	63995	680647	191529369	101558
1481249550730067058	500698837	0	124740	68995	611029	196303888	103834
1481249551230767821	500700069	0	127342	69981	612196	196312592	104725
1481249551731471626	500701605	0	111204	67115	611552	196429471	103702
1481249552232172514	500701254	0	125479	67006	643769	194549179	103090
1481249552732871735	500697552	0	123872	66390	667708	192899070	101610
1481249553233573039	500700399	0	122132	67833	610645	196104535	103895
1481249553734334969	500714367	0	129414	67965	611193	196256955	103866
1481249554235032857	500744769	0	129448	67537	611551	195925506	104428
1481249554735733619	500699859	0	124027	64929	661842	193739590	102237
1481249555236460591	500724264	0	113936	68131	650644	193663950	102485
1481249555737075645	500615787	0	125282	66297	610895	196117256	104019
1481249556237686783	500609691	0	127070	67363	609768	195447617	103804
1481249556738292670	500603208	0	125528	67296	611294	196055548	103918
1481249557238902350	500609928	0	117674	67220	661460	193451787	102455
1481249557739584071	500679471	0	126276	66545	650516	193898160	102594
1481249558240192417	500608974	0	124275	67349	611827	196269767	104132
1481249558740801721	500607270	0	112232	66581	611517	196321621	103950
1481249559241414317	500611593	0	125310	66913	611236	196139338	104011
1481249559742024496	500609458	0	124380	65130	682826	192533188	101431
1481249560242629676	500603411	0	122550	67369	629047	194622357	103517
1481249560743241147	500609573	0	109581	68774	611630	196190727	104285
1481249561243852618	500611736	0	127411	67376	608013	195912658	103315
1481249561744512797	500660481	0	123276	66560	606134	196129455	103206
1481249562245117893	500603660	0	117980	65363	691508	191972221	99682
1481249562745726989	500608404	0	127274	66702	610343	195867285	102313
1481249563246335793	500607121	0	122555	64593	606093	196212040	102521
1481249563746937181	500600876	0	123341	66604	606015	196247283	103723
1481249564247541610	500604498	0	112147	66294	626103	195722482	101936
1481249564748144498	500600416	0	123389	63875	676032	191940765	99606
1481249565248822177	500675780	0	126748	67333	605901	196146864	102738
1481249565749428065	500606817	0	127353	68711	605940	196149276	102712
1481249566250030244	500602140	0	126755	67285	605985	196107560	102342
1481249566750630632	500598282	0	123487	62046	637438	194533111	101764
1481249567251233603	500601672	0	127375	65343	664870	192888200	100499
1481249567751838699	500605899	0	117977	67630	606300	196100754	102641
1481249568252443086	500600949	0	125379	67737	606185	196273144	102566
1481249568753050266	500605812	0	124238	68352	605719	196119382	102413
1481249569253660195	500611469	0	127488	66632	657025	193545075	101329
1481249569754310999	500605828	0	122762	66382	645371	193886332	101747
1481249570254916429	500647629	0	125295	68519	606060	196153574	102718
1481249570755514941	500597709	0	126996	67733	605793	196127765	102749
1481249571256116204	500600172	0	111473	67770	605558	196194704	102690
1481249571756817425	392636096	0	117655	66612	559536	148622645	88951
1481249572257459313	444286251	0	1513867	697092	781707	310706148	874381
1481249572758087242	500625815	0	1503350	739321	848418	364057206	911029
1481249573258699796	500612985	0	1546970	768520	887449	357199199	930193
1481249573759368976	500602725	0	1523978	743729	851685	363787810	907934
1481249574259968238	500663640	0	1549752	765463	887126	357212507	932921
1481249574760572334	500603893	0	1500158	756063	849332	363814534	906021
1481249575261250014	500675351	0	1522519	759183	886020	357856608	932716
1481249575761852193	500602933	0	1521853	728377	850684	364207449	912255
1481249576262447414	500593968	0	1550177	764416	884564	357481058	929868
1481249576763052510	500603433	0	1497412	738923	847367	364030596	906274
1481249577263686273	500626674	0	1523727	761015	885247	357996596	932799
1481249577764404161	500724933	0	1500176	745680	849094	364030841	908374
1481249578265026673	500619941	0	1565559	759853	890459	356978452	936419
1481249578765651769	500625738	0	1502559	742054	847949	364622363	910797
1481249579266271199	500616364	0	1558589	763620	888532	357883514	934037
1481249579766898378	500628492	0	1501686	747391	849170	364032699	906407
1481249580267526807	500623509	0	1550909	766801	890090	357203848	935601
1481249580768233779	500708280	0	1511856	753339	848843	363454978	908149
1481249581268915625	500682060	0	1552539	756752	889154	358268469	936955
1481249581769691721	500772563	0	1503719	731538	849925	364677551	912756
1481249582270390734	500696440	0	1542897	762642	887972	357622633	935425
1481249582771096580	500705823	0	1512435	728766	854255	364175746	911688
1481249583271791218	500695701	0	1534975	768049	882065	357953820	934074
1481249583772497106	500702931	0	1496482	744122	854447	363616343	906221
1481249584273192702	500694219	0	1546331	765823	883514	357758935	933177
1481249584773893090	500701431	0	1513325	744685	852575	363806931	909537
1481249585274684228	500788766	0	1555347	757932	886354	358419683	938874
1481249585775315574	500629458	0	1507055	736165	862604	363432025	907650
1481249586275938295	500622265	0	1554677	764654	875154	358237851	935362
1481249586776561474	500623452	0	1509977	740592	856652	363224681	906087
1481249587277191570	500625828	0	1548934	771920	882799	357802214	935786
1481249587777822374	500631411	0	1508227	736978	856841	363908100	910703
1481249588278448137	500624324	0	1546022	751344	881032	358724834	939241
1481249588779076108	500628013	0	1525773	741995	858151	362960807	905257
1481249589279755829	500678321	0	1535821	768453	881092	358083881	934911
1481249589780392425	500627469	0	1503435	725133	864412	363739620	912279
1481249590281022813	500638290	0	1556941	764879	873116	358616209	935963
1481249590781645825	500622771	0	1519132	733746	865556	362981552	910384
1481249591282275463	500627880	0	1551613	764029	874690	358600535	938645
1481249591782894893	500618478	0	1512207	730856	866817	363101860	911160
1481249592283527114	500629300	0	1548523	760339	872646	358928899	940576
1481249592784173293	500635592	0	1526131	730900	870123	362859304	912573
1481249593284852806	500686618	0	1567211	752468	871857	359308808	939030
1481249593785502985	500636996	0	1509683	737562	868124	362348212	906559
1481249594286131581	500643463	0	1549077	772628	871286	358791364	935502
1481249594786863219	500712635	0	1522907	728372	868988	362973342	911346
1481249595287487190	500641104	0	1562102	747624	870272	359499413	940962
1481249595788126078	500624667	0	1517599	730234	869123	362398233	914374
1481249596288748299	500636334	0	1554972	775356	869272	359516571	934709
1481249596789375853	500620809	0	1498569	745207	869345	362081128	913189
1481249597290002782	500630170	0	1565545	763594	868822	359465325	936301
1481249597790641420	500620718	0	1511983	748216	867153	362076748	909837
1481249598291268349	500641407	0	1572166	756738	868854	359869678	938786
1481249598791894112	500621602	0	1505178	733630	870140	362149436	915946
1481249599292526125	335809871	0	787276	335719	470717	225746101	408500
1481249599793146887	500624700	0	732411	348617	631245	354211767	421346
1481249600293761483	500613534	0	723749	352503	632667	354249716	421124
1481249600794410121	500644866	0	726036	347278	632804	354209067	420546
1481249601295050676	500639055	0	688655	328780	626063	357432060	396203
1481249601795685438	500633715	0	681874	327961	612973	357610780	401387
1481249602296304493	500621703	0	731575	352032	618958	357362902	418610
1481249602796908630	500599794	0	725371	347065	630764	356392527	421099
1481249603297516310	500606154	0	742242	352580	622754	354021567	422641
1481249603798116155	500600634	0	752090	349077	629317	354333163	422151
1481249604298718710	500601648	0	748252	348161	627673	352976466	423159
1481249604799395306	500678580	0	743830	345777	636524	354097935	422766
1481249605299990402	500591712	0	727940	351991	633778	354175457	422537
1481249605800582706	500590113	0	715895	356474	629489	354454066	421383
1481249606301186677	500599212	0	717417	351361	631032	354486892	424363
1481249606801811148	500634642	0	732603	352456	633208	354491520	424227
1481249607302434286	500613402	0	692530	335773	628357	357160940	399623
1481249607803088465	500651911	0	674795	335572	612714	357578578	401785
1481249608303740103	500652962	0	700807	347702	619736	357643739	417492
1481249608804372491	500633148	0	726798	349436	630150	356347369	423422
1481249609305001878	500623338	0	708250	345340	625558	354710726	423513
1481249609805635266	500636634	0	732150	350154	626630	354442507	423127
1481249610306260987	500625165	0	735359	348084	629325	354345319	423107
1481249610806881958	500618415	0	723463	347728	628982	353775529	424399
1481249611307504512	500624844	0	739207	352862	630772	354478961	422051
1481249611808128900	500620932	0	721493	351637	630577	354520343	420054
1481249612308740288	500612730	0	728025	352763	629498	354429567	423642
1481249612809372800	500628711	0	747436	353352	633336	354095752	426635
1481249613309996980	500621937	0	730893	339518	631325	355650473	411552
1481249613810645201	500648859	0	713663	332965	618685	357297408	398442
1481249614311277838	500631693	0	704586	340899	621883	357770175	413904
1481249614811971518	500693994	0	731608	347372	627613	356273314	425717
1481249615312595281	500620593	0	716026	347305	626863	355439914	426959
1481249615813292335	500697816	0	719946	347189	627472	354287385	423266
1481249616313987723	500694258	0	730930	347482	629366	354988142	423518
1481249616814759194	500769306	0	716732	352176	626419	353698327	423030
1481249617315450665	500691903	0	732361	354592	631944	354630830	424163
1481249617816141095	500687565	0	732978	350187	632074	354507037	424700
1481249618316838441	500696001	0	723409	350225	631202	354316310	423792
1481249618817531412	500695023	0	731429	347526	632164	354273092	423698
1481249619318226842	500692110	0	729584	349193	631020	354621674	424875
1481249619818927021	500697235	0	697438	332936	628306	357431459	402606
1481249620319756367	500827373	0	670956	332210	613214	357638443	407223
1481249620820476672	500723853	0	716038	340815	618970	357702866	419221
1481249621321170393	500693745	0	725182	344556	629998	356356348	424975
