#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481340940430516136	automotive_bitcount	2000	59	1.300000	1.103000	1.459000	634165073	977984190	920	1512	4	4242725	130220913
1481340940939214581	automotive_bitcount	2000	60	1.300000	1.702000	2.258000	1001582479	1577397597	109	218	0	6635218	202043052
1481340941447870401	automotive_bitcount	2000	60	1.300000	1.696000	2.250000	1001174002	1578593158	109	218	0	6676714	188991770
1481340941956500971	automotive_bitcount	2000	61	1.300000	1.651000	2.190000	1001182961	1576477905	109	218	0	6665748	203168120
1481340942465173499	automotive_bitcount	2000	61	1.300000	1.658000	2.200000	1001168629	1561778009	109	218	0	7011336	194031744
1481340942973862319	automotive_bitcount	2000	61	1.300000	1.687000	2.238000	1001131324	1611103983	109	218	0	5836545	191821298
1481340943483003223	automotive_bitcount	2000	62	1.300000	1.665000	2.209000	1001271071	1575723398	109	218	0	6679534	203152868
1481340943991631126	automotive_bitcount	2000	62	1.300000	1.654000	2.194000	1001160247	1570161403	109	218	0	6781879	200117996
1481340944500255155	automotive_bitcount	2000	62	1.300000	1.653000	2.193000	1001153190	1593039217	109	218	0	6329718	188060679
1481340945008976850	automotive_bitcount	2000	62	1.300000	1.660000	2.202000	1001164080	1586495740	109	218	0	6375857	200815047
1481340945517637461	automotive_bitcount	2000	62	1.300000	1.664000	2.208000	1001159182	1579132648	109	218	0	6560401	203161671
1481340946026283781	automotive_bitcount	2000	62	1.300000	1.659000	2.201000	1001163930	1562935909	109	218	0	7064263	192228719
1481340946534931518	automotive_bitcount	2000	62	1.300000	1.664000	2.208000	1001151136	1612330467	109	218	0	5666771	193589265
1481340947043647463	automotive_bitcount	2000	62	1.300000	1.689000	2.241000	1001161726	1578482388	109	218	0	6578438	203168649
1481340947552333949	automotive_bitcount	2000	62	1.300000	1.698000	2.253000	1001293456	1566785652	110	220	0	6775114	199502597
1481340948060956978	automotive_bitcount	2000	62	1.300000	1.708000	2.266000	1001166208	1604897458	108	216	0	6095025	186963381
1481340948569648798	automotive_bitcount	2000	62	1.300000	1.724000	2.287000	1001159812	1577845155	109	218	0	6627516	202542982
1481340949078349701	automotive_bitcount	2000	62	1.300000	1.712000	2.271000	1001293396	1577714460	109	218	0	6633610	203181294
