#Timestamp	Benchmark	Run(#)	GPU Frequency (MHz)	GPU Temperature(C)	GPU Voltage(V)	GPU Power(W)	inst_executed_cs	sm_inst_executed_texture	sm_inst_executed_global_loads	m_inst_executed_global_stores	threads_launched	gpu_busy	sm_executed_ipc	sm_issued_ipc	l2_write_bytes	l2_read_bytes	sm_active_cycles	sm_active_warps	sm_warps_launched
512 binomialOPtions 1 76 24 0.820000 0.600400  nan nan nan nan nan nan nan nan nan nan nan nan nan
1024 binomialOPtions 1 76 24 0.820000 0.308000  52.839256 nan nan nan nan nan nan nan nan nan nan nan nan
1472 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
1984 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
2496 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
3008 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
3520 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
4032 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
4544 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
5056 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
5568 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
6080 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
6592 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
7104 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
7616 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
8128 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
8640 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
9152 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
9664 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
10176 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
10688 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
11200 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
11712 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
12224 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
12672 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
13184 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
13696 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
14208 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
14720 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
15232 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
15744 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
16256 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
16768 binomialOPtions 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
17280 binomialOPtions 1 76 24 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
17792 BlackScholes 1 76 25 0.820000 0.308000  0.000097 nan nan nan nan nan nan nan nan nan nan nan nan
18304 BlackScholes 1 76 25 0.820000 0.308000  0.000000 nan nan nan nan nan nan nan nan nan nan nan nan
18816 BlackScholes 1 76 24 0.820000 0.708800  576.242434 nan nan nan nan nan nan nan nan nan nan nan nan
19328 BlackScholes 1 76 24 0.820000 0.847200  787.305595 nan nan nan nan nan nan nan nan nan nan nan nan
19840 BlackScholes 1 76 25 0.820000 0.847000  787.070615 nan nan nan nan nan nan nan nan nan nan nan nan
20352 BlackScholes 1 76 25 0.820000 0.831600  792.118549 nan nan nan nan nan nan nan nan nan nan nan nan
20864 BlackScholes 1 76 25 0.820000 0.846800  771.179487 nan nan nan nan nan nan nan nan nan nan nan nan
21376 BlackScholes 1 76 24 0.820000 0.847800  786.950548 nan nan nan nan nan nan nan nan nan nan nan nan
21952 BlackScholes 1 76 24 0.820000 0.848000  787.364425 nan nan nan nan nan nan nan nan nan nan nan nan
22464 BlackScholes 1 76 24 0.820000 0.831800  783.897378 nan nan nan nan nan nan nan nan nan nan nan nan
22976 BlackScholes 1 76 24 0.820000 0.847200  782.179099 nan nan nan nan nan nan nan nan nan nan nan nan
23488 BlackScholes 1 76 24 0.820000 0.832400  786.944333 nan nan nan nan nan nan nan nan nan nan nan nan
