#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495873805950449730	parsec.dedup	1800	33	1.100000	0.749000	0.896000	582477686	52346	3430163	53004983	131906305	152762761	9692547
1495873806460310490	parsec.dedup	1800	34	1.100000	1.145000	1.371000	901590363	83822	5358756	79046432	199252948	236108938	15221010
1495873806970182665	parsec.dedup	1800	34	1.100000	1.149000	1.376000	901162535	82469	5309360	83515053	205172900	238852030	14989413
1495873807480054841	parsec.dedup	1800	35	1.100000	1.148000	1.375000	901139331	63402	2176547	57664947	214560554	178738436	17473652
1495873807989696434	parsec.dedup	1800	35	1.100000	1.146000	1.372000	901154295	63941	2322616	58909422	238492054	200039718	16605995
1495873808499483193	parsec.dedup	1800	36	1.100000	1.139000	1.364000	901366774	32584	2945148	75908367	403869272	274569621	12176835
1495873809009516327	parsec.dedup	1800	36	1.100000	1.219000	1.460000	901080466	19993	3270467	83332191	443210659	296936337	10003676
1495873809518776337	parsec.dedup	1800	37	1.200000	1.363000	1.635000	901110105	16327	3793341	89429791	437035040	304135015	8700397
1495873810027997181	parsec.dedup	1800	37	1.200000	1.437000	1.724000	901089339	16886	3573065	90360195	431184809	293345107	8869217
1495873810537139774	parsec.dedup	1800	38	1.200000	1.445000	1.734000	901090861	17575	2296914	93312637	421544168	271128765	8922766
1495873811046546326	parsec.dedup	1800	38	1.200000	1.388000	1.665000	901090140	19533	2484219	84601932	437483634	289146342	9421860
1495873811555695961	parsec.dedup	1800	38	1.200000	1.396000	1.675000	901088295	18709	2461077	85808203	438143931	288777208	9422871
1495873812064927846	parsec.dedup	1800	38	1.200000	1.396000	1.675000	901121210	21311	2839550	69816871	472870130	304285631	10302782
1495873812574349022	parsec.dedup	1800	38	1.200000	1.401000	1.681000	901190445	37059	4659499	82662919	391089858	289277796	14645936
1495873813083791157	parsec.dedup	1800	38	1.200000	1.349000	1.618000	901113390	43327	5333918	92376985	345789934	278768736	16124550
1495873813593154625	parsec.dedup	1800	38	1.200000	1.286000	1.543000	901116455	43391	5382035	92836542	345921364	280030136	16072806
1495873814102603843	parsec.dedup	1800	38	1.200000	1.286000	1.543000	901120319	42004	5372121	93135427	351114604	280975371	16305212
1495873814612221436	parsec.dedup	1800	38	1.200000	1.295000	1.554000	901254541	44575	5430363	91929031	336437275	277592882	15806565
1495873815121672738	parsec.dedup	1800	38	1.200000	1.283000	1.539000	901119730	43361	5263377	91112804	342689290	276672461	16321751
1495873815631129664	parsec.dedup	1800	38	1.200000	1.283000	1.539000	901099000	44879	5161148	89255757	332931007	271821752	16289911
1495873816140524799	parsec.dedup	1800	38	1.200000	1.276000	1.531000	901248145	44987	5123034	89437683	333981459	272074908	16272954
