#Timestamp	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496374351151762322	497127234	5308740	1561064	113331511	1804927	225348306	25257
1496374351652785843	773192472	8523786	2521175	170290038	2865658	332457205	40915
1496374352153672823	771840557	8387762	2493804	173515285	2838725	344325126	40351
1496374352654435178	797110573	8336738	2530653	180545797	2943344	358739915	40568
1496374353155176950	719301269	3448285	2641976	188291406	3342611	271306620	29156
1496374353655938638	933963112	4066967	2736748	218893999	3895243	340996600	31585
1496374354156711160	998385069	3692877	1997494	352050273	2846292	797732042	30378
1496374354657381640	1333548384	3914304	1851056	575280739	2470444	1469092929	23099
1496374355158077037	1334878997	3161119	1207379	677062851	1786414	1869323958	15487
1496374355658924475	1290361776	4310636	1603012	617297571	2428249	1694744310	17436
1496374356159737080	1313260155	3701630	1367667	653730865	2236353	1855217991	15186
1496374356660517643	1341144113	4884671	1843234	624476520	3304790	1653129766	21699
1496374357161291165	1331097214	5444569	2071869	603085196	3998602	1500851674	25146
1496374357662069478	1394208424	6543243	2735125	560101125	6056916	1076789259	40077
1496374358162865875	1394726905	6492076	2716240	563235417	6018138	1082616704	39845
1496374358663730563	1394220254	6532771	2627590	550454047	3809224	1159274058	25553
1496374359164499126	1402174699	6611433	2530936	578522420	2592970	1259656608	14725
1496374359665250189	1402108120	2316556	809846	658645802	1412159	1493411183	4673
1496374360165953378	1401960134	2291787	789956	651846657	1221227	1500389126	4528
1496374360666588733	1401788790	2259724	780705	652182605	1163599	1508273369	4491
1496374361167214630	1401751928	2096479	725122	643385960	1009315	1521508130	4400
1496374361667856485	1401788354	1989422	752278	576563824	938322	1494003451	6310
1496374362168638048	1402200656	2779485	1162788	558349402	1318597	1432797919	10726
1496374362669281028	1401793902	2414493	959090	564439557	1095171	1481463751	8557
1496374363169938717	1401854312	2646141	1070080	558715186	1203697	1456100663	9646
1496374363670575655	1401788209	2077648	801205	565931957	927489	1482151649	6892
1496374364171213677	1401773003	2164049	844659	569299832	969377	1487532151	7247
1496374364671841866	1401758204	2399277	951774	556985544	1062577	1470102457	8154
1496374365172480429	1401777548	2307221	918099	559573411	1197855	1462490321	8077
1496374365673131409	1401823396	3378166	1524257	540809784	1701284	1401765572	11306
1496374366173866348	1402076220	3526492	1581510	542923665	1743485	1399301919	11677
1496374366674518370	1401798613	4522792	2156976	516603620	2309277	1284702014	16261
1496374367175289183	1402171388	4253843	1987659	529598954	2153051	1348444019	14967
1496374367676019038	1402066811	4204911	1948067	526300431	2084515	1339302372	14620
1496374368176751143	1307788165	4723334	2350888	455379981	2662625	1120111024	17178
1496374368677506956	712976194	8774646	4438877	139902577	4346116	254454514	34065
1496374369178382394	713175660	8815844	4404856	140039946	4336290	255573359	33410
1496374369679130541	876305360	8609685	4565368	172577554	4731777	299171733	32585
1496374370179923813	502951246	2655120	948323	102096015	1729293	220314668	11149
1496374370680725334	774199145	8592317	2535911	167403806	2874301	323144118	41100
1496374371181461648	773048477	8455087	2501633	171879984	2857635	338084422	40530
1496374371682253461	771400612	8325215	2472744	175768294	2834364	352381361	40025
1496374372182964608	763257117	4222021	1420512	254361899	1691480	577425825	21059
