#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481370521343575930	automotive_bitcount	2000	46	1.300000	0.854000	1.129000	633966559	977114975	924	1520	4	4204391	130099226
1481370521852357375	automotive_bitcount	2000	47	1.300000	1.589000	2.108000	1001704284	1575791903	114	228	0	6684453	201904593
1481370522361008986	automotive_bitcount	2000	48	1.300000	1.587000	2.105000	1001172069	1579187734	114	228	0	6654052	188804413
1481370522869687265	automotive_bitcount	2000	49	1.300000	1.588000	2.107000	1001176604	1576402183	113	226	0	6658325	203149519
1481370523378416626	automotive_bitcount	2000	50	1.300000	1.598000	2.120000	1001188470	1562134139	110	220	0	7029718	193226341
1481370523887027530	automotive_bitcount	2000	50	1.300000	1.655000	2.196000	1001133660	1610695108	112	224	0	5805621	192589674
1481370524395792766	automotive_bitcount	2000	51	1.300000	1.650000	2.189000	1001150879	1575704991	113	226	0	6669981	203132527
1481370524904402086	automotive_bitcount	2000	51	1.300000	1.640000	2.176000	1001155331	1568170465	113	226	0	6804901	199796478
1481370525413053448	automotive_bitcount	2000	52	1.300000	1.624000	2.155000	1001147654	1597104476	114	228	0	6240965	187660835
1481370525921634476	automotive_bitcount	2000	52	1.300000	1.638000	2.173000	1001335534	1582711077	113	226	0	6475978	201479656
1481370526430292588	automotive_bitcount	2000	52	1.300000	1.660000	2.202000	1001144741	1579218535	113	226	0	6555963	203160464
1481370526938977074	automotive_bitcount	2000	52	1.300000	1.659000	2.201000	1001144366	1564230154	113	226	0	7030884	191636735
1481370527447648519	automotive_bitcount	2000	53	1.300000	1.654000	2.194000	1001151855	1610340461	113	226	0	5713576	194157213
1481370527956257422	automotive_bitcount	2000	53	1.300000	1.665000	2.209000	1001155974	1577256422	113	226	0	6615476	203142369
1481370528464879242	automotive_bitcount	2000	53	1.300000	1.659000	2.203000	1001146816	1562709619	110	220	0	6833481	199177645
1481370528973572770	automotive_bitcount	2000	53	1.300000	1.650000	2.191000	1001158060	1611589958	113	226	0	5951650	186649770
1481370529482210674	automotive_bitcount	2000	53	1.300000	1.633000	2.166000	1001142658	1577331291	113	226	0	6612217	203151208
1481370529990880160	automotive_bitcount	2000	53	1.300000	1.622000	2.152000	1001513371	1577549137	114	228	0	6632012	202900574
1481370530499494897	automotive_bitcount	2000	54	1.300000	1.611000	2.137000	1001172491	1570672701	113	226	0	6872703	189620317
1481370531008262175	automotive_bitcount	2000	54	1.300000	1.665000	2.209000	1001151897	1600358619	113	226	0	6009514	196448438
1481370531516888162	automotive_bitcount	2000	54	1.300000	1.665000	2.209000	1001149883	1577375186	113	226	0	6608639	203135116
1481370532025636899	automotive_bitcount	2000	54	1.300000	1.672000	2.218000	1001163750	1561014844	113	226	0	6968768	195996374
1481370532534249927	automotive_bitcount	2000	54	1.300000	1.665000	2.209000	1001168610	1612224527	113	226	0	5830093	189784463
1481370533043029914	automotive_bitcount	2000	54	1.300000	1.653000	2.193000	1001344235	1576531397	113	226	0	6657771	203174565
1481370533551713359	automotive_bitcount	2000	54	1.300000	1.636000	2.170000	1001304944	1575703976	110	220	0	6647033	201420044
1481370534060419887	automotive_bitcount	2000	54	1.300000	1.624000	2.155000	1001541984	1584352852	114	228	0	6516270	188877469
1481370534569087332	automotive_bitcount	2000	54	1.300000	1.614000	2.141000	1001310314	1594264985	113	226	0	6164576	198750047
1481370535077891694	automotive_bitcount	2000	54	1.300000	1.611000	2.137000	1001298078	1577177153	113	226	0	6631151	203151635
1481370535586571805	automotive_bitcount	2000	54	1.300000	1.671000	2.219000	929623912	1473785557	160	301	1	5806160	172164545
1481370536095660626	automotive_qsort1	2000	53	1.300000	1.676000	2.224000	749956713	861467374	2688	3522	4	4468574	186479499
1481370536604641780	automotive_qsort1	2000	54	1.300000	1.740000	2.310000	1001327439	1160264222	2115	2229	0	7257107	252997863
1481370537113668101	automotive_qsort1	2000	54	1.300000	1.752000	2.326000	1001322250	1165851397	2169	2281	0	6842026	252771101
1481370537622744505	automotive_qsort1	2000	54	1.300000	1.750000	2.324000	1001400475	1161542673	2120	2235	0	7264357	253285230
1481370538131766450	automotive_qsort1	2000	55	1.300000	1.758000	2.332000	1001322489	1160702550	2115	2229	0	7261978	253056713
1481370538640826354	automotive_qsort1	2000	55	1.300000	1.757000	2.333000	1001342856	1165709379	2169	2280	0	6867949	252784178
1481370539149861842	automotive_qsort1	2000	55	1.300000	1.760000	2.337000	1001321095	1161776100	2118	2231	0	7262685	253311132
1481370539658844704	automotive_qsort1	2000	55	1.300000	1.763000	2.341000	1001322810	1165316302	2169	2283	0	6859929	252750970
1481370540167916608	automotive_qsort1	2000	55	1.300000	1.764000	2.340000	1001440290	1162207946	2119	2232	0	7250498	253319913
1481370540677036804	automotive_qsort1	2000	55	1.300000	1.763000	2.341000	1001176540	1161335657	2116	2228	0	7252169	253216365
1481370541186233541	automotive_qsort1	2000	55	1.300000	1.764000	2.342000	1001180175	1166201395	2169	2280	0	6819863	252847092
1481370541695260862	automotive_qsort1	2000	55	1.300000	1.763000	2.341000	1001272470	1161228522	2117	2230	0	7279305	253196449
1481370542204336266	automotive_qsort1	2000	55	1.300000	1.762000	2.339000	1001209440	1164401541	2148	2260	0	7001532	253023926
1481370542713378712	automotive_qsort1	2000	55	1.300000	1.762000	2.338000	1001174985	1164768374	2141	2253	0	7075169	253355429
1481370543222436074	automotive_qsort1	2000	55	1.300000	1.763000	2.339000	1001184705	1161628135	2113	2222	0	7267437	253281380
1481370543731470853	automotive_qsort1	2000	55	1.300000	1.762000	2.338000	1001171645	1166013715	2170	2282	0	6836592	252794134
1481370544240509090	automotive_qsort1	2000	55	1.300000	1.762000	2.338000	1001175540	1161660588	2115	2226	0	7259616	253296263
1481370544749533119	automotive_qsort1	2000	55	1.300000	1.763000	2.339000	1001174470	1162664719	2125	2237	0	7182958	253268148
1481370545258589773	automotive_qsort1	2000	55	1.300000	1.747000	2.320000	1001165835	1165389581	2161	2272	0	6919340	252909791
1481370545767685803	automotive_qsort1	2000	55	1.300000	1.762000	2.339000	1001175255	1162077504	2118	2231	0	7239864	253400200
1481370546276847915	automotive_qsort1	2000	55	1.300000	1.762000	2.339000	1001180220	1169207192	2175	2287	0	6906327	253574084
1481370546785995819	automotive_qsort1	2000	55	1.300000	1.764000	2.342000	1001166305	1166381933	2127	2239	0	7270412	254174485
1481370547295005598	automotive_qsort1	2000	55	1.300000	1.760000	2.335000	1001199370	1165394391	2123	2234	0	7289482	254060274
1481370547804076544	automotive_qsort1	2000	55	1.300000	1.758000	2.332000	1001173615	1170196202	2178	2290	0	6865210	253680601
1481370548313182740	automotive_qsort1	2000	55	1.300000	1.755000	2.328000	1001168690	1166423552	2123	2232	0	7305867	254293469
1481370548822282727	automotive_qsort1	2000	55	1.300000	1.756000	2.331000	1001172029	1165827487	2125	2237	0	7314122	254153165
1481370549331290048	automotive_qsort1	2000	54	1.300000	1.750000	2.322000	1001176501	1170279207	2177	2288	0	6883186	253671721
1481370549840339410	automotive_qsort1	2000	54	1.300000	1.751000	2.323000	1001158920	1166087770	2126	2238	0	7297694	254206493
1481370550349351939	automotive_qsort1	2000	54	1.300000	1.753000	2.327000	1001423925	1167236824	2139	2252	0	7187679	254100051
1481370550858456593	automotive_qsort1	2000	54	1.300000	1.761000	2.338000	928609116	1077477428	2025	2165	1	6715647	234661376
1481370551367923540	automotive_susan_c	2000	54	1.300000	1.402000	1.859000	748567273	865701590	10965	21242	4	2249480	52550421
1481370551877896571	automotive_susan_c	2000	54	1.300000	1.811000	2.405000	1001254470	1183587065	13857	27238	0	2930360	70147455
