#Timestamp	Benchmark	Run(#)	GPU Frequency (MHz)	GPU Temperature(C)	GPU Voltage(V)	GPU Power(W)	inst_executed_cs	sm_inst_executed_texture	sm_inst_executed_global_loads	m_inst_executed_global_stores	threads_launched	gpu_busy	sm_executed_ipc	sm_issued_ipc	l2_write_bytes	l2_read_bytes	sm_active_cycles	sm_active_warps	sm_warps_launched
509	stream_cluster	1	76	23	0.820000	0.3301025641025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1019	stream_cluster	1	76	22	0.820000	0.32102564102564096	0.0	0.0	0.0	0.0	2.160433	0.363593	0.0	0.0	0.0	0.0	0.0	20.839569	0.023622333333333332
1528	stream_cluster	1	76	23	0.820000	0.320625641025641	0.0	0.0	0.0	0.0	1.839915666666667	1.2654466666666666	0.0	0.0	3.818271333333333	6.502959999999999	0.23663066666666666	29.430362	0.04326
2038	stream_cluster	1	76	23	0.820000	0.32379487179487176	0.0	0.0	0.0	0.0	0.7894216666666667	1.6139486666666667	3e-06	7.000000000000001e-06	4.849646	8.163989333333333	0.23604766666666666	15.865290666666667	0.025495
2548	stream_cluster	1	76	23	0.820000	0.3316820512820513	0.0	0.04393766666666666	0.0	0.0	1.0683216666666666	0.509833	4.666666666666666e-06	4.666666666666666e-06	11.389076666666668	15.204141333333334	0.3397056666666667	21.266444	0.034085333333333336
3056	stream_cluster	1	76	23	0.820000	0.47905641025641027	214.452891	3.4780423333333332	20.522886333333332	0.24804	3.805828333333333	25.387603	0.0	0.0	133.52235399999998	917.9562823333334	59.675936	2673.7613236666666	0.14268633333333333
3564	stream_cluster	1	76	23	0.820000	0.5964205128205128	361.80652733333335	12.373448000000002	37.229005666666666	0.3864626666666666	7.516393	55.90487266666667	1.2e-05	1.7666666666666665e-05	202.176168	2538.4185813333333	107.91483933333332	9400.232870666667	0.24731500000000003
4072	stream_cluster	1	76	23	0.820000	0.6047641025641026	380.9412313333333	20.529132	36.745072666666665	0.368767	7.204498666666666	56.047513333333335	8e-06	8.666666666666668e-06	152.17180933333333	3227.052485	113.077366	5669.942812	0.234832
4580	stream_cluster	1	76	23	0.820000	0.6292358974358975	439.5465543333333	30.437231333333333	38.05264	0.39721633333333334	8.952345333333332	56.49336533333334	8e-06	7.000000000000001e-06	161.90976133333334	3298.8028913333333	119.432261	6597.695722666666	0.24359066666666665
5092	stream_cluster	1	76	23	0.820000	0.6830358974358974	462.96701533333334	38.004978333333334	46.49267233333333	0.4498933333333333	9.579329666666666	67.533503	7.000000000000001e-06	5e-06	187.40204099999997	3721.7909999999997	137.58836966666664	7937.088168000001	0.30063333333333336
5605	stream_cluster	1	76	23	0.820000	0.6885384615384614	439.848681	41.34710533333333	51.04797666666667	0.451628	10.363672000000001	66.85171799999999	8e-06	8e-06	202.70230966666668	4053.2693676666663	129.39118733333336	7821.755845333333	0.32178466666666666
6118	stream_cluster	1	76	23	0.820000	0.6994820512820512	435.62096966666667	44.76496666666666	51.05488066666667	0.462309	11.265136333333333	66.90086000000001	8e-06	7e-06	200.66645300000002	4198.108147666667	128.04507933333332	9281.783501	0.34212299999999995
6631	stream_cluster	1	76	22	0.820000	0.6822461538461538	425.05292533333335	46.33415	50.15698666666666	0.479606	10.75343	67.66792466666665	8e-06	8e-06	198.41339566666667	4393.568493333333	134.03572666666665	7817.739549999999	0.319714
7144	stream_cluster	1	76	23	0.820000	0.6814	444.70195066666673	46.84988933333333	45.29651333333333	0.46165166666666674	9.804682333333334	71.02109466666666	8e-06	8e-06	203.78037333333336	4468.237929666667	134.50066966666665	7794.757054333332	0.32469566666666666
7656	stream_cluster	1	76	23	0.820000	0.6731282051282053	450.78202533333337	46.048031	44.80522366666667	0.45322100000000004	9.602504666666666	70.89968266666666	8e-06	8e-06	204.53475633333332	4344.597773333334	138.40984	7638.8675846666665	0.2885993333333333
8168	stream_cluster	1	76	22	0.820000	0.6525897435897435	450.757722	45.77372499999999	45.22589033333333	0.47054899999999994	9.39454	67.57969733333334	8e-06	8e-06	201.6941376666667	4106.695754666666	128.57839866666666	8354.404732333333	0.2932856666666667
8679	stream_cluster	1	76	22	0.820000	0.6941025641025641	449.64977433333337	45.933256	45.465562999999996	0.4741066666666667	9.851634333333335	66.13800766666667	8e-06	8e-06	193.597673	4002.014724666667	129.04876533333334	9107.413705666666	0.30736766666666665
9192	stream_cluster	1	76	23	0.820000	0.6672102564102564	473.91895266666666	46.49439566666666	44.326017	0.4785296666666667	9.854725333333333	67.86082533333332	8e-06	8e-06	190.44408966666666	3982.6100673333335	127.59593933333333	9323.429963999999	0.32614
9704	stream_cluster	1	76	23	0.820000	0.6790564102564103	450.42625266666664	47.86310233333333	47.144543666666664	0.4495356666666667	9.925175000000001	71.801209	8e-06	8e-06	192.25936066666668	3962.350636333333	130.31998666666667	8232.489545333334	0.31280933333333333
10214	stream_cluster	1	76	23	0.820000	0.6786564102564103	447.32892999999996	49.17511066666666	47.61022833333333	0.4511156666666667	9.821695333333333	70.20267566666666	8e-06	8e-06	192.20947566666666	4017.3899053333334	137.46852433333333	8268.251617666667	0.3029713333333333
10722	stream_cluster	1	76	24	0.820000	0.6778205128205128	478.06124833333337	48.82022066666667	46.261249	0.4849746666666667	8.840089333333333	74.43353733333333	7.000000000000001e-06	8.666666666666668e-06	188.378208	4188.758554666666	137.43713599999998	8103.281914666666	0.2828713333333333
