1481276212675514972	automotive_susan_c	1	2000	56	1.3	1.602	2.124	704327574	0	2202502	1021301	1182848	472565687	1194686	760704949	3150	4720	5	4285363	156890762
1481276213185043465	automotive_susan_c	1	2000	56	1.3	1.793	2.380	1001199185	0	2797637	1305175	1610871	653016622	1543466	1172648846	13577	26686	0	2970291	70344298
1481276213694719716	automotive_susan_c	1	2000	56	1.3	1.796	2.385	1001203057	0	2767758	1321719	1597620	653744936	1554382	1173187509	13578	26688	0	2961901	70353435
1481276214204007952	automotive_susan_c	1	2000	56	1.3	1.795	2.382	1001177525	0	2763481	1307309	1600556	655813683	1534251	1174668102	13577	26686	0	2957791	70360249
1481276214713521278	automotive_susan_c	1	2000	56	1.3	1.795	2.382	1001209353	0	2785496	1338966	1601472	650295400	1565535	1175734584	13501	26534	0	2958778	70291208
1481276215223177253	automotive_susan_c	1	2000	56	1.3	1.793	2.381	1001330627	0	2740614	1311046	1582143	658960689	1537489	1175783704	13516	26564	0	2948354	70300327
1481276215732689362	automotive_susan_c	1	2000	56	1.3	1.791	2.378	1001301103	0	2753577	1329843	1581771	657318256	1541389	1176062901	13550	26632	0	2959737	70347936
1481276216242333848	automotive_susan_c	1	2000	56	1.3	1.797	2.386	1001241407	0	2767731	1345528	1618343	649596023	1551124	1175786454	13521	26575	0	2962018	70301934
1481276216751702426	automotive_susan_c	1	2000	56	1.3	1.789	2.375	1001282235	0	2758784	1336985	1581479	656225078	1546431	1175736686	13573	26682	0	2952515	70303478
1481276217261231506	automotive_susan_c	1	2000	56	1.3	1.805	2.396	1001243752	0	2756315	1325213	1580984	655856118	1541000	1175651230	13576	26686	0	2952342	70295347
1481276217770593512	automotive_susan_c	1	2000	56	1.3	1.790	2.376	1001316092	0	2739432	1318055	1601802	654182687	1534769	1175688756	13577	26686	0	2964092	70287419
1481276218280303789	automotive_susan_c	1	2000	56	1.3	1.799	2.388	1001396090	0	2794558	1327450	1602548	652187640	1562666	1175573336	13575	26686	0	2958389	70268289
