#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481240972178683110	633967611	0	221006	65706	53872	93063839	85118
1481240972679449414	1001595604	0	44174	18911	9453	127460010	18213
1481240973180030844	1001158395	0	44537	20040	9709	100444506	18102
1481240973680659440	1001258124	0	43841	18879	9369	135068118	18046
1481240974181242869	1001162313	0	45077	20197	10031	134665653	18239
1481240974681809757	1001144739	0	41890	19976	9524	94284496	18024
1481240975182378394	1001124569	0	45680	21053	9997	133967514	18286
1481240975682961282	1001159757	0	42881	20517	9559	134697689	17652
1481240976183545753	1001167870	0	43322	20763	9935	119168789	17702
1481240976684152890	1001190019	0	42835	20395	9796	108780257	17719
1481240977184838028	1001391300	0	43770	20375	9716	134846434	18227
1481240977685588166	1001500885	0	43247	20339	9799	134674263	18069
1481240978186236345	1001290089	0	44522	20882	10114	92797286	17907
1481240978686894025	1001315415	0	43957	20849	9664	135377088	18000
1481240979187543871	1001298375	0	43803	19619	9644	134712059	17974
1481240979688193175	1001297101	0	43296	20190	9623	109144669	17578
1481240980188841230	1001293502	0	44965	20446	9739	118937844	17944
1481240980689488826	1001290613	0	43208	19794	9264	134736252	17975
1481240981190179130	1001297712	0	43777	19161	8916	134666882	18890
1481240981690869018	1001461898	0	42796	18939	9059	93007620	18407
1481240982191470822	1001201229	0	45087	19722	9583	135287458	18768
1481240982692071460	1001196936	0	42561	18452	8971	134693208	18314
1481240983192672056	1001200481	0	44643	19088	9465	99954249	18330
1481240983693270902	1001197030	0	43101	18436	9337	128278546	18376
1481240984193870706	1001196395	0	44546	18969	9556	134709533	18434
1481240984694471094	1001196500	0	43277	19177	8989	129770111	18468
1481240985195073273	1001204416	0	43515	18965	9067	98068163	18438
1481240985695737577	1001326850	0	43062	18941	9661	135063150	18431
1481240986196335215	1001192190	0	45841	19798	9647	134671981	18849
1481240986696991019	922053834	0	66635	26628	14861	93159385	24712
1481240987197645741	756823251	0	382051	162497	791331	265889250	222234
1481240987698261795	1001231891	0	190387	106162	1106383	354993116	168749
1481240988198885683	1001243990	0	191670	102890	1039355	358170004	170665
1481240988699499237	1001226565	0	192968	101395	1087666	355748955	169335
