#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481240972162428037	automotive_bitcount	2000	46	1.300000	0.961000	1.271000	633967611	0	221006	65706	53872	93063839	85118
1481240972671077148	automotive_bitcount	2000	48	1.300000	1.620000	2.149000	1001595604	0	44174	18911	9453	127460010	18213
1481240973179719426	automotive_bitcount	2000	49	1.300000	1.591000	2.109000	1001158395	0	44537	20040	9709	100444506	18102
1481240973688378205	automotive_bitcount	2000	50	1.300000	1.623000	2.152000	1001162313	0	45077	20197	10031	134665653	18239
1481240974196919066	automotive_bitcount	2000	50	1.300000	1.650000	2.189000	1001144739	0	41890	19976	9524	94284496	18024
1481240974705711178	automotive_bitcount	2000	51	1.300000	1.646000	2.184000	1001124569	0	45680	21053	9997	133967514	18286
1481240975214321414	automotive_bitcount	2000	51	1.300000	1.653000	2.193000	1001159757	0	42881	20517	9559	134697689	17652
1481240975722955734	automotive_bitcount	2000	52	1.300000	1.662000	2.205000	1001167870	0	43322	20763	9935	119168789	17702
1481240976231551304	automotive_bitcount	2000	52	1.300000	1.653000	2.193000	1001190019	0	42835	20395	9796	108780257	17719
1481240976740508916	automotive_bitcount	2000	52	1.300000	1.645000	2.182000	1001391300	0	43770	20375	9716	134846434	18227
1481240977249199320	automotive_bitcount	2000	52	1.300000	1.636000	2.170000	1001500885	0	43247	20339	9799	134674263	18069
1481240977757875723	automotive_bitcount	2000	53	1.300000	1.617000	2.145000	1001290089	0	44522	20882	10114	92797286	17907
1481240978266568543	automotive_bitcount	2000	53	1.300000	1.654000	2.194000	1001315415	0	43957	20849	9664	135377088	18000
1481240978775230488	automotive_bitcount	2000	53	1.300000	1.655000	2.196000	1001298375	0	43803	19619	9644	134712059	17974
1481240979283878766	automotive_bitcount	2000	53	1.300000	1.669000	2.214000	1001297101	0	43296	20190	9623	109144669	17578
1481240979792606711	automotive_bitcount	2000	54	1.300000	1.670000	2.216000	1001293502	0	44965	20446	9739	118937844	17944
1481240980301355031	automotive_bitcount	2000	54	1.300000	1.615000	2.143000	1001290613	0	43208	19794	9264	134736252	17975
1481240980809947851	automotive_bitcount	2000	54	1.300000	1.612000	2.139000	1001297712	0	43777	19161	8916	134666882	18890
1481240981318607879	automotive_bitcount	2000	54	1.300000	1.619000	2.146000	1001461898	0	42796	18939	9059	93007620	18407
1481240981827371033	automotive_bitcount	2000	54	1.300000	1.646000	2.184000	1001201229	0	45087	19722	9583	135287458	18768
1481240982336009269	automotive_bitcount	2000	54	1.300000	1.662000	2.205000	1001196936	0	42561	18452	8971	134693208	18314
1481240982844653464	automotive_bitcount	2000	54	1.300000	1.662000	2.205000	1001200481	0	44643	19088	9465	99954249	18330
1481240983353295159	automotive_bitcount	2000	54	1.300000	1.674000	2.221000	1001197030	0	43101	18436	9337	128278546	18376
1481240983862017396	automotive_bitcount	2000	54	1.300000	1.676000	2.224000	1001196395	0	44546	18969	9556	134709533	18434
1481240984370730508	automotive_bitcount	2000	55	1.300000	1.664000	2.208000	1001196500	0	43277	19177	8989	129770111	18468
1481240984879382619	automotive_bitcount	2000	54	1.300000	1.659000	2.201000	1001204416	0	43515	18965	9067	98068163	18438
1481240985388133731	automotive_bitcount	2000	54	1.300000	1.645000	2.182000	1001326850	0	43062	18941	9661	135063150	18431
1481240985896787926	automotive_bitcount	2000	55	1.300000	1.626000	2.157000	1001192190	0	45841	19798	9647	134671981	18849
1481240986405486287	automotive_bitcount	2000	55	1.300000	1.617000	2.145000	922053834	0	66635	26628	14861	93159385	24712
1481240986914730359	automotive_qsort1	2000	54	1.300000	1.662000	2.205000	756823251	0	382051	162497	791331	265889250	222234
1481240987423743846	automotive_qsort1	2000	54	1.300000	1.756000	2.330000	1001231891	0	190387	106162	1106383	354993116	168749
1481240987932760416	automotive_qsort1	2000	55	1.300000	1.754000	2.327000	1001243990	0	191670	102890	1039355	358170004	170665
1481240988441736404	automotive_qsort1	2000	55	1.300000	1.765000	2.342000	1001226565	0	192968	101395	1087666	355748955	169335
1481240988950840558	automotive_qsort1	2000	55	1.300000	1.767000	2.344000	1001235010	0	191243	106498	1107973	354809639	167946
1481240989459826087	automotive_qsort1	2000	55	1.300000	1.768000	2.346000	1001332770	0	193470	105950	1019105	358975010	170942
1481240989968911574	automotive_qsort1	2000	55	1.300000	1.769000	2.347000	1001225755	0	195458	102509	1108299	355068135	168775
1481240990477947270	automotive_qsort1	2000	55	1.300000	1.761000	2.336000	1001235301	0	192334	100235	1108187	355209695	168679
1481240990986884298	automotive_qsort1	2000	55	1.300000	1.759000	2.334000	1001233749	0	198153	102213	1019296	358884763	171150
1481240991496011869	automotive_qsort1	2000	55	1.300000	1.758000	2.332000	1001361030	0	179850	99325	1107792	355377586	168708
1481240992005015607	automotive_qsort1	2000	55	1.300000	1.767000	2.344000	1001197015	0	194100	102716	1107107	354950222	167626
1481240992514049302	automotive_qsort1	2000	55	1.300000	1.769000	2.347000	1001181290	0	194480	102798	1019160	358701818	170720
1481240993023065415	automotive_qsort1	2000	55	1.300000	1.770000	2.348000	1001185000	0	195631	101753	1108523	354997167	168658
1481240993532036735	automotive_qsort1	2000	55	1.300000	1.770000	2.348000	1001307195	0	188192	103154	1093127	356312979	168848
1481240994041314473	automotive_qsort1	2000	55	1.300000	1.762000	2.338000	1001176320	0	197216	106307	1033572	358197369	170265
1481240994550351252	automotive_qsort1	2000	55	1.300000	1.767000	2.344000	1001187260	0	194406	98571	1108099	355099236	168204
1481240995059390864	automotive_qsort1	2000	55	1.300000	1.769000	2.347000	1001183165	0	197376	100173	1054992	357097134	169987
1481240995568407018	automotive_qsort1	2000	55	1.300000	1.770000	2.348000	1001182155	0	193747	101529	1071636	356646778	169405
1481240996077447755	automotive_qsort1	2000	55	1.300000	1.765000	2.342000	1001186520	0	178152	100857	1108076	355234787	168967
1481240996586465409	automotive_qsort1	2000	55	1.300000	1.762000	2.338000	1001183255	0	196511	103295	1033714	358529387	170978
1481240997095482105	automotive_qsort1	2000	55	1.300000	1.759000	2.334000	1001192710	0	196184	102095	1093349	355964968	167951
1481240997604566217	automotive_qsort1	2000	55	1.300000	1.769000	2.349000	1001432290	0	200548	104621	1108528	355035522	168485
1481240998113574288	automotive_qsort1	2000	55	1.300000	1.766000	2.343000	1001186025	0	187021	102622	1018873	358546278	170809
1481240998622653775	automotive_qsort1	2000	55	1.300000	1.764000	2.340000	1001182860	0	193224	99351	1107929	355111287	168513
1481240999131788763	automotive_qsort1	2000	55	1.300000	1.761000	2.336000	1001190175	0	194881	100885	1107887	355223444	168624
1481240999640846667	automotive_qsort1	2000	55	1.300000	1.761000	2.336000	1001187320	0	194229	102491	1020090	359072067	170718
1481241000150020238	automotive_qsort1	2000	55	1.300000	1.757000	2.331000	1001177630	0	196093	101779	1108441	355301764	167861
1481241000659002100	automotive_qsort1	2000	55	1.300000	1.760000	2.335000	1001173700	0	181786	101256	1104901	355777357	167967
1481241001168064879	automotive_qsort1	2000	55	1.300000	1.763000	2.339000	1001166540	0	195888	104287	1022436	358765849	170764
1481241001677628618	automotive_susan_c	2000	55	1.300000	1.761000	2.336000	840829158	0	183287	97417	962717	295595157	151761
1481241002187035314	automotive_susan_c	2000	54	1.300000	1.156000	1.531000	833306790	0	2425962	1160243	1334584	530207920	1431143
1481241002696470719	automotive_susan_c	2000	55	1.300000	1.787000	2.373000	1001251966	0	2712515	1332999	1575888	655096732	1644273
1481241003206110249	automotive_susan_c	2000	55	1.300000	1.772000	2.353000	1001199390	0	2755909	1306421	1579595	656524160	1649474
1481241003715457945	automotive_susan_c	2000	55	1.300000	1.801000	2.389000	1001185490	0	2757461	1348924	1603029	649188437	1654659
1481241004225163892	automotive_susan_c	2000	55	1.300000	1.768000	2.347000	1001192129	0	2739756	1330299	1579575	655687153	1645342
1481241004734441547	automotive_susan_c	2000	55	1.300000	1.810000	2.401000	1001173986	0	2688027	1334633	1580739	655908143	1645300
1481241005244103993	automotive_susan_c	2000	55	1.300000	1.769000	2.349000	1001501759	0	2791681	1347143	1611766	648263190	1661303
1481241005753420315	automotive_susan_c	2000	55	1.300000	1.795000	2.381000	1001249501	0	2732413	1326377	1578926	654551724	1658756
1481241006262768719	automotive_susan_c	2000	55	1.300000	1.780000	2.363000	1001212069	0	2746368	1318139	1578799	655180838	1652009
1481241006772669458	automotive_susan_c	2000	55	1.300000	1.788000	2.374000	1001217240	0	2730321	1331391	1597499	653382251	1644288
1481241007282079780	automotive_susan_c	2000	55	1.300000	1.787000	2.371000	1001227170	0	2794782	1357078	1598922	648629117	1672888
1481241007791533893	automotive_susan_c	2000	55	1.300000	1.770000	2.350000	1001247670	0	2713943	1325615	1578484	655919711	1652313
1481241008300837214	automotive_susan_c	2000	55	1.300000	1.801000	2.389000	1001212375	0	2728075	1336681	1578872	654613380	1656548
1481241008810526952	automotive_susan_c	2000	55	1.300000	1.801000	2.389000	1001223295	0	2715295	1321080	1598670	652053261	1650087
1481241009319738065	automotive_susan_c	2000	55	1.300000	1.771000	2.350000	1001360025	0	2784512	1344938	1597057	648722183	1680336
1481241009829068678	automotive_susan_c	2000	55	1.300000	1.807000	2.397000	1001210676	0	2740388	1336630	1577969	655892336	1647638
1481241010338637208	automotive_susan_c	2000	55	1.300000	1.768000	2.346000	1001212965	0	2726794	1335798	1580242	653782616	1653551
1481241010848121571	automotive_susan_c	2000	55	1.300000	1.795000	2.381000	1001401074	0	2718814	1341185	1597759	652323101	1651183
1481241011357601559	automotive_susan_c	2000	55	1.300000	1.777000	2.358000	1001284210	0	2761189	1358188	1596900	648676188	1677739
1481241011866921339	automotive_susan_c	2000	55	1.300000	1.781000	2.363000	1001293470	0	2722850	1325200	1579954	656272604	1651324
1481241012376556577	automotive_susan_c	2000	55	1.300000	1.792000	2.379000	1001444171	0	2723958	1335359	1581929	654704998	1655037
1481241012885928524	automotive_susan_c	2000	54	1.300000	1.770000	2.350000	1001416915	0	2745857	1341795	1602465	651419313	1659679
1481241013395301803	automotive_susan_c	2000	54	1.300000	1.807000	2.397000	1001560394	0	2778937	1342977	1595423	650916160	1676813
1481241013904605166	automotive_susan_c	2000	54	1.300000	1.765000	2.342000	1001419846	0	2723655	1323075	1581682	656125588	1651618
1481241014414150780	automotive_susan_c	2000	54	1.300000	1.807000	2.397000	1001418615	0	2732490	1331727	1580072	655425765	1653112
1481241014923402851	automotive_susan_c	2000	54	1.300000	1.767000	2.344000	1001384004	0	2769985	1370066	1609073	648849604	1660887
1481241015432707088	automotive_susan_c	2000	55	1.300000	1.793000	2.379000	1001529691	0	2752711	1348225	1589621	652450827	1665612
1481241015942266452	automotive_susan_c	2000	54	1.300000	1.779000	2.362000	1001376499	0	2742723	1333967	1581001	654556573	1653058
1481241016451508690	automotive_susan_c	2000	54	1.300000	1.769000	2.349000	975668983	0	2694873	1319110	1559879	632897336	1615328
1481241016960709844	automotive_susan_e	2000	53	1.300000	1.802000	2.391000	699991643	0	1130464	501229	842628	461049680	632444
1481241017469771248	automotive_susan_e	2000	54	1.300000	1.089000	1.442000	1001380150	0	1297214	618049	1170378	682890462	778747
1481241017979087402	automotive_susan_e	2000	54	1.300000	1.772000	2.353000	1001388645	0	1324575	619807	1174480	682849042	778953
1481241018488140765	automotive_susan_e	2000	54	1.300000	1.762000	2.339000	1001386650	0	1308473	624379	1177707	682421412	775075
1481241018997881878	automotive_susan_e	2000	54	1.300000	1.779000	2.362000	1001388646	0	1373287	638076	1190200	676006230	785967
1481241019506908199	automotive_susan_e	2000	54	1.300000	1.827000	2.424000	1001450454	0	1361240	654247	1186425	676606744	816345
1481241020016327229	automotive_susan_e	2000	54	1.300000	1.844000	2.446000	1001444280	0	1332951	623393	1170355	682606979	776391
1481241020525442758	automotive_susan_e	2000	54	1.300000	1.870000	2.481000	1001386765	0	1313748	619509	1165826	683386052	778153
1481241021034480287	automotive_susan_e	2000	54	1.300000	1.854000	2.460000	1001345165	0	1313386	629177	1180629	684358636	774429
1481241021543575774	automotive_susan_e	2000	54	1.300000	1.850000	2.454000	1001218755	0	1310578	627916	1183584	678068502	779981
1481241022052766262	automotive_susan_e	2000	54	1.300000	1.814000	2.408000	1001232845	0	1375234	662975	1191370	674945689	823038
1481241022561911541	automotive_susan_e	2000	54	1.300000	1.798000	2.387000	1001250125	0	1292295	624002	1167398	683388200	774735
1481241023071068029	automotive_susan_e	2000	54	1.300000	1.773000	2.354000	1001184105	0	1319531	625735	1167241	683264052	775882
1481241023580768184	automotive_susan_e	2000	54	1.300000	1.855000	2.461000	1001197390	0	1332483	623436	1179785	682850974	779683
1481241024089881797	automotive_susan_e	2000	54	1.300000	1.869000	2.482000	1001197220	0	1312325	629965	1182758	680512428	779734
1481241024599407701	automotive_susan_e	2000	54	1.300000	1.842000	2.444000	1001196645	0	1416899	654067	1197045	674364104	811402
1481241025108601481	automotive_susan_e	2000	54	1.300000	1.815000	2.410000	1001247840	0	1320616	636430	1171941	680547900	796521
1481241025617862010	automotive_susan_e	2000	54	1.300000	1.782000	2.366000	1001188780	0	1304390	620579	1170173	682836109	778240
1481241026126999081	automotive_susan_e	2000	54	1.300000	1.770000	2.350000	1001198275	0	1293299	624578	1173462	683275161	780169
1481241026636191069	automotive_susan_e	2000	54	1.300000	1.768000	2.347000	1001197535	0	1309048	628881	1178740	681813720	776023
1481241027145269973	automotive_susan_e	2000	54	1.300000	1.849000	2.453000	1001195896	0	1356315	639277	1190317	675866002	794053
1481241027654288127	automotive_susan_e	2000	54	1.300000	1.834000	2.435000	1001229279	0	1347549	648291	1183133	677647497	814110
1481241028163690573	automotive_susan_e	2000	54	1.300000	1.793000	2.381000	1001191120	0	1300361	623172	1171151	683145071	776588
1481241028672733144	automotive_susan_e	2000	54	1.300000	1.776000	2.358000	1001314335	0	1301905	627475	1173159	683860689	778064
1481241029182436591	automotive_susan_e	2000	54	1.300000	1.764000	2.342000	956533020	0	1312216	606300	1144552	644510307	753132
1481241029691478703	automotive_susan_s	2000	54	1.300000	1.096000	1.452000	716470791	0	323816	110026	151626	365124622	137815
1481241030200514315	automotive_susan_s	2000	54	1.300000	1.914000	2.541000	1001164677	0	218588	92168	165104	518681164	97046
1481241030709708386	automotive_susan_s	2000	54	1.300000	1.911000	2.537000	1001287380	0	155956	68412	122566	522993566	71173
1481241031218777290	automotive_susan_s	2000	54	1.300000	1.908000	2.533000	1001142889	0	208166	90758	155913	520149790	96614
1481241031727834319	automotive_susan_s	2000	54	1.300000	1.912000	2.539000	1001144760	0	210984	91924	153660	520199800	96552
1481241032236891473	automotive_susan_s	2000	54	1.300000	1.922000	2.552000	1001149070	0	154851	68666	121576	522766548	71250
1481241032746054253	automotive_susan_s	2000	54	1.300000	1.912000	2.539000	1001206257	0	211555	91869	152497	520144702	96684
1481241033255033448	automotive_susan_s	2000	54	1.300000	1.908000	2.533000	1001138143	0	156169	68488	117692	522824396	70698
1481241033764072436	automotive_susan_s	2000	54	1.300000	1.911000	2.537000	1001164100	0	155058	68497	120585	522801029	71957
1481241034273156465	automotive_susan_s	2000	54	1.300000	1.923000	2.553000	1001168966	0	207347	93463	153788	520204108	96080
1481241034782289910	automotive_susan_s	2000	54	1.300000	1.910000	2.536000	1001192618	0	209035	91345	152491	520381146	95769
1481241035291252314	automotive_susan_s	2000	54	1.300000	1.921000	2.551000	1001198756	0	159463	68526	119796	522794821	71004
1481241035800220635	automotive_susan_s	2000	54	1.300000	1.913000	2.540000	1001189397	0	206734	91294	153665	520293132	96115
1481241036309211539	automotive_susan_s	2000	54	1.300000	1.908000	2.533000	1001365756	0	157261	67351	120838	522856518	71295
1481241036818265651	automotive_susan_s	2000	54	1.300000	1.918000	2.547000	1001188194	0	207808	90195	151928	520154295	96297
1481241037327438264	automotive_susan_s	2000	54	1.300000	1.910000	2.536000	1001212153	0	201517	84273	128615	521448503	85340
1481241037836592835	automotive_susan_s	2000	54	1.300000	1.908000	2.533000	1001255041	0	171268	77519	142693	521524828	82566
1481241038345593405	automotive_susan_s	2000	54	1.300000	1.906000	2.531000	1001182499	0	210215	91105	150857	520315322	96178
1481241038854542226	automotive_susan_s	2000	54	1.300000	1.907000	2.532000	673470835	0	894336	240354	305314	260208923	620397
1481241039363981130	bzip2d	2000	53	1.300000	1.909000	2.535000	1001248670	0	1042298	451990	3840643	230774771	3221222
1481241039873164910	bzip2d	2000	52	1.300000	1.530000	2.028000	1001191330	0	1097333	493777	3487492	273102508	2957484
1481241040382509106	bzip2d	2000	52	1.300000	1.436000	1.904000	1001515940	0	1098910	479982	3995009	215732547	3388101
1481241040891732260	bzip2d	2000	52	1.300000	1.388000	1.840000	1001233130	0	1049833	486108	3429156	283962681	2808976
1481241041400877165	bzip2d	2000	52	1.300000	1.488000	1.973000	1001250205	0	1102520	474933	3953755	216040677	3432039
1481241041910127277	bzip2d	2000	52	1.300000	1.555000	2.063000	1001241250	0	1087819	499190	3537772	273131684	2921722
1481241042419299890	bzip2d	2000	52	1.300000	1.460000	1.935000	1001218935	0	1146790	498672	3998175	227238445	3449049
1481241042928467544	bzip2d	2000	51	1.300000	1.399000	1.855000	1001238116	0	1070613	484378	3513084	261629861	2924822
1481241043437633615	bzip2d	2000	52	1.300000	1.496000	1.983000	1001232709	0	1115813	487711	3826040	242734800	3288565
