#Timestamp	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1495813541824736098	500619297	2431979	1223138	171130158	1521044	389104676	14294
1495813542325352745	500611030	2446953	1204532	171646681	1523818	400745391	13941
1495813542825989809	500642030	2812853	1378327	164519668	1735084	373003022	14767
1495813543326606289	500619240	3109692	1534371	160373685	1875231	361178418	15556
1495813543827238186	500632821	2362765	1186764	171072450	1545888	396382973	13972
1495813544327923249	500685159	2374384	1180047	169026691	1535537	397917238	13994
1495813544828590479	500610297	2516029	1262794	168579632	1620112	387731714	14185
1495813545329204126	500669703	2474920	1237929	168726117	1592490	394499304	14364
1495813545829826606	500624785	2287799	1145563	169836564	1479896	403285134	13496
1495813546330440836	500615309	2500977	1241774	167383419	1612039	387483033	14286
1495813546831055942	500616288	2371853	1191083	169132718	1534743	397688252	13803
1495813547331676880	500618841	2271111	1133678	171260428	1497820	400955631	13636
1495813547832304735	500628729	2744660	1362096	164682957	1715396	378825519	14840
1495813548332941007	500638089	2451488	1224814	170905017	1604676	388517354	14359
1495813548833644987	500706615	2278036	1124916	171057495	1493651	400455938	13310
1495813549334267217	500618499	2571454	1293528	166776663	1632810	388306973	14516
1495813549834925531	500663196	2435268	1226616	172532464	1597135	391883701	14320
1495813550335545344	500620002	2404571	1200278	172227247	1553657	397764177	13843
1495813550836170616	500626099	2512288	1254459	167910262	1591989	390391342	14410
1495813551336785555	500616822	2370673	1172833	169253206	1519760	400620182	13560
1495813551837416410	500628740	2303668	1166736	169910246	1488637	405515989	13493
1495813552338071598	500657100	2233903	1124314	171913405	1471158	405023142	13354
1495813552838847037	500775582	2832335	1422988	163129986	1757340	370738787	15092
1495813553339459767	500608356	2174769	1086136	174254030	1450185	408846925	12898
1495813553840161289	500707023	2370671	1190983	170482466	1541147	394571170	14045
1495813554340786644	500626140	2525301	1258482	168778206	1624016	391523114	14513
1495813554841402499	500614656	2564918	1284586	168367731	1649867	381273916	14525
1495813555342031896	500630982	2338083	1160830	169978980	1521408	399941981	13647
1495813555842682751	500647644	2821438	1398339	162200456	1751038	373828657	15241
1495813556343299481	500619700	2418788	1211814	168768710	1577667	395152621	14216
1495813556843969045	500672794	2514453	1241310	168304354	1593494	388503735	14442
1495813557344582317	500615563	2292124	1145386	167221622	1479838	393144666	13250
1495813557845189297	500607339	1822993	1003315	161245007	1441806	357191146	9875
1495813558345890027	336749972	2472510	731350	76566738	1201824	162657624	12296
1495813558846543424	500671886	5828937	1701237	119592053	2005248	229512982	29470
1495813559347182654	500637478	5742487	1667083	122042909	1979489	237601022	29111
1495813559847860092	500678092	5668312	1649909	123882280	1966014	244271080	28856
1495813560348582697	500652874	5579931	1634073	126075108	1952003	252150805	28400
1495813560849269302	500757163	3786771	1246648	189385635	1510047	400153528	20637
1495813561349896283	500626281	609841	375188	172211807	583658	457555617	4717
1495813561850514929	500621451	953123	640734	201517365	901956	516939551	9851
1495813562351149951	500630988	1195049	691790	121129167	1196710	291624030	11272
1495813562851773848	500627718	592876	209280	95882620	698904	301010366	2193
1495813563352475078	500702328	305264	173339	108437436	1055786	296127910	2445
1495813563853106350	500626674	109629	58881	118469706	773634	329994304	311
1495813564353894538	500790993	535921	166570	96358145	668082	310893067	1492
1495813564854596560	500704488	485821	218985	99012738	1199925	251412186	2230
1495813565355290415	500694198	665173	378575	124165445	1071195	296850525	5410
1495813565855992479	500703072	530252	294989	110004389	1095749	258098346	3799
1495813566356691209	500698660	493395	288041	107418633	995839	260057615	3941
1495813566857418439	500726420	519916	308398	107987075	976934	260715514	4238
1495813567358115002	500698653	489754	282999	107437149	979979	260047121	3990
1495813567858897482	500783634	517556	304690	104745354	906780	279274560	4568
1495813568359588171	500691279	66844	25876	126099457	282417	462824207	112
1495813568860279026	500693340	68243	26163	447403446	548341	699797215	112
1495813569360974964	500695012	69040	25215	790085726	993076	959200645	112
1495813569861674819	500699498	75309	27992	131945534	285986	467777591	120
1495813570362375133	500695632	995283	651665	142157425	1002427	386592001	11175
1495813570863101446	500734023	2903276	817527	221735091	3215105	381610973	14381
1495813571363871551	500769276	3231022	25311	262667894	4024439	489622328	114
1495813571864563031	500691876	3172785	26128	259590532	4005391	485921813	113
1495813572365250886	500690718	3120423	25664	257002417	3994650	482223375	112
1495813572865983241	500730789	2994184	26270	249469247	3966337	473404652	113
1495813573366604721	500622873	3030150	26127	251585085	3950657	476315174	112
1495813573867226368	500622159	2975703	32365	255179563	2966210	506955233	191
1495813574367845515	500620800	4842812	25280	239515980	3742709	468464341	112
1495813574868564370	500623917	4841574	26248	235813780	3737045	463317169	125
1495813575369183892	500713278	4897893	25554	235580188	3721248	463190368	112
1495813575869802914	500622294	4790988	25302	231998979	3701750	458288961	113
1495813576370413894	500610003	4695428	24161	228888385	3711356	454084223	112
1495813576871032124	500619720	4741018	25397	230563671	3695726	457089506	113
1495813577371645646	500615562	2256378	26339	193000697	2790191	416399747	134
1495813577872258543	500614077	105068	52297	146920845	1589953	327499609	616
1495813578372874523	500617416	49779	22161	137892481	200367	288729915	112
1495813578873608670	500614743	51839	22759	135902153	197998	284526975	115
1495813579374226400	500735478	48973	20985	138418276	198505	289763615	110
1495813579874844214	500620392	50296	22162	137501841	199346	287113965	113
1495813580375464110	500622873	49737	21868	138569353	200706	290096976	112
1495813580876081257	500615772	50602	21760	136585432	198463	285918606	113
1495813581376687321	500607516	49887	21237	136350197	198019	285450030	112
1495813581877305718	500618949	51518	21837	139710089	201780	292651679	113
1495813582377997573	500695233	49822	21748	140274497	201688	292935534	112
1495813582878608511	500609388	52871	22581	136462093	198679	285668601	115
1495813583379217325	500609328	50676	21417	138855040	199615	290776957	112
1495813583879832138	500615448	50236	21253	138368893	199652	289212058	113
1495813584380467160	500636520	51479	21206	138748501	200716	290234061	112
1495813584881080849	500614800	51272	21793	138782734	201466	290579143	113
1495813585381686162	500604483	49589	21745	137142137	197666	287115221	112
1495813585882302726	500617086	52350	21974	137331454	199293	287558787	113
1495813586382907998	500607918	51321	21280	139163006	200259	290615439	112
1495813586883648894	500610126	51485	22408	137093352	199993	286986589	114
1495813587384338749	500826819	50132	21271	136561514	198386	285870945	112
1495813587884941855	500596812	51060	21788	137219482	197495	287286158	113
1495813588385552918	500611494	50301	21182	140996648	202785	294531580	112
1495813588886165773	500615031	51037	21652	139956665	203744	293115708	113
1495813589386779254	500614050	52107	21711	137414684	198634	287684645	112
1495813589887397567	500616228	52546	22456	136208190	198227	285020553	113
1495813590388007172	500611962	49553	21826	140043509	199774	292587873	112
1495813590888624861	500618427	51358	22537	138086994	201222	289110320	115
1495813591389237883	500612445	49869	21580	135638678	196578	283938836	112
1495813591889851988	500613330	4777103	26230	234874224	3571576	468698054	127
1495813592390538926	500688837	5080820	24821	237394863	3833873	479014034	110
1495813592891150448	500610327	4990974	25510	234246064	3868048	474040853	113
1495813593391768137	500619135	4939808	24201	232613144	3835785	471774670	112
1495813593892388659	500621169	4774935	24911	228094332	3830922	465528884	113
1495813594393015847	500627100	4820606	24657	227869912	3825517	465523995	112
1495813594893632327	500615610	4116195	26872	235384801	3407524	486047452	129
1495813595394249724	500619607	184840	62088	178332853	3377509	422448609	225
1495813595894873913	500626208	2294956	893865	272902829	814539	583782611	1660
1495813596395547809	500671392	480135	179658	85272836	1053442	224924661	1513
1495813596896248498	338180112	3668171	1074156	86357552	1303704	172334291	18656
1495813597396918395	500683223	5778391	1674181	120251166	1980542	231839672	29247
1495813597897548750	500624361	5698635	1652899	122149149	1965048	238377891	28966
1495813598398247647	500697555	5629238	1641243	124237340	1944418	245925235	28624
1495813598898948543	500704224	5523283	1609587	126895696	1923878	256229136	28023
